VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
AANPPIPAL,73,37,36,1114,548,566,646,281,365,199,106,93,197,105,92,86,49,37,42,31,11,12,9,3,5,1,4,238,121,117,4,0,4
AARU ARBANG,146,88,58,1246,603,643,621,305,316,185,99,86,118,64,54,42,24,18,6,4,2,0,0,0,2,1,1,156,62,94,3,0,3
AARU CHANAUTE,191,101,90,1088,573,515,705,338,367,251,142,109,301,167,134,130,69,61,32,26,6,14,13,1,0,0,0,307,112,195,10,6,4
AARUPOKHARI,89,50,39,1144,567,577,669,277,392,243,112,131,252,121,131,77,41,36,27,18,9,6,3,3,3,1,2,131,73,58,7,3,4
ASRANG,50,25,25,964,442,522,511,228,283,161,76,85,149,75,74,80,44,36,16,12,4,5,5,0,0,0,0,199,84,115,3,1,2
BAGUWA,7,5,2,441,205,236,321,160,161,110,56,54,131,66,65,64,31,33,15,10,5,7,4,3,0,0,0,159,79,80,1,0,1
BAKRANG,20,10,10,798,365,433,519,244,275,163,81,82,131,76,55,59,30,29,24,19,5,5,4,1,2,2,0,335,136,199,0,0,0
MIRKOT,56,33,23,1417,710,707,834,416,418,253,139,114,224,125,99,55,35,20,20,17,3,0,0,0,2,2,0,330,170,160,6,2,4
BHUMLICHOK,75,31,44,1149,585,564,364,168,196,133,73,60,95,50,45,40,24,16,11,10,1,4,2,2,3,2,1,27,16,11,3,3,0
BIHI,3,1,2,68,44,24,2,1,1,2,2,0,3,2,1,4,3,1,0,0,0,0,0,0,0,0,0,105,65,40,0,0,0
BORLANG,107,59,48,1233,628,605,755,348,407,338,175,163,379,215,164,106,59,47,25,19,6,16,12,4,2,2,0,240,124,116,5,3,2
BUNGKOT,126,73,53,1572,708,864,944,408,536,323,173,150,359,168,191,113,51,62,25,14,11,10,9,1,1,1,0,347,147,200,2,1,1
CHHEKAMPAR,42,24,18,213,138,75,22,20,2,5,4,1,18,18,0,10,9,1,0,0,0,0,0,0,0,0,0,8,5,3,4,0,4
CHHOPRAK,63,28,35,1463,742,721,861,427,434,396,213,183,272,145,127,121,64,57,36,30,6,12,11,1,2,1,1,151,74,77,34,10,24
CHUMCHET,4,1,3,99,61,38,4,4,0,3,2,1,3,3,0,3,2,1,2,0,2,0,0,0,3,2,1,24,15,9,0,0,0
CHYANGLI,84,48,36,1956,941,1015,929,412,517,251,121,130,282,152,130,88,48,40,20,15,5,9,6,3,2,2,0,311,122,189,6,5,1
DARBUNG,89,47,42,932,431,501,480,254,226,164,80,84,147,78,69,59,32,27,9,7,2,4,3,1,1,1,0,168,91,77,1,0,1
DEURALI,132,61,71,1591,795,796,961,424,537,304,154,150,321,172,149,152,83,69,33,27,6,9,9,0,1,1,0,397,182,215,2,1,1
DHAWA,63,36,27,987,457,530,456,207,249,182,100,82,182,96,86,57,29,28,18,16,2,2,2,0,1,1,0,199,67,132,3,1,2
DHUNWAKOT,139,72,67,1357,659,698,579,243,336,170,87,83,149,86,63,81,47,34,18,10,8,3,3,0,3,2,1,228,108,120,12,8,4
FINAM,63,33,30,864,413,451,503,232,271,159,76,83,178,94,84,38,18,20,10,7,3,4,3,1,4,1,3,152,88,64,1,1,0
FUJEL,120,51,69,1273,573,700,735,323,412,233,118,115,156,86,70,67,41,26,13,8,5,7,6,1,12,5,7,227,139,88,12,5,7
GAIKHUR,71,33,38,1512,739,773,808,367,441,274,142,132,225,135,90,87,47,40,41,27,14,9,7,2,4,4,0,191,92,99,4,3,1
GANKHU,45,20,25,835,434,401,420,211,209,187,88,99,122,65,57,43,19,24,14,7,7,3,3,0,1,1,0,133,76,57,1,0,1
GHAIRUNG,45,22,23,1111,501,610,607,280,327,268,127,141,164,77,87,77,37,40,21,14,7,11,4,7,2,1,1,201,93,108,12,10,2
GHYACHOK,49,24,25,613,308,305,233,121,112,44,24,20,50,33,17,12,8,4,5,3,2,0,0,0,1,0,1,202,83,119,8,4,4
GHYALCHOK,70,37,33,1937,971,966,954,449,505,394,208,186,330,205,125,174,90,84,27,22,5,10,10,0,0,0,0,240,96,144,3,2,1
GUMDA,37,16,21,710,370,340,178,99,79,45,29,16,28,19,9,11,7,4,2,2,0,1,1,0,2,2,0,167,86,81,0,0,0
HANSAPUR,22,8,14,858,427,431,597,289,308,315,165,150,246,144,102,123,65,58,48,33,15,7,6,1,3,1,2,163,80,83,16,8,8
HARMI,52,31,21,946,474,472,506,231,275,243,130,113,192,97,95,89,46,43,35,29,6,8,6,2,9,5,4,218,85,133,2,1,1
JAUBARI,26,17,9,777,396,381,425,198,227,142,75,67,188,108,80,61,33,28,15,10,5,7,6,1,2,2,0,255,119,136,2,2,0
KASHIGAUN,38,21,17,447,235,212,85,48,37,34,24,10,15,13,2,12,5,7,1,1,0,0,0,0,3,2,1,64,39,25,0,0,0
KERABARI,61,31,30,694,342,352,347,174,173,108,61,47,115,71,44,29,16,13,10,9,1,0,0,0,1,1,0,88,44,44,7,5,2
KERAUJA,152,75,77,828,427,401,177,97,80,58,40,18,32,20,12,7,6,1,4,3,1,1,0,1,4,1,3,86,52,34,0,0,0
KHARIBOT,40,28,12,703,359,344,394,203,191,169,95,74,110,60,50,38,26,12,16,12,4,0,0,0,4,1,3,165,68,97,0,0,0
KHOPLANG,76,33,43,1505,739,766,720,327,393,254,135,119,255,130,125,98,60,38,29,24,5,8,8,0,10,6,4,321,170,151,3,2,1
LAPRAK,42,20,22,544,266,278,192,94,98,68,46,22,35,26,9,15,12,3,3,2,1,0,0,0,3,2,1,75,35,40,4,2,2
LAPU,41,20,21,535,252,283,106,50,56,13,9,4,25,19,6,10,4,6,1,1,0,0,0,0,0,0,0,7,3,4,0,0,0
LHO,6,2,4,103,67,36,23,16,7,13,9,4,4,4,0,8,4,4,1,0,1,1,1,0,1,0,1,27,19,8,0,0,0
MAKAISING,46,24,22,656,356,300,297,141,156,136,84,52,113,59,54,23,12,11,10,6,4,5,4,1,0,0,0,54,32,22,0,0,0
MANAKAMANA,105,50,55,1848,945,903,1069,493,576,370,193,177,359,218,141,149,77,72,28,19,9,8,6,2,4,1,3,354,188,166,5,3,2
MANBU,191,90,101,1415,761,654,481,271,210,150,96,54,153,92,61,38,17,21,7,6,1,2,2,0,2,1,1,272,122,150,8,4,4
MASEL,131,66,65,1051,501,550,556,247,309,193,83,110,178,83,95,78,38,40,24,19,5,9,7,2,1,1,0,266,102,164,9,4,5
MUCHHOK,24,12,12,936,479,457,507,260,247,228,119,109,181,110,71,71,37,34,32,26,6,4,2,2,1,0,1,142,68,74,10,5,5
NAMJUNG,58,26,32,760,372,388,458,217,241,169,86,83,163,72,91,41,27,14,12,8,4,3,3,0,0,0,0,113,74,39,8,3,5
NARESHWOR,45,22,23,884,430,454,619,288,331,192,84,108,211,122,89,120,54,66,16,11,5,7,7,0,1,1,0,246,109,137,6,2,4
PALUNGTAR,138,75,63,2134,999,1135,1516,645,871,540,263,277,504,276,228,271,144,127,68,47,21,17,16,1,2,1,1,327,160,167,9,5,4
PANCHKHUWA DEURALI,19,11,8,561,253,308,264,105,159,137,75,62,61,26,35,24,12,12,10,9,1,5,4,1,1,1,0,265,123,142,0,0,0
PANDRUNG,69,46,23,672,354,318,376,154,222,141,69,72,138,73,65,40,17,23,10,6,4,3,2,1,1,1,0,254,110,144,1,1,0
GORKHA MUNICIPALITY,1116,585,531,7710,3963,3747,5169,2351,2818,2258,1067,1191,3217,1530,1687,1668,777,891,616,403,213,230,182,48,15,6,9,1577,613,964,71,37,34
PROK,43,18,25,92,57,35,9,8,1,9,7,2,8,6,2,9,8,1,3,2,1,0,0,0,13,10,3,22,14,8,1,0,1
SAMAGAUN,39,15,24,67,40,27,21,14,7,10,8,2,5,5,0,9,7,2,0,0,0,1,1,0,18,14,4,50,35,15,0,0,0
SAURPANI,293,155,138,1781,874,907,572,261,311,169,87,82,93,51,42,47,15,32,13,6,7,4,4,0,4,2,2,170,88,82,7,4,3
SHREENATHKOT,23,11,12,936,497,439,472,203,269,167,92,75,179,105,74,75,37,38,27,18,9,5,5,0,1,1,0,195,71,124,5,0,5
SIMJUNG,56,29,27,966,495,471,592,285,307,204,123,81,203,119,84,61,37,24,15,13,2,5,3,2,1,1,0,214,102,112,2,1,1
SIRDIBAS,128,65,63,607,344,263,86,50,36,38,29,9,36,28,8,20,11,9,7,6,1,0,0,0,3,3,0,12,6,6,1,0,1
SWARA,189,95,94,1162,598,564,240,125,115,66,32,34,41,20,21,19,13,6,5,4,1,0,0,0,2,1,1,145,74,71,2,2,0
TAKLUNG,101,47,54,1555,757,798,789,337,452,222,119,103,165,90,75,71,38,33,22,15,7,2,2,0,3,0,3,407,217,190,4,1,3
TAKUKOT,91,45,46,1199,602,597,569,256,313,162,97,65,155,81,74,38,11,27,15,9,6,5,4,1,1,0,1,277,121,156,2,1,1
TAKUMAJH LAKURIBOT,61,32,29,768,430,338,311,131,180,107,45,62,76,34,42,40,21,19,7,5,2,2,0,2,0,0,0,143,30,113,3,2,1
TANDRANG,60,36,24,1063,484,579,668,306,362,305,133,172,268,146,122,113,63,50,32,21,11,6,5,1,7,3,4,201,106,95,5,2,3
TANGLICHOK,72,33,39,1081,566,515,437,212,225,174,99,75,126,52,74,43,23,20,16,12,4,1,0,1,1,1,0,144,63,81,1,1,0
TAPLE,52,28,24,1394,692,702,650,279,371,219,107,112,236,120,116,77,34,43,14,7,7,3,3,0,6,3,3,188,76,112,9,3,6
THALAJUNG,36,17,19,749,388,361,417,204,213,190,108,82,96,60,36,28,13,15,15,14,1,4,4,0,1,0,1,224,92,132,4,3,1
THUMI,130,59,71,1258,592,666,482,253,229,131,76,55,115,60,55,40,19,21,17,15,2,0,0,0,9,5,4,351,159,192,2,2,0
UHIYA,114,53,61,511,275,236,111,66,45,26,19,7,19,12,7,14,10,4,1,1,0,0,0,0,1,0,1,41,29,12,0,0,0
BARPAK,162,89,73,1320,607,713,573,256,317,264,152,112,152,88,64,51,30,21,6,6,0,3,3,0,1,1,0,53,34,19,3,2,1
INSTITUTIONAL,70,42,28,661,469,192,643,531,112,259,226,33,284,272,12,82,69,13,32,21,11,10,8,2,5,5,0,20,13,7,0,0,0
