VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AANPPIPAL,1094,23,0,5,0,1
AARU ARBANG,983,1,4,6,0,4
AARU CHANAUTE,622,76,262,85,0,24
AARUPOKHARI,1065,1,0,10,0,3
ASRANG,807,8,9,1,0,6
BAGUWA,487,4,0,2,0,1
BAKRANG,766,8,0,18,0,1
MIRKOT,1301,18,17,50,1,1
BHUMLICHOK,672,13,0,0,0,0
BIHI,200,1,0,0,0,7
BORLANG,1131,8,4,26,0,10
BUNGKOT,1507,38,26,6,0,24
CHHEKAMPAR,261,0,0,0,0,2
CHHOPRAK,1472,24,6,12,0,17
CHUMCHET,150,0,0,44,71,1
CHYANGLI,1464,23,4,35,5,1
DARBUNG,734,2,0,23,1,3
DEURALI,1133,66,139,78,1,5
DHAWA,865,2,0,10,1,3
DHUNWAKOT,1052,16,1,38,3,0
FINAM,751,12,3,0,0,0
FUJEL,1141,2,1,3,0,6
GAIKHUR,1205,26,7,35,0,3
GANKHU,669,6,10,8,0,1
GHAIRUNG,927,6,1,18,0,14
GHYACHOK,407,1,0,5,0,3
GHYALCHOK,1167,78,6,39,1,7
GUMDA,518,5,1,11,0,0
HANSAPUR,889,11,0,18,0,6
HARMI,890,4,0,7,0,6
JAUBARI,700,3,2,32,0,3
KASHIGAUN,408,1,0,5,0,0
KERABARI,556,2,0,3,0,11
KERAUJA,743,1,0,28,1,0
KHARIBOT,522,0,0,12,0,4
KHOPLANG,1309,7,4,62,0,5
LAPRAK,523,1,0,3,0,2
LAPU,403,1,1,30,1,14
LHO,166,0,0,3,85,2
MAKAISING,368,36,1,146,0,1
MANAKAMANA,1165,104,72,35,0,16
MANBU,1382,1,1,2,0,2
MASEL,988,4,9,14,0,0
MUCHHOK,827,11,0,58,0,3
NAMJUNG,793,7,3,3,2,1
NARESHWOR,992,4,18,3,0,9
PALUNGTAR,1752,249,74,23,5,5
PANCHKHUWA DEURALI,510,2,0,14,1,3
PANDRUNG,646,3,2,10,1,2
GORKHA MUNICIPALITY,4445,1257,2913,131,2,45
PROK,180,0,0,0,0,7
SAMAGAUN,196,0,0,1,0,0
SAURPANI,1257,8,0,57,1,2
SHREENATHKOT,737,3,3,24,0,4
SIMJUNG,790,0,0,49,0,2
SIRDIBAS,545,0,0,24,1,2
SWARA,763,0,0,19,1,2
TAKLUNG,913,7,21,173,0,7
TAKUKOT,889,2,0,8,1,2
TAKUMAJH LAKURIBOT,536,0,0,17,0,1
TANDRANG,1014,9,2,11,0,2
TANGLICHOK,781,1,2,12,0,6
TAPLE,1067,14,23,6,0,10
THALAJUNG,652,22,0,6,0,1
THUMI,995,34,7,43,0,1
UHIYA,417,0,0,9,1,0
BARPAK,1015,7,1,33,0,13
TOTAL,58275,2284,3660,1702,187,350
