VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AANPPIPAL,1094,21,2,6
AARU ARBANG,980,11,2,5
AARU CHANAUTE,735,326,7,1
AARUPOKHARI,1054,14,2,9
ASRANG,814,15,0,2
BAGUWA,474,12,1,7
BAKRANG,775,13,1,4
MIRKOT,1314,30,0,44
BHUMLICHOK,676,9,0,0
BIHI,192,10,6,0
BORLANG,1154,18,2,5
BUNGKOT,1543,49,6,3
CHHEKAMPAR,243,3,3,14
CHHOPRAK,1499,27,2,3
CHUMCHET,260,3,1,2
CHYANGLI,1493,26,2,11
DARBUNG,744,16,1,2
DEURALI,1266,91,48,17
DHAWA,865,6,0,10
DHUNWAKOT,1063,22,2,23
FINAM,740,9,0,17
FUJEL,1126,13,2,12
GAIKHUR,1222,34,2,18
GANKHU,669,21,0,4
GHAIRUNG,944,20,0,2
GHYACHOK,391,17,0,8
GHYALCHOK,1271,22,3,2
GUMDA,522,4,2,7
HANSAPUR,854,67,0,3
HARMI,882,17,0,8
JAUBARI,669,46,4,21
KASHIGAUN,406,4,0,4
KERABARI,561,5,0,6
KERAUJA,764,8,1,0
KHARIBOT,518,9,0,11
KHOPLANG,1324,35,1,27
LAPRAK,514,7,1,7
LAPU,429,20,0,1
LHO,237,7,7,5
MAKAISING,525,22,2,3
MANAKAMANA,1213,160,1,18
MANBU,1357,14,4,13
MASEL,952,55,3,5
MUCHHOK,856,34,0,9
NAMJUNG,782,26,0,1
NARESHWOR,1001,11,0,14
PALUNGTAR,1905,176,8,19
PANCHKHUWA DEURALI,504,17,1,8
PANDRUNG,628,11,1,24
GORKHA MUNICIPALITY,5609,2948,115,121
PROK,178,6,3,0
SAMAGAUN,191,5,1,0
SAURPANI,1298,18,1,8
SHREENATHKOT,729,32,0,10
SIMJUNG,790,36,2,13
SIRDIBAS,531,38,0,3
SWARA,769,12,1,3
TAKLUNG,1088,29,1,3
TAKUKOT,887,8,0,7
TAKUMAJH LAKURIBOT,542,7,0,5
TANDRANG,1003,15,0,20
TANGLICHOK,794,6,0,2
TAPLE,1085,30,1,4
THALAJUNG,670,4,0,7
THUMI,965,103,0,12
UHIYA,413,14,0,0
BARPAK,1045,17,1,6
TOTAL,60591,4941,257,669
