VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,66506,271061,121041,150020,4.075737527441133,80.68324223436875
AANPPIPAL,1123,4029,1716,2313,3.5877114870881566,74.18936446173801
AARU ARBANG,998,4496,1963,2533,4.50501002004008,77.49703908409002
AARU CHANAUTE,1069,4327,1979,2348,4.047708138447147,84.28449744463373
AARUPOKHARI,1079,4564,2005,2559,4.229842446709917,78.35091832747166
ASRANG,831,3406,1443,1963,4.098676293622142,73.50993377483444
BAGUWA,494,1965,862,1103,3.977732793522267,78.15049864007253
BAKRANG,793,3019,1303,1716,3.807061790668348,75.93240093240094
MIRKOT,1388,5261,2407,2854,3.7903458213256482,84.33777154870357
BHUMLICHOK,685,3545,1653,1892,5.175182481751825,87.36786469344608
BIHI,208,612,288,324,2.9423076923076925,88.88888888888889
BORLANG,1179,5044,2281,2763,4.278201865988126,82.5551936301122
BUNGKOT,1601,6260,2628,3632,3.9100562148657088,72.3568281938326
CHHEKAMPAR,263,983,491,492,3.7376425855513307,99.79674796747967
CHHOPRAK,1531,5893,2608,3285,3.8491182233834094,79.39117199391173
CHUMCHET,266,928,434,494,3.488721804511278,87.85425101214574
CHYANGLI,1532,6286,2715,3571,4.103133159268929,76.02912349481937
DARBUNG,763,3386,1530,1856,4.437745740498034,82.4353448275862
DEURALI,1422,5514,2449,3065,3.8776371308016877,79.9021207177814
DHAWA,881,3570,1501,2069,4.052213393870602,72.54712421459642
DHUNWAKOT,1110,4259,1850,2409,3.836936936936937,76.79535076795351
FINAM,766,3097,1309,1788,4.043080939947781,73.2102908277405
FUJEL,1153,4694,1998,2696,4.071118820468343,74.10979228486647
GAIKHUR,1276,5003,2189,2814,3.920846394984326,77.78962331201137
GANKHU,694,2986,1348,1638,4.302593659942363,82.29548229548229
GHAIRUNG,966,3990,1687,2303,4.130434782608695,73.25227963525836
GHYACHOK,416,1997,910,1087,4.800480769230769,83.71665133394664
GHYALCHOK,1298,5952,2759,3193,4.585516178736517,86.40776699029125
GUMDA,535,2303,1061,1242,4.304672897196261,85.426731078905
HANSAPUR,924,3658,1640,2018,3.9588744588744587,81.26858275520317
HARMI,907,3450,1488,1962,3.8037486218302097,75.84097859327217
JAUBARI,740,2987,1338,1649,4.036486486486487,81.14008489993935
KASHIGAUN,414,1837,860,977,4.43719806763285,88.0245649948823
KERABARI,572,2440,1103,1337,4.265734265734266,82.4981301421092
KERAUJA,773,3248,1459,1789,4.201811125485123,81.5539407490218
KHARIBOT,538,2453,1141,1312,4.559479553903346,86.96646341463415
KHOPLANG,1387,5193,2267,2926,3.744051910598414,77.4777853725222
LAPRAK,529,2161,972,1189,4.085066162570889,81.74936921783012
LAPU,450,1823,802,1021,4.051111111111111,78.55044074436826
LHO,256,711,320,391,2.77734375,81.84143222506394
MAKAISING,552,2307,1094,1213,4.179347826086956,90.18961253091508
MANAKAMANA,1392,6203,2876,3327,4.45617816091954,86.44424406372107
MANBU,1388,6016,2692,3324,4.334293948126801,80.98676293622142
MASEL,1015,3827,1593,2234,3.7704433497536947,71.30707251566697
MUCHHOK,899,3779,1737,2042,4.203559510567297,85.06366307541626
NAMJUNG,809,3055,1339,1716,3.776266996291718,78.03030303030303
NARESHWOR,1026,3692,1563,2129,3.598440545808967,73.41474870831377
PALUNGTAR,2108,8143,3460,4683,3.8629032258064515,73.88426222506939
PANCHKHUWA DEURALI,530,2111,895,1216,3.983018867924528,73.60197368421053
PANDRUNG,664,2524,1102,1422,3.8012048192771086,77.49648382559775
GORKHA MUNICIPALITY,8793,32473,14713,17760,3.6930512907994997,82.84346846846847
PROK,187,575,273,302,3.0748663101604277,90.39735099337747
SAMAGAUN,197,604,281,323,3.065989847715736,86.9969040247678
SAURPANI,1325,5958,2614,3344,4.496603773584906,78.16985645933015
SHREENATHKOT,771,3147,1396,1751,4.081712062256809,79.72587093089662
SIMJUNG,841,3715,1737,1978,4.417360285374554,87.8159757330637
SIRDIBAS,572,2510,1171,1339,4.388111888111888,87.45332337565347
SWARA,785,3713,1665,2048,4.729936305732484,81.298828125
TAKLUNG,1121,5028,2232,2796,4.485280999107939,79.82832618025752
TAKUKOT,902,3869,1665,2204,4.289356984478935,75.54446460980037
TAKUMAJH LAKURIBOT,554,2229,958,1271,4.0234657039711195,75.37372147915028
TANDRANG,1038,4221,1816,2405,4.066473988439307,75.50935550935552
TANGLICHOK,802,3369,1525,1844,4.2007481296758105,82.70065075921909
TAPLE,1120,4496,1925,2571,4.014285714285714,74.87359004278491
THALAJUNG,681,2725,1240,1485,4.001468428781204,83.5016835016835
THUMI,1080,4481,2000,2481,4.149074074074074,80.61265618702136
UHIYA,427,1857,823,1034,4.3489461358313815,79.59381044487428
BARPAK,1069,4985,2204,2781,4.663236669784846,79.25206760158217
