VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ANDHERI NARAYANSTHAN,593,3,0,11
BAKSA,543,2,0,1
BALAKHU,818,3,0,14
BARNALU,672,18,1,3
BARUNESHWOR,769,22,1,17
BETINI,453,6,0,0
BHADAURE,552,5,0,6
BHUSSINGA,317,0,0,5
BIGUTAR,515,14,1,3
BILANDU,467,10,1,6
CHYANAM,612,6,1,0
DIYALE,507,6,1,0
FEDIGUTH,757,6,0,6
FULBARI,737,27,2,10
GAMNANGTAR,579,19,0,1
HARKAPUR,603,3,0,8
JANTARKHANI,370,7,0,11
JYAMIRE,537,5,0,3
KALIKADEVI,402,5,3,7
KHIGIKATI,338,3,0,11
KATUNJE,902,16,1,7
KETUKE,618,56,1,0
KHIJI CHANDESHWORI,241,4,0,30
KHIJIFALATE,656,39,1,10
KUIBHIR,389,12,0,8
KUNTADEVI,576,1,0,6
MADHAVPUR,496,1,2,1
MAMKHA,718,5,0,4
MANEBHANJYANG,576,37,1,9
MOLI,403,6,0,0
MULKHARKA,741,7,0,0
NARMEDESHWOR,313,7,0,2
OKHALDHUNGA,811,441,79,27
PALAPU,918,24,2,2
PALTE,688,19,1,11
POKALI,623,16,0,4
POKHARE,321,6,0,4
PRAPCHA,265,6,0,0
RAGADEEP,447,3,0,5
RAGANI,702,9,0,37
RANIBAN,399,0,0,5
RATMATA,441,4,0,2
RAWADOLU,327,7,0,3
RUMJATAR,613,119,7,12
SALLERI,407,5,0,7
SERNA,335,4,0,4
SHREECHAUR,562,9,0,10
SINGHADEVI,440,9,0,6
SISNERI,834,22,1,2
TALUWA,445,2,0,0
TARKERABARI,407,3,0,1
THAKLE,526,26,0,0
TOKSEL,515,63,1,9
THULACHHAP,734,5,3,1
UBU,713,5,2,5
YASAM,575,4,0,6
TOTAL,30818,1172,113,363
