VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ANDHERI NARAYANSTHAN,18,10,8,521,257,264,315,143,172,227,115,112,169,91,78,88,41,47,10,8,2,1,1,0,0,0,0,156,89,67,3,2,1
BAKSA,52,30,22,498,240,258,319,173,146,173,87,86,143,72,71,27,8,19,12,9,3,0,0,0,0,0,0,0,0,0,2,0,2
BALAKHU,74,38,36,1149,600,549,468,261,207,254,148,106,105,64,41,111,56,55,23,18,5,1,1,0,0,0,0,40,3,37,10,5,5
BARNALU,145,80,65,827,441,386,305,150,155,161,89,72,122,56,66,63,35,28,10,9,1,0,0,0,0,0,0,28,12,16,10,6,4
BARUNESHWOR,98,39,59,725,371,354,441,228,213,279,157,122,195,99,96,185,90,95,69,54,15,22,17,5,6,3,3,147,84,63,15,6,9
BETINI,13,6,7,552,269,283,313,160,153,168,85,83,60,33,27,71,41,30,14,11,3,4,4,0,2,1,1,37,10,27,11,6,5
BHADAURE,80,39,41,828,456,372,411,209,202,208,107,101,118,66,52,50,24,26,5,5,0,5,3,2,0,0,0,138,40,98,4,4,0
BHUSSINGA,1,1,0,864,432,432,79,44,35,36,17,19,12,10,2,15,3,12,2,2,0,1,1,0,1,0,1,11,8,3,0,0,0
BIGUTAR,15,10,5,528,305,223,252,126,126,167,79,88,96,45,51,42,18,24,6,5,1,2,2,0,1,1,0,103,55,48,1,0,1
BILANDU,54,23,31,593,323,270,252,125,127,87,49,38,99,52,47,41,17,24,3,2,1,5,5,0,2,2,0,196,86,110,1,0,1
CHYANAM,97,46,51,712,374,338,343,187,156,186,90,96,122,69,53,77,29,48,12,10,2,6,6,0,1,1,0,70,33,37,4,2,2
DIYALE,55,33,22,622,312,310,261,119,142,144,72,72,111,64,47,37,12,25,11,9,2,2,2,0,3,1,2,237,123,114,7,3,4
FEDIGUTH,85,43,42,1077,585,492,424,214,210,190,101,89,110,60,50,39,25,14,5,4,1,1,1,0,4,2,2,50,17,33,1,0,1
FULBARI,38,23,15,926,495,431,386,199,187,261,131,130,181,100,81,98,43,55,18,13,5,7,6,1,0,0,0,54,36,18,2,1,1
GAMNANGTAR,49,30,19,746,420,326,439,240,199,185,112,73,140,76,64,98,46,52,25,15,10,13,11,2,1,0,1,38,26,12,8,4,4
HARKAPUR,9,4,5,658,334,324,284,147,137,169,80,89,103,56,47,79,38,41,14,9,5,2,1,1,4,2,2,67,29,38,2,1,1
JANTARKHANI,59,29,30,637,334,303,173,91,82,91,37,54,47,30,17,27,14,13,1,0,1,1,1,0,1,1,0,84,20,64,0,0,0
JYAMIRE,62,29,33,472,232,240,286,163,123,155,86,69,149,76,73,83,25,58,20,14,6,0,0,0,0,0,0,128,53,75,12,3,9
KALIKADEVI,66,32,34,598,301,297,210,116,94,72,45,27,56,32,24,31,12,19,6,6,0,0,0,0,0,0,0,54,35,19,0,0,0
KHIGIKATI,29,15,14,478,222,256,274,143,131,115,68,47,71,42,29,24,16,8,0,0,0,0,0,0,0,0,0,24,19,5,9,5,4
KATUNJE,52,30,22,1073,555,518,543,292,251,302,154,148,126,78,48,111,59,52,22,12,10,2,2,0,2,1,1,273,166,107,4,2,2
KETUKE,31,10,21,743,407,336,380,182,198,195,105,90,153,76,77,36,15,21,11,9,2,1,1,0,1,1,0,114,70,44,3,2,1
KHIJI CHANDESHWORI,68,33,35,346,197,149,163,86,77,68,41,27,51,28,23,33,23,10,8,8,0,0,0,0,0,0,0,148,64,84,0,0,0
KHIJIFALATE,102,57,45,1111,607,504,339,186,153,134,82,52,129,76,53,70,37,33,9,7,2,1,1,0,1,0,1,168,78,90,3,1,2
KUIBHIR,23,9,14,447,232,215,207,104,103,131,75,56,109,57,52,56,26,30,12,10,2,2,2,0,1,0,1,120,61,59,0,0,0
KUNTADEVI,6,2,4,496,266,230,315,181,134,259,145,114,146,73,73,124,54,70,26,20,6,4,4,0,1,0,1,115,44,71,10,2,8
MADHAVPUR,18,10,8,759,405,354,325,153,172,169,93,76,30,23,7,30,10,20,10,7,3,0,0,0,0,0,0,134,34,100,0,0,0
MAMKHA,119,58,61,822,417,405,406,195,211,229,120,109,179,93,86,67,33,34,14,8,6,4,4,0,2,2,0,159,70,89,2,1,1
MANEBHANJYANG,60,36,24,789,411,378,496,253,243,233,124,109,158,93,65,72,40,32,18,14,4,4,4,0,1,1,0,101,74,27,8,3,5
MOLI,27,12,15,602,294,308,245,139,106,109,59,50,95,33,62,30,10,20,11,10,1,0,0,0,0,0,0,16,10,6,0,0,0
MULKHARKA,59,29,30,989,489,500,380,172,208,165,85,80,54,28,26,77,36,41,7,7,0,2,1,1,9,6,3,83,38,45,17,9,8
NARMEDESHWOR,41,25,16,342,166,176,180,91,89,98,36,62,85,42,43,59,28,31,6,6,0,0,0,0,1,1,0,135,62,73,1,0,1
OKHALDHUNGA,241,129,112,1013,531,482,562,293,269,415,237,178,521,283,238,477,228,249,209,141,68,64,55,9,4,2,2,172,77,95,29,11,18
PALAPU,143,76,67,1511,778,733,402,239,163,123,95,28,79,54,25,41,25,16,17,13,4,1,1,0,2,0,2,63,15,48,20,14,6
