VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AANGNA,13,191,23,368,77,1
AANGSARANG,474,486,28,121,45,5
AARUBOTE,35,393,12,299,50,1
AMARPUR,13,497,8,749,65,2
BHARAPA,163,700,15,500,58,6
CHILINGDIN,684,104,9,2,0,0
CHOKMAGU,162,485,0,124,35,1
CHYANGTHAPU,180,210,7,94,1,2
DURDIMBA,38,307,2,281,56,1
EKTEEN,22,690,7,406,55,10
EMBUNG,85,302,1,73,24,0
PHALAINCHA,386,238,0,21,6,1
HANGUM,1,188,5,175,239,0
KURUMBA,242,419,5,170,4,3
LIMBA,162,341,9,311,109,2
LUNGRUPA,95,620,11,351,12,1
LUMPHABUNG,3,250,4,178,90,2
MANGJABUNG,39,476,9,154,86,7
MAUWA,7,320,10,546,86,2
MEMENG,448,442,4,81,3,6
NAGI,28,431,1,384,17,2
NANGEEN,418,573,0,383,12,2
NAWAMIDANDA,5,361,8,243,240,1
OLANE,7,232,1,306,17,0
OYAM,503,204,0,45,10,4
PANCHAMI,3,425,7,564,20,9
PAUWA SARTAP,596,323,1,12,1,6
PHAKTEP,701,200,3,12,4,2
PHIDIM,3892,328,28,20,6,17
PRANGBUNG,21,625,3,207,28,9
RABI,110,326,4,510,47,2
RANI GAUN,420,336,7,216,85,4
RANITAR,212,925,9,337,13,4
SARANG DANDA,20,517,5,685,71,1
SIDIN,20,538,10,302,12,3
SIWA,200,424,0,117,18,0
SUBHANG,4,433,7,506,34,4
SYABRUMBA,198,189,17,135,174,1
THARPU,451,436,1,131,16,1
YANGANAM,11,427,7,750,32,5
YASOK,402,366,10,159,4,6
TOTAL,11474,16278,298,11028,1962,136
