VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AANGNA,648,0,0,23,0,2
AANGSARANG,1055,9,1,83,4,7
AARUBOTE,722,11,0,45,9,3
AMARPUR,1108,5,2,214,3,2
BHARAPA,1348,9,2,69,4,10
CHILINGDIN,708,23,7,51,9,1
CHOKMAGU,707,2,0,97,0,1
CHYANGTHAPU,440,4,2,43,2,3
DURDIMBA,434,4,0,244,2,1
EKTEEN,1167,0,1,11,0,11
EMBUNG,423,8,2,40,12,0
PHALAINCHA,603,0,0,33,10,6
HANGUM,517,1,0,85,5,0
KURUMBA,691,2,2,131,15,2
LIMBA,724,2,2,197,4,5
LUNGRUPA,979,1,1,108,1,0
LUMPHABUNG,418,1,0,103,0,5
MANGJABUNG,708,1,2,49,4,7
MAUWA,911,3,0,42,13,2
MEMENG,874,2,1,96,2,9
NAGI,817,3,1,35,5,2
NANGEEN,1268,1,0,109,7,3
NAWAMIDANDA,817,0,1,35,3,2
OLANE,503,3,0,38,19,0
OYAM,727,2,2,26,5,4
PANCHAMI,974,25,0,17,2,10
PAUWA SARTAP,727,39,46,108,13,6
PHAKTEP,795,53,0,57,16,1
PHIDIM,2554,949,270,443,47,28
PRANGBUNG,795,4,2,81,1,10
RABI,831,55,1,105,6,1
RANI GAUN,1000,12,1,49,0,6
RANITAR,1266,16,3,199,5,11
SARANG DANDA,1111,16,14,141,17,0
SIDIN,823,1,0,48,10,3
SIWA,726,1,0,29,2,1
SUBHANG,887,3,0,94,0,4
SYABRUMBA,695,1,1,15,1,1
THARPU,1017,11,1,4,1,2
YANGANAM,1182,3,1,39,4,3
YASOK,920,13,2,8,0,4
TOTAL,35620,1299,371,3444,263,179
