VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AANGNA,634,2,1,34,0,0,2
AANGSARANG,1044,12,10,83,2,1,7
AARUBOTE,687,11,11,78,0,0,3
AMARPUR,1083,13,19,215,1,1,2
BHARAPA,1275,13,50,93,1,0,10
CHILINGDIN,682,31,40,45,0,0,1
CHOKMAGU,706,4,6,90,0,0,1
CHYANGTHAPU,345,10,64,69,0,3,3
DURDIMBA,507,7,11,157,0,2,1
EKTEEN,1108,3,36,31,0,1,11
EMBUNG,415,10,6,54,0,0,0
PHALAINCHA,517,1,34,41,0,53,6
HANGUM,511,2,3,91,0,1,0
KURUMBA,641,6,58,132,0,4,2
LIMBA,657,5,69,167,0,31,5
LUNGRUPA,897,6,92,94,0,1,0
LUMPHABUNG,411,3,3,103,1,1,5
MANGJABUNG,681,3,4,76,0,0,7
MAUWA,889,20,2,53,0,5,2
MEMENG,794,6,70,103,1,1,9
NAGI,774,4,26,52,0,5,2
NANGEEN,1239,4,7,127,0,8,3
NAWAMIDANDA,783,2,6,62,0,3,2
OLANE,499,4,1,54,1,4,0
OYAM,655,0,49,55,0,3,4
PANCHAMI,944,20,17,34,0,3,10
PAUWA SARTAP,720,68,45,71,8,21,6
PHAKTEP,777,55,20,61,1,7,1
PHIDIM,2106,1308,299,499,4,45,30
PRANGBUNG,585,12,195,87,0,4,10
RABI,707,69,86,96,0,40,1
RANI GAUN,975,11,2,72,1,1,6
RANITAR,1040,51,187,202,0,3,17
SARANG DANDA,1076,29,49,131,0,14,0
SIDIN,654,12,98,113,2,3,3
SIWA,708,1,8,40,0,0,2
SUBHANG,858,3,55,68,0,0,4
SYABRUMBA,691,0,0,22,0,0,1
THARPU,918,13,68,35,0,0,2
YANGANAM,1106,13,37,70,1,2,3
YASOK,920,12,2,8,0,0,5
TOTAL,33219,1859,1846,3768,24,271,189
