VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
AANGNA,147,1,0,52,470,1,0,2
AANGSARANG,786,2,6,141,214,1,4,5
AARUBOTE,146,0,11,184,428,19,1,1
AMARPUR,861,4,20,131,315,1,0,2
BHARAPA,1260,0,10,10,131,20,5,6
CHILINGDIN,705,1,25,48,19,0,1,0
CHOKMAGU,503,0,26,123,149,5,0,1
CHYANGTHAPU,433,1,1,9,40,7,1,2
DURDIMBA,567,2,1,80,27,6,1,1
EKTEEN,1115,1,1,22,38,3,0,10
EMBUNG,372,1,21,54,23,14,0,0
PHALAINCHA,607,2,2,18,21,0,1,1
HANGUM,7,0,7,72,356,166,0,0
KURUMBA,363,0,1,38,433,6,0,2
LIMBA,825,1,12,48,38,2,6,2
LUNGRUPA,976,1,56,17,33,0,6,1
LUMPHABUNG,338,2,8,107,49,0,21,2
MANGJABUNG,377,4,87,128,166,2,0,7
MAUWA,697,1,10,238,21,1,1,2
MEMENG,902,1,1,70,2,2,0,6
NAGI,653,1,2,30,164,1,10,2
NANGEEN,1311,1,0,53,18,1,2,2
NAWAMIDANDA,603,1,8,113,132,0,0,1
OLANE,110,1,3,94,267,88,0,0
OYAM,711,0,1,24,20,2,4,4
PANCHAMI,664,0,3,47,293,3,9,9
PAUWA SARTAP,758,1,0,149,22,0,4,5
PHAKTEP,764,4,0,63,85,4,0,2
PHIDIM,3375,1,139,125,563,44,27,17
PRANGBUNG,850,0,10,10,14,0,0,9
RABI,84,12,9,166,304,422,0,2
RANI GAUN,275,1,7,547,228,4,2,4
RANITAR,1340,1,9,7,117,7,12,7
SARANG DANDA,1034,0,1,135,127,0,1,1
SIDIN,833,6,2,13,28,0,0,3
SIWA,599,1,83,48,27,0,1,0
SUBHANG,864,1,3,50,58,3,5,4
SYABRUMBA,171,4,33,424,80,2,0,0
THARPU,973,1,1,6,52,1,1,1
YANGANAM,1128,1,12,60,19,4,4,4
YASOK,351,0,4,512,70,5,0,5
TOTAL,29438,63,636,4266,5661,847,130,135
