VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AGRYOULI,2409,2716,1938,1835,442,853,29,28
AMARAPURI,1538,1580,1250,1205,261,345,27,30
AMRAUT,1051,1171,735,711,311,445,5,15
BADAHARA DUBAULIYA,1705,1736,980,845,710,871,15,20
BAIDAULI,1401,1290,839,746,526,479,36,65
BANJARIYA,1626,1760,1061,1092,556,649,9,19
BENIMANIPUR,1790,2273,1393,1512,357,711,40,50
BHARATIPUR,626,833,508,543,115,289,3,1
BHUJAHAWA,1484,1427,907,758,544,604,33,65
BULINGTAR,683,856,539,586,116,238,28,32
DADAJHERI TADI,621,679,488,453,113,167,20,59
DAWANNE DEVI,2642,3329,1960,2218,627,1036,55,75
DEDGAUN,612,760,481,489,95,178,36,93
DEURALI,3102,3753,2520,2596,563,1130,19,27
DEVACHULI,1567,1837,1262,1228,286,593,19,16
DEVAGAWA,1204,1212,886,749,309,440,9,23
DHAUBADI,1268,1598,975,1025,257,520,36,53
DHURKOT,1265,1428,925,904,334,516,6,8
DIBYAPURI,1926,2115,1454,1421,439,646,33,48
DUMKIBAS,2218,2581,1724,1700,455,820,39,61
GAIDAKOT,6160,5904,4700,4158,1226,1477,234,269
GAIRAMI,1364,1358,827,749,439,504,98,105
GUTHI PARSAUNI,1752,1717,1088,978,649,718,15,21
GUTHISURYAPURA,1205,1173,862,756,329,410,14,7
HAKUI,1392,1561,996,952,365,514,31,95
HARPUR,1383,1509,926,888,431,577,26,44
HUPSEKOT,776,1000,600,604,160,342,16,54
JAHADA,1598,1800,1121,1088,444,644,33,68
JAMUNIYA,1836,2009,1240,1181,478,646,118,182
JAUBARI,837,1066,624,674,175,342,38,50
KAWASWOTI,2238,2335,1758,1729,430,519,50,87
KOLHUWA,1667,1959,1292,1292,360,627,15,40
KOTATHAR,662,746,526,494,116,211,20,41
KUDIYA,2183,2342,1539,1442,632,877,12,23
KUMARWARTI,1013,1283,829,918,155,304,29,61
KUSMA,1470,1590,1035,925,388,551,47,114
MAINAGHAT,865,1095,669,675,176,360,20,60
MAKAR,4522,4903,3569,3520,908,1326,45,57
MANARI,1213,1257,880,871,307,340,26,46
MITHUKARAM,527,600,455,433,72,166,0,1
MUKUNDAPUR,2365,2347,1811,1639,437,570,117,138
NARAM,728,914,608,632,114,262,6,20
NARAYANI,1768,2148,1434,1457,316,658,18,33
NARSAHI,1321,1451,934,827,383,619,4,5
NAYA BELHANI,2350,2740,1909,1939,420,756,21,45
PAKALIHAWA,2545,2433,1703,1432,823,990,19,11
PALHI,1217,1333,909,844,284,421,24,68
PANCHANAGAR,1740,1991,1356,1398,346,543,38,50
PARSAUNI,1188,1416,918,927,256,472,14,17
PITHAULI,1551,1767,1236,1208,274,499,41,60
PRAGATINAGAR,2308,2507,1923,1839,350,609,35,59
PRATAPPUR,1468,1540,1046,980,413,551,9,9
RAJAHAR,1975,2164,1513,1480,408,594,54,90
RAKACHULI,1032,1292,817,826,185,405,30,61
RAKUWA,405,533,330,360,70,165,5,8
RAMGRAM MUNICIPALITY,5312,5504,3785,3538,1377,1723,150,243
RAMNAGAR,2811,3203,2281,2343,479,754,51,106
RAMPUR KHADAUNA,1055,977,672,524,361,442,22,11
RAMPURKHA,1121,1153,731,647,382,502,8,4
RATANAPUR,776,967,637,627,136,336,3,4
RUCHANG,640,792,528,544,103,236,9,12
RUPAULIYA,1654,1941,1245,1337,382,573,27,31
SANAI,1646,1678,1107,908,500,694,39,76
SARAWAL,1215,1242,808,724,398,499,9,19
SHIVMANDIR,4204,4658,3466,3377,699,1232,39,49
SOMANI,1515,1609,1054,1020,452,582,9,7
SUKRAULI,1165,1236,874,781,272,402,19,53
SUNWAL,5646,6237,4408,4244,1174,1905,64,88
SWATHI,2172,2296,1576,1458,556,769,40,69
TAMASARIYA,1825,2078,1506,1490,298,574,21,14
THULO KHAIRATAWA,1089,995,709,598,372,393,8,4
TILAKPUR,1504,1677,1155,1165,317,444,32,68
TRIBENISUSTA,1906,2167,1388,1370,495,757,23,40
UPALLO ARKHALE,864,1202,699,778,164,418,1,6
INSTITUTIONAL,1297,331,258,109,1037,218,2,4
