VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AGRYOULI,662,1685,398,5
AMARAPURI,45,1600,318,16
AMRAUT,815,94,8,4
BADAHARA DUBAULIYA,1107,113,12,19
BAIDAULI,770,78,53,5
BANJARIYA,966,224,30,4
BENIMANIPUR,404,1098,459,10
BHARATIPUR,471,141,56,2
BHUJAHAWA,917,116,51,4
BULINGTAR,463,223,68,2
DADAJHERI TADI,235,180,6,1
DAWANNE DEVI,1111,1142,676,21
DEDGAUN,240,294,213,3
DEURALI,995,1552,421,7
DEVACHULI,188,941,327,2
DEVAGAWA,818,53,55,1
DHAUBADI,7,829,203,22
DHURKOT,614,295,64,7
DIBYAPURI,328,1523,371,25
DUMKIBAS,824,1385,165,5
GAIDAKOT,577,5842,1570,33
GAIRAMI,894,93,13,6
GUTHI PARSAUNI,1056,175,1,16
GUTHISURYAPURA,713,98,9,7
HAKUI,951,72,3,18
HARPUR,914,132,36,4
HUPSEKOT,412,106,21,13
JAHADA,759,751,175,13
JAMUNIYA,915,564,207,12
JAUBARI,438,155,84,3
KAWASWOTI,329,2175,348,18
KOLHUWA,355,914,656,11
KOTATHAR,210,190,102,1
KUDIYA,1462,228,89,10
KUMARWARTI,242,832,145,19
KUSMA,808,171,91,9
MAINAGHAT,347,379,10,0
MAKAR,769,2493,2357,20
MANARI,547,227,294,6
MITHUKARAM,313,56,132,2
MUKUNDAPUR,236,2032,737,18
NARAM,305,169,28,0
NARAYANI,592,789,596,14
NARSAHI,730,50,165,8
NAYA BELHANI,666,1752,461,6
PAKALIHAWA,1400,142,101,13
PALHI,808,99,32,0
PANCHANAGAR,529,1166,454,7
PARSAUNI,606,675,95,12
PITHAULI,500,971,376,4
PRAGATINAGAR,75,2613,419,18
PRATAPPUR,895,300,59,4
RAJAHAR,21,1667,729,9
RAKACHULI,596,156,61,6
RAKUWA,293,112,81,0
RAMGRAM MUNICIPALITY,2964,1771,199,38
RAMNAGAR,997,1601,649,68
RAMPUR KHADAUNA,624,16,67,10
RAMPURKHA,666,100,56,0
RATANAPUR,211,287,99,2
RUCHANG,376,98,67,0
RUPAULIYA,693,514,532,8
SANAI,1021,90,48,7
SARAWAL,715,154,96,18
SHIVMANDIR,491,4271,603,30
SOMANI,908,183,36,16
SUKRAULI,890,55,29,3
SUNWAL,1593,4316,609,19
SWATHI,720,1017,361,4
TAMASARIYA,518,1744,161,3
THULO KHAIRATAWA,633,24,85,4
TILAKPUR,657,826,32,5
TRIBENISUSTA,913,534,572,10
UPALLO ARKHALE,101,465,106,0
TOTAL,48934,59978,19098,750
