VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
AGRYOULI,2030,10,406,2,289,5,4,4
AMARAPURI,1152,9,461,1,332,5,3,16
AMRAUT,549,0,23,301,43,0,1,4
BADAHARA DUBAULIYA,367,11,18,825,8,1,2,19
BAIDAULI,871,5,2,22,1,0,0,5
BANJARIYA,1031,4,10,129,45,1,0,4
BENIMANIPUR,1621,10,60,4,264,0,2,10
BHARATIPUR,661,0,4,0,3,0,0,2
BHUJAHAWA,766,13,10,294,0,1,0,4
BULINGTAR,683,0,19,0,52,0,0,2
DADAJHERI TADI,415,0,1,0,5,0,0,1
DAWANNE DEVI,2475,6,306,15,125,0,2,21
DEDGAUN,559,2,35,0,151,0,0,3
DEURALI,2634,4,122,2,204,2,0,7
DEVACHULI,1342,1,57,5,51,0,0,2
DEVAGAWA,805,4,18,72,21,0,6,1
DHAUBADI,1016,2,4,0,17,0,0,22
DHURKOT,950,1,12,0,10,0,0,7
DIBYAPURI,1418,5,537,1,246,8,5,27
DUMKIBAS,2005,13,277,0,71,4,4,5
GAIDAKOT,2971,90,4599,8,297,11,14,32
GAIRAMI,978,7,8,5,2,0,0,6
GUTHI PARSAUNI,793,9,33,379,10,0,8,16
GUTHISURYAPURA,625,4,8,178,2,1,2,7
HAKUI,684,9,16,298,2,0,16,19
HARPUR,1000,1,18,63,0,0,0,4
HUPSEKOT,539,0,0,0,0,0,0,13
JAHADA,1065,5,231,93,219,3,69,13
JAMUNIYA,1135,23,274,122,68,0,64,12
JAUBARI,660,1,14,1,0,0,0,4
KAWASWOTI,1386,18,1183,2,255,0,8,18
KOLHUWA,1590,4,143,1,169,4,14,11
KOTATHAR,491,0,4,1,6,0,0,1
KUDIYA,1644,0,34,46,14,1,40,10
KUMARWARTI,946,12,109,5,146,1,1,18
KUSMA,870,8,43,136,9,0,4,9
MAINAGHAT,727,0,4,0,5,0,0,0
MAKAR,3488,35,1864,5,204,4,20,19
MANARI,871,4,40,63,48,0,42,6
MITHUKARAM,480,3,4,2,10,0,2,2
MUKUNDAPUR,1607,7,976,2,414,0,0,17
NARAM,487,2,12,1,0,0,0,0
NARAYANI,1686,5,87,2,196,1,0,14
NARSAHI,896,2,40,2,5,0,0,8
NAYA BELHANI,2385,9,410,1,65,1,9,5
PAKALIHAWA,1509,25,7,82,1,0,19,13
PALHI,658,2,25,227,26,0,1,0
PANCHANAGAR,1676,6,395,2,69,0,1,7
PARSAUNI,1248,0,30,1,97,0,0,12
PITHAULI,1488,3,158,1,183,10,4,4
PRAGATINAGAR,1627,14,1036,1,421,2,6,18
PRATAPPUR,1057,1,56,110,11,0,18,5
RAJAHAR,1569,14,628,2,203,1,1,8
RAKACHULI,809,1,0,1,0,2,0,6
RAKUWA,434,0,4,0,48,0,0,0
RAMGRAM MUNICIPALITY,3048,47,1341,391,57,2,48,38
RAMNAGAR,2349,9,640,14,234,0,1,68
RAMPUR KHADAUNA,412,5,4,283,3,0,0,10
RAMPURKHA,550,10,65,189,5,0,3,0
RATANAPUR,595,1,1,0,0,0,0,2
RUCHANG,538,2,1,0,0,0,0,0
RUPAULIYA,1591,8,90,2,46,2,0,8
SANAI,558,3,17,562,10,0,9,7
SARAWAL,428,5,29,431,40,2,30,18
SHIVMANDIR,2930,18,2052,3,347,11,4,30
SOMANI,740,12,11,363,1,0,0,16
SUKRAULI,266,5,32,630,35,0,6,3
SUNWAL,4641,29,1662,4,179,1,2,19
SWATHI,1547,4,335,41,164,4,3,4
TAMASARIYA,1901,8,363,1,149,0,1,3
THULO KHAIRATAWA,287,8,2,418,1,0,26,4
TILAKPUR,1169,7,219,16,103,0,1,5
TRIBENISUSTA,1763,6,186,1,57,0,0,16
UPALLO ARKHALE,666,0,6,0,0,0,0,0
TOTAL,91408,611,21931,6865,6574,91,526,754
