VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
BHAGABATI,581,7,1,2,0,3
BOHARIGAU,751,6,0,0,0,3
BRAMHADEV,326,16,0,0,9,0
BYASH,172,0,0,2,0,0
CHHAPARI,484,41,2,0,0,2
DADAKOT,362,2,0,1,0,0
DATTU,401,55,1,0,0,1
DETHALA,554,77,0,1,0,1
DHAP,727,164,0,2,0,3
DHARI,745,2,0,5,0,6
DHAULAKOT,454,9,0,1,0,5
DHULIGADA,726,15,0,1,0,5
EYARKOT,420,2,0,0,0,0
GHUSA,242,1,0,0,0,0
GOKULESWOR,576,106,3,2,0,14
GULJAR,651,5,0,0,0,1
GWANI,902,17,0,0,0,11
HIKILA,485,5,0,1,0,8
HUNAINATH,334,0,0,0,0,3
HUTI,414,45,4,1,0,0
KANTE,511,3,0,0,0,6
KHALANGA,496,1282,323,11,5,6
KHANDESWORI,520,0,0,0,0,1
KHAR,649,39,0,1,0,9
KHARKADA,572,0,0,0,0,3
LALI,510,34,3,4,0,1
LATINATH,767,13,0,0,2,5
MALIKARJUN,451,20,7,0,0,1
PIPALCHAURI,370,1,0,1,0,2
RANISIKHAR,431,4,0,1,0,2
RAPLA,210,5,0,3,21,0
RITHACHAUPATA,893,14,0,0,0,5
SANKARPUR,562,37,0,1,0,0
SERI,420,2,0,1,0,0
SHARMAULI,799,9,0,0,0,4
SIKHAR,498,34,0,5,20,2
SIPTI,743,3,0,1,0,2
SITAULA,554,2,0,1,0,0
SUNSERA,558,6,1,0,0,8
TAPOBAN,387,16,0,0,0,2
UKU,690,13,1,15,1,1
TOTAL,21898,2112,346,64,58,126
