VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BHAGABATI,361,225,5,3
BOHARIGAU,366,313,77,4
BRAMHADEV,189,133,29,0
BYASH,168,1,5,0
CHHAPARI,256,200,72,1
DADAKOT,285,71,9,0
DATTU,145,290,23,0
DETHALA,493,133,6,1
DHAP,499,372,21,4
DHARI,173,81,502,2
DHAULAKOT,372,16,77,4
DHULIGADA,441,270,32,4
EYARKOT,142,219,61,0
GHUSA,120,107,15,1
GOKULESWOR,277,395,15,14
GULJAR,327,291,38,1
GWANI,517,326,80,7
HIKILA,234,240,21,4
HUNAINATH,256,67,13,1
HUTI,262,168,33,1
KANTE,335,163,22,0
KHALANGA,348,1640,129,6
KHANDESWORI,232,286,2,1
KHAR,350,142,199,7
KHARKADA,439,117,17,2
LALI,348,193,11,0
LATINATH,528,175,82,2
MALIKARJUN,224,240,14,1
PIPALCHAURI,279,74,21,0
RANISIKHAR,406,12,19,1
RAPLA,148,76,15,0
RITHACHAUPATA,768,125,19,0
SANKARPUR,375,194,31,0
SERI,262,160,1,0
SHARMAULI,469,269,71,3
SIKHAR,428,120,9,2
SIPTI,104,641,2,2
SITAULA,237,158,162,0
SUNSERA,250,287,30,6
TAPOBAN,169,230,5,1
UKU,523,184,14,0
TOTAL,13105,9404,2009,86
