VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AMBUNG,676,102,0,12
ANGDEEM,432,3,0,8
BASANTAPUR,819,270,0,22
CHHATE DHUNGA,572,6,0,83
CHUHANDANDA,700,20,2,49
DANGAPA,485,0,0,10
ESEEBU,537,20,1,58
EWA,572,45,2,82
HAMARJUNG,657,62,0,12
HWAKU,578,49,3,14
JALJALE,727,3,1,27
JIRIKHIMTI,618,100,3,23
KHAMLALUNG,534,17,0,64
MORAHANG,736,15,1,32
MYANGLUNG,1020,577,47,46
OKHRE,732,43,1,31
OYAKJUNG,958,13,1,35
PANCHAKANYA POKHARI,415,38,0,2
PHAKCHAMARA,504,3,1,21
PHULEK,326,11,2,2
PIPLE,301,6,0,24
POUTHAK,426,11,0,38
SABLA,456,86,0,26
SAMDU,463,8,0,33
SANKRANTI BAZAR,537,44,2,99
SHREE JUNG,467,6,2,60
SIMLE,838,21,1,59
SOLMA,853,17,12,18
SUDAP,644,12,0,15
SUNGNAM,796,22,1,11
TAMFULA,417,42,0,13
THOKLUNG,455,22,0,27
TOTAL,19251,1694,83,1056
