VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
AMAHIBARIYATI,225,21,4,1171,1,0,0,10
AMARDAHA,1137,30,168,1397,283,0,86,15
AMGACHHI,38,11,5,824,10,0,289,2
BABIYA BIRTA,746,38,95,2147,226,1,2,7
BAHUNI,2122,36,183,212,246,3,1,7
BAIJANATHPUR,326,15,132,616,15,1,106,9
BANIGAMA,1035,43,163,685,153,1,36,5
BARADANGA,100,31,15,2018,30,0,30,6
BAYARBAN,3650,33,400,168,356,1,11,17
BELBARI,3951,20,1378,43,286,8,6,32
BHAUDAHA,38,18,25,1167,11,0,135,7
BHOGATENI,1089,5,4,3,4,0,0,8
BIRATNAGAR SUB-METROPOLITAN CITY,11387,927,28645,3280,290,17,245,340
BUDHANAGAR,26,37,18,2378,9,0,216,15
DADARBAIRIYA,27,27,6,1458,20,0,164,0
DAINIYA,513,19,34,2238,5,0,95,10
DANGIHAT,4062,18,609,11,278,2,10,23
DANGRAHA,499,16,25,688,73,1,8,3
DRABESH,1167,45,270,1689,447,0,14,7
DULARI,1797,18,944,118,300,1,13,5
GOVINDAPUR,774,55,131,2142,207,0,61,5
HARAICHA,1007,6,198,23,231,2,10,5
HASANDAHA,1606,19,91,531,276,0,1,6
HATHIMUDHA,510,35,273,1158,86,0,140,4
HOKLABARI,559,27,63,290,169,0,12,1
INDRAPUR,3263,119,2458,75,361,7,19,41
ITAHARA,2525,17,326,239,458,0,3,4
JANTE,1713,5,93,1,52,0,0,1
JHORAHAT,229,24,185,710,48,0,53,5
JHURKIYA,339,17,17,2214,9,1,6,2
KASENI,1103,17,84,403,168,0,9,7
KATAHARI,1936,57,772,1973,16,1,131,9
KADMAHA,186,36,11,1276,3,0,0,5
KERABARI,3760,15,221,3,154,1,1,12
KEROUN,2154,12,159,323,190,1,78,9
LAKHANTARI,23,10,17,896,10,0,3,4
LETANG,3404,16,732,2,187,5,4,9
MADHUMALLA,4108,37,539,5,227,0,7,4
MAHADEWA,54,11,2,1059,2,0,0,7
MAJHARE,104,40,15,1532,5,0,354,2
MATIGACHHA,486,70,4,1932,16,0,91,4
MOTIPUR,685,28,11,448,33,0,0,4
MRIGAULIYA,2183,41,523,141,367,0,8,14
NECHA,25,11,3,730,0,0,60,3
PATHARI,3871,44,1541,52,187,2,2,25
PATIGAUN,476,0,1,1,0,0,0,0
POKHARIYA,7,29,2,586,1,0,57,0
RAJGHAT,1966,22,390,29,384,4,8,0
RAMITE KHOLA,607,4,0,1,1,0,0,5
RANGELI,999,61,290,1451,78,0,283,7
SANISCHARE,4569,25,687,8,357,7,21,28
SIDHARAHA,472,5,13,435,2,0,0,7
SIJUWA,1622,28,183,498,194,0,33,1
SINHADEVI SOMBARE,557,3,2,3,1,0,0,0
SISABANIBADAHARA,332,17,32,771,28,1,8,8
SISAWANIJAHADA,380,54,18,1069,3,0,61,1
SORABHAG,382,45,122,1889,14,1,15,6
SUNDARPUR,2975,46,934,14,309,0,1,33
TAKUWA,146,15,1,1596,5,1,2,5
TANDI,2023,14,38,5,3,0,0,3
TANKISINUWARI,1141,143,1765,1487,209,10,131,19
TETARIYA,433,21,67,824,89,1,0,4
THALAHA,108,17,10,1497,61,0,15,5
URLABARI,4205,71,3614,21,232,2,11,9
WARANGI,666,7,1,0,0,0,0,5
YANGSHILA,1429,2,7,5,4,0,2,2
TOTAL,96037,2806,49769,52659,8480,83,3168,868
