VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
NECHA,3700,1836,1864,2201,1290,911,102,52,50,1397,494,903,0,0,0,59.48648648648649,70.26143790849673,48.87339055793991
PATHARI,23094,10433,12661,18533,9110,9423,459,211,248,4091,1108,2983,11,4,7,80.25028145838746,87.31908367679479,74.42540083721664
PATIGAUN,1963,888,1075,1231,603,628,151,75,76,580,209,371,1,1,0,62.71013754457463,67.9054054054054,58.41860465116279
POKHARIYA,2921,1474,1447,1539,906,633,60,28,32,1320,539,781,2,1,1,52.687435809654225,61.46540027137042,43.7456807187284
RAJGHAT,11556,5161,6395,8594,4219,4375,223,108,115,2737,833,1904,2,1,1,74.36829352717204,81.74772330943615,68.41282251759186
RAMITE KHOLA,3049,1496,1553,2266,1189,1077,28,12,16,755,295,460,0,0,0,74.31944899967202,79.47860962566845,69.34964584674823
RANGELI,13961,7010,6951,9243,5330,3913,237,136,101,4479,1542,2937,2,2,0,66.2058591791419,76.0342368045649,56.294058408862035
SANISCHARE,22562,10002,12560,16842,8315,8527,473,216,257,5228,1464,3764,19,7,12,74.6476376207783,83.13337332533493,67.89012738853502
SIDHARAHA,3386,1570,1816,2196,1195,1001,65,31,34,1121,342,779,4,2,2,64.8552864737153,76.11464968152866,55.12114537444934
SIJUWA,10061,4616,5445,7181,3711,3470,185,85,100,2695,820,1875,0,0,0,71.37461484941855,80.39428076256499,63.72819100091828
SINHADEVI SOMBARE,2255,1045,1210,1377,708,669,171,95,76,707,242,465,0,0,0,61.06430155210643,67.75119617224881,55.289256198347104
SISABANIBADAHARA,4546,2163,2383,2965,1622,1343,80,33,47,1497,507,990,4,1,3,65.2221733391993,74.98844197873325,56.35753252203105
SISAWANIJAHADA,7336,3717,3619,3812,2279,1533,219,105,114,3301,1331,1970,4,2,2,51.962922573609596,61.312886736615546,42.359767891682786
SORABHAG,10728,5180,5548,5774,3270,2504,250,124,126,4702,1786,2916,2,0,2,53.821774794929155,63.12741312741312,45.133381398702234
SUNDARPUR,17235,8008,9227,12455,6355,6100,621,299,322,4148,1349,2799,11,5,6,72.26573832317958,79.35814185814186,66.11032838409017
TAKUWA,6959,3368,3591,4324,2483,1841,143,74,69,2489,811,1678,3,0,3,62.1353642764765,73.72327790973871,51.267056530214425
TANDI,8586,3901,4685,6044,2946,3098,527,279,248,2014,676,1338,1,0,1,70.39366410435592,75.5190976672648,66.12593383137674
TANKISINUWARI,19192,9719,9473,13304,7601,5703,397,165,232,5479,1948,3531,12,5,7,69.3205502292622,78.20763453030148,60.202681304760894
TETARIYA,5393,2568,2825,3866,2094,1772,111,43,68,1414,430,984,2,1,1,71.68551826441684,81.54205607476635,62.72566371681416
THALAHA,7589,3757,3832,4121,2401,1720,247,138,109,3221,1218,2003,0,0,0,54.30227961523257,63.907372903912695,44.88517745302714
URLABARI,32131,14736,17395,25978,12872,13106,548,256,292,5599,1605,3994,6,3,3,80.85026921041984,87.35070575461455,75.34348950847945
WARANGI,2833,1334,1499,1750,878,872,122,69,53,960,386,574,1,1,0,61.77197317331451,65.81709145427287,58.172114743162105
YANGSHILA,5895,2629,3266,4206,2040,2166,292,115,177,1396,473,923,1,1,0,71.34860050890586,77.59604412324077,66.31965707287202
INSTITUTIONAL,5767,4802,965,5529,4639,890,12,9,3,223,152,71,3,2,1,95.87307092075602,96.60558100791337,92.2279792746114
