VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AMAHIBARIYATI,1337,1364,893,846,415,482,29,36
AMARDAHA,2595,2885,1868,1817,703,1045,24,23
AMGACHHI,956,1152,709,762,217,320,30,70
BABIYA BIRTA,2721,3012,1809,1795,891,1191,21,26
BAHUNI,2136,2398,1676,1601,445,767,15,30
BAIJANATHPUR,1149,1164,670,653,474,508,5,3
BANIGAMA,1534,1680,1074,1108,450,553,10,19
BARADANGA,2625,2520,1394,1182,1182,1293,49,45
BAYARBAN,3508,3924,2786,2750,681,1113,41,61
BELBARI,4173,4589,3265,3256,848,1246,60,87
BHAUDAHA,1508,1496,974,893,515,592,19,11
BHOGATENI,1180,1284,708,734,432,511,40,39
BIRATNAGAR SUB-METROPOLITAN CITY,34154,33767,24629,22710,8834,10267,691,790
BUDHANAGAR,3228,3205,1901,1723,1287,1429,40,53
DADARBAIRIYA,1841,1877,1241,1235,594,621,6,21
DAINIYA,3305,3240,1626,1418,1572,1690,107,132
DANGIHAT,3814,4494,2955,3040,795,1335,64,119
DANGRAHA,955,1028,694,675,259,340,2,13
DRABESH,2925,3294,2024,2017,889,1260,12,17
DULARI,2553,2703,1974,1884,576,807,3,12
GOVINDAPUR,3081,3217,2063,1881,914,1179,104,157
HARAICHA,1143,1214,897,849,238,350,8,15
HASANDAHA,2054,2278,1572,1586,469,678,13,14
HATHIMUDHA,2109,2186,1321,1223,756,932,32,31
HOKLABARI,826,910,639,603,184,306,3,1
INDRAPUR,4657,4964,3571,3481,1062,1457,24,26
ITAHARA,2319,2677,1864,1937,449,734,6,6
JANTE,1469,1721,1147,1195,298,497,24,29
JHORAHAT,889,972,618,617,258,349,13,6
JHURKIYA,2319,2587,1471,1365,832,1197,16,25
KASENI,1248,1410,1009,1011,233,387,6,12
KATAHARI,5274,5136,3295,2961,1896,2058,83,117
KADMAHA,1843,1844,1290,1131,513,633,40,80
KERABARI,3360,3698,2506,2574,808,1074,46,50
KEROUN,2220,2478,1682,1657,530,804,8,17
LAKHANTARI,787,797,522,491,264,302,1,4
LETANG,3236,3687,2634,2727,583,928,19,32
MADHUMALLA,3901,4487,2954,3115,907,1329,40,43
MAHADEWA,1085,1122,696,662,360,438,29,22
MAJHARE,2172,2319,1344,1283,824,1029,4,7
MATIGACHHA,3134,3039,1806,1557,1155,1298,173,184
MOTIPUR,753,841,527,551,222,282,4,8
MRIGAULIYA,2450,2658,1873,1907,559,737,18,14
NECHA,870,924,609,578,256,324,5,22
PATHARI,4263,4721,3370,3340,848,1318,45,63
PATIGAUN,469,543,363,369,105,171,1,3
POKHARIYA,707,752,439,438,230,286,38,28
RAJGHAT,1984,2302,1554,1579,408,683,22,40
RAMITE KHOLA,782,773,541,525,237,244,4,4
RANGELI,3085,3126,2084,1951,941,1119,60,56
SANISCHARE,4293,4920,3284,3372,967,1494,42,54
SIDHARAHA,528,601,381,417,145,178,2,6
SIJUWA,1741,1922,1396,1321,333,585,12,16
SINHADEVI SOMBARE,495,556,338,392,156,164,1,0
SISABANIBADAHARA,819,903,573,589,227,289,19,25
SISAWANIJAHADA,1774,1768,1163,1079,583,649,28,40
SORABHAG,2479,2748,1540,1546,895,1147,44,55
SUNDARPUR,3513,3676,2561,2435,899,1177,53,64
TAKUWA,1389,1615,927,974,461,634,1,7
TANDI,1757,1987,1324,1332,416,639,17,16
TANKISINUWARI,4018,3997,2614,2485,1379,1488,25,24
TETARIYA,953,1083,657,670,268,384,28,29
THALAHA,1791,1782,1218,1039,461,524,112,219
URLABARI,5877,6243,4629,4548,1193,1618,55,77
WARANGI,691,762,487,523,157,201,47,38
YANGSHILA,1280,1538,943,1049,336,488,1,1
INSTITUTIONAL,1757,326,962,235,785,91,10,0
