VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
AMAHIBARIYATI,133,83,50,1705,927,778,704,417,287,375,251,124,272,151,121,43,30,13,17,17,0,0,0,0,0,0,0,4,1,3,18,9,9
AMARDAHA,478,254,224,3161,1657,1504,1760,932,828,1170,610,560,1017,526,491,166,99,67,63,54,9,19,17,2,0,0,0,288,161,127,14,10,4
AMGACHHI,64,31,33,1444,766,678,774,400,374,406,234,172,355,219,136,56,43,13,14,13,1,0,0,0,0,0,0,9,2,7,9,4,5
BABIYA BIRTA,213,106,107,3176,1718,1458,1807,970,837,1115,594,521,946,525,421,270,163,107,86,66,20,8,6,2,1,1,0,256,159,97,32,19,13
BAHUNI,275,156,119,2882,1526,1356,1719,886,833,1279,666,613,990,528,462,238,134,104,84,64,20,11,9,2,0,0,0,447,252,195,2,0,2
BAIJANATHPUR,95,52,43,1344,758,586,565,339,226,491,296,195,202,117,85,98,65,33,16,12,4,2,1,1,2,0,2,178,90,88,1,1,0
BANIGAMA,109,59,50,2077,1123,954,1189,652,537,1113,590,523,578,275,303,212,139,73,61,51,10,9,8,1,0,0,0,137,76,61,3,1,2
BARADANGA,247,126,121,2781,1607,1174,983,604,379,526,365,161,255,148,107,77,63,14,27,22,5,0,0,0,51,36,15,139,106,33,58,36,22
BAYARBAN,574,300,274,4662,2372,2290,2973,1394,1579,2109,1031,1078,1803,915,888,670,365,305,184,123,61,50,40,10,0,0,0,725,376,349,50,26,24
BELBARI,417,214,203,5278,2682,2596,3710,1864,1846,2702,1306,1396,2106,1016,1090,823,420,403,329,196,133,146,99,47,0,0,0,1520,706,814,48,25,23
