VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AMAHIBARIYATI,5,83,55,897,384,8
AMARDAHA,20,162,72,2060,790,12
AMGACHHI,43,36,58,353,688,1
BABIYA BIRTA,345,269,85,2018,534,11
BAHUNI,59,193,345,1977,225,11
BAIJANATHPUR,43,228,72,598,265,14
BANIGAMA,61,437,165,1232,223,3
BARADANGA,153,90,142,776,1059,10
BAYARBAN,27,179,384,3592,434,20
BELBARI,49,1521,694,3091,334,35
BHAUDAHA,4,87,76,851,378,5
BHOGATENI,96,1,1,991,7,17
BIRATNAGAR SUB-METROPOLITAN CITY,3086,22346,9339,7574,2100,686
BUDHANAGAR,69,150,125,1230,1108,17
DADARBAIRIYA,27,162,89,1224,198,2
DAINIYA,331,184,101,1421,862,15
DANGIHAT,108,695,720,3165,293,32
DANGRAHA,10,117,44,829,311,2
DRABESH,17,291,93,2094,1133,11
DULARI,296,1356,225,929,388,2
GOVINDAPUR,27,178,188,2102,871,9
HARAICHA,7,296,184,878,111,6
HASANDAHA,23,141,108,2023,228,7
HATHIMUDHA,60,458,230,820,634,4
HOKLABARI,9,39,83,727,260,3
INDRAPUR,134,1594,2051,2356,151,57
ITAHARA,52,269,200,2813,227,11
JANTE,5,36,40,1772,11,1
JHORAHAT,11,196,84,743,215,5
JHURKIYA,28,116,95,1648,713,5
KASENI,5,224,71,982,497,12
KATAHARI,248,1231,297,1640,1469,10
KADMAHA,88,112,17,1073,222,5
KERABARI,293,200,165,3457,34,18
KEROUN,8,220,181,2163,342,12
LAKHANTARI,4,36,53,642,224,4
LETANG,382,655,360,2910,36,16
MADHUMALLA,81,600,319,3743,173,11
MAHADEWA,5,33,19,674,395,9
MAJHARE,10,54,96,1042,848,2
MATIGACHHA,20,101,40,1374,1061,7
MOTIPUR,241,112,1,785,65,5
MRIGAULIYA,148,726,427,1659,296,21
NECHA,2,33,22,462,308,5
PATHARI,145,884,1101,3323,209,62
PATIGAUN,258,14,1,204,0,1
POKHARIYA,7,34,18,406,217,0
RAJGHAT,107,582,82,1822,194,16
RAMITE KHOLA,289,2,8,314,0,5
RANGELI,22,370,237,1402,1131,7
SANISCHARE,9,349,476,4573,261,34
SIDHARAHA,1,54,68,702,103,6
SIJUWA,112,294,89,1814,248,2
SINHADEVI SOMBARE,413,7,0,115,31,0
SISABANIBADAHARA,6,95,142,637,309,8
SISAWANIJAHADA,166,95,6,747,571,1
SORABHAG,303,333,39,1011,781,7
SUNDARPUR,276,871,692,2194,210,69
TAKUWA,56,174,60,938,537,6
TANDI,132,26,13,1902,9,4
TANKISINUWARI,242,1619,920,1590,461,73
TETARIYA,5,286,83,859,200,6
THALAHA,24,105,8,1073,501,2
URLABARI,176,2796,1473,3527,165,28
WARANGI,290,7,1,338,38,5
YANGSHILA,364,47,5,1024,7,4
TOTAL,10143,45291,23738,105905,27288,1505
