VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AMAHIBARIYATI,678,725,2,17,0,10
AMARDAHA,2062,1023,4,11,1,15
AMGACHHI,677,485,1,14,0,2
BABIYA BIRTA,1840,1396,3,14,2,7
BAHUNI,2278,492,12,17,4,7
BAIJANATHPUR,718,483,1,8,1,9
BANIGAMA,1579,495,12,30,0,5
BARADANGA,836,1357,5,25,1,6
BAYARBAN,3567,1015,12,21,4,17
BELBARI,5218,438,19,10,6,33
BHAUDAHA,669,612,3,11,99,7
BHOGATENI,268,564,4,250,19,8
BIRATNAGAR SUB-METROPOLITAN CITY,41418,3024,186,52,112,339
BUDHANAGAR,1206,1461,3,13,1,15
DADARBAIRIYA,846,842,2,10,2,0
DAINIYA,1692,1192,2,18,0,10
DANGIHAT,4510,442,10,23,5,23
DANGRAHA,962,311,9,24,4,3
DRABESH,2349,1261,4,18,0,7
DULARI,2805,363,13,9,1,5
GOVINDAPUR,1985,1324,13,41,6,6
HARAICHA,1199,241,11,2,24,5
HASANDAHA,1936,571,7,8,2,6
HATHIMUDHA,1731,452,8,11,0,4
HOKLABARI,718,385,8,8,1,1
INDRAPUR,5667,567,37,22,10,40
ITAHARA,3179,381,5,2,1,4
JANTE,1458,363,5,35,2,2
JHORAHAT,749,495,1,5,0,4
JHURKIYA,1416,1162,4,21,0,2
KASENI,1422,349,6,5,2,7
KATAHARI,3593,1279,5,7,2,9
KADMAHA,706,782,1,22,1,5
KERABARI,3658,473,7,7,9,13
KEROUN,2268,621,7,18,3,9
LAKHANTARI,525,417,4,10,3,4
LETANG,4035,277,25,9,4,9
MADHUMALLA,3928,884,16,83,12,4
MAHADEWA,505,605,5,12,1,7
MAJHARE,269,1736,5,38,2,2
MATIGACHHA,777,1804,4,12,2,4
MOTIPUR,524,667,2,11,1,4
MRIGAULIYA,2542,682,11,23,5,14
NECHA,555,266,2,6,0,3
PATHARI,5232,412,22,10,22,26
PATIGAUN,329,142,3,4,0,0
POKHARIYA,192,473,3,14,0,0
RAJGHAT,2459,322,11,7,4,0
RAMITE KHOLA,54,382,0,113,64,5
RANGELI,2334,760,12,51,5,7
SANISCHARE,4917,727,21,6,2,29
SIDHARAHA,403,517,0,7,0,7
SIJUWA,2010,532,9,7,0,1
SINHADEVI SOMBARE,170,284,4,87,21,0
SISABANIBADAHARA,733,442,6,7,1,8
SISAWANIJAHADA,624,934,9,16,2,1
SORABHAG,1267,1172,6,23,0,6
SUNDARPUR,3703,524,29,13,1,42
TAKUWA,1039,706,2,18,1,5
TANDI,812,754,6,479,32,3
TANKISINUWARI,4069,791,8,7,10,20
TETARIYA,1114,301,4,14,2,4
THALAHA,775,891,0,23,19,5
URLABARI,7473,621,40,11,11,9
WARANGI,3,549,1,119,2,5
YANGSHILA,872,348,3,141,85,2
TOTAL,162107,47348,705,2190,639,881
