VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,1480,6538,3661,2877,4.417567567567567,127.25060827250607
BHRAKA,83,306,149,157,3.6867469879518073,94.90445859872611
CHAME,279,1129,597,532,4.046594982078853,112.21804511278195
DHARAPANI,232,1012,515,497,4.362068965517241,103.62173038229376
FU,36,176,88,88,4.888888888888889,100
GHYARU,33,71,32,39,2.1515151515151514,82.05128205128204
KHANGSAR,58,257,138,119,4.431034482758621,115.96638655462186
MANANG,131,630,373,257,4.809160305343512,145.136186770428
NAR,86,362,170,192,4.209302325581396,88.54166666666666
NGAWAL,73,274,151,123,3.7534246575342465,122.76422764227641
PISANG,105,307,159,148,2.9238095238095236,107.43243243243244
TACHAI BAGARCHHAP,120,544,263,281,4.533333333333333,93.59430604982207
TANKI MANANG,110,377,203,174,3.4272727272727272,116.66666666666667
THOCHE,102,382,177,205,3.7450980392156863,86.34146341463415
