VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AAGLUNG,640,26,23,6,0,0,6
AMAR ARBATHOK,435,23,3,15,0,0,0
AMARPUR,806,5,7,20,1,0,1
ANPCHAUR,796,85,0,32,0,0,2
ARBANI,537,35,3,8,0,0,0
ARJAI,553,13,13,3,0,1,3
ARKHALE,1377,23,6,25,0,2,6
ARKHAWANG,299,2,1,0,0,0,8
ARLANGKOT,454,0,0,1,0,0,0
ASLEWA,625,46,1,94,0,0,3
BADAGAUN,1685,33,1,8,0,0,2
BANJHAKATERI,779,5,0,0,0,0,0
BALETAKSAR,993,89,2,2,0,0,6
BALITHUM,781,46,0,27,1,2,2
BAMGHA,798,31,4,20,0,0,2
BHARSE,415,5,0,0,0,0,0
BHURTUNG,858,3,0,2,0,0,1
BIRBAS,1012,67,0,9,0,0,0
BISUKHARKA,507,13,2,13,1,0,1
CHHAPAHILE,612,7,15,24,0,0,2
DARLAMCHAUR,661,2,1,1,0,0,2
DARBAR DEVISTHAN,1201,40,1,5,0,2,4
DARLING,590,0,7,4,0,0,0
DAUNGHA,619,25,0,16,0,0,3
GHAMIR,748,6,2,11,0,0,1
BASTU,669,24,2,1,0,0,2
BHANBHANE,738,0,2,0,0,0,0
NAYAGAUN,992,9,4,4,0,0,6
DHURKOT RAJASTHAL,701,7,2,8,0,0,2
DIGAM,1011,128,8,35,0,0,0
DIBRUNG,448,1,0,0,0,0,2
DOHALI,829,5,12,3,0,0,3
DUBICHAUR,547,51,4,9,0,0,0
FOKSING,574,2,1,0,0,0,3
GAUNDAKOT,535,107,0,1,0,0,0
GWAGHA,481,7,8,8,0,0,0
GWADI,593,27,0,18,0,0,4
HADAHADE,875,7,0,0,0,0,1
HANSARA,549,47,2,25,1,0,2
HARDINETA,967,56,4,17,0,0,1
HAREWA,428,2,0,4,0,0,2
HARMICHAUR,422,74,14,13,0,2,2
HARRACHAUR,397,46,0,1,0,0,0
HASTICHAUR,1509,30,5,8,0,0,0
HAWANGDI,384,1,1,2,0,0,1
HUNGA,786,41,1,23,0,2,5
ISMA RAJASTHAL,790,4,2,7,0,1,1
JAISITHOK,611,5,3,8,0,0,0
JAYAKHANI,265,1,1,0,0,0,3
JOHANG,962,77,3,47,0,0,9
JUNIYA,621,20,0,31,0,0,2
JUVUNG,930,12,1,3,0,0,1
KHADGAKOT,806,6,7,11,0,0,7
KHARJYANG,858,33,9,31,0,0,3
KURGHA,595,99,2,12,0,0,0
LIMGHA,603,84,1,18,0,0,2
MALAGIRI,430,17,1,1,0,0,1
MARBHUNG,823,54,1,2,0,0,3
MUSIKOT,826,10,1,6,0,0,14
MYAL POKHARI,503,2,0,2,0,0,0
NETA,679,0,4,0,0,0,13
PALLIKOT,616,11,0,5,0,0,1
PARALMI,678,3,0,10,0,0,4
PAUDI AMARAYEE,731,6,4,0,0,1,3
PIPALDHARA,748,8,2,0,0,0,3
PURKOT DAHA,872,18,1,1,0,0,0
PURTIGHAT,417,15,2,2,0,1,0
RIMUWA,518,7,2,34,0,0,1
RUPAKOT,807,42,2,24,0,0,3
RURU,699,109,3,64,0,0,0
SHANTIPUR,775,87,5,41,0,0,2
SIMICHAUR,1151,56,1,10,0,0,5
SIRSENI,755,0,5,10,0,1,12
TAMGHAS,1559,2437,76,57,3,10,33
THANPATI,625,18,0,31,0,2,1
THULO LUMPEK,1107,15,8,94,0,2,5
TURANG,800,120,5,33,0,0,3
WAGLA,796,5,2,10,0,0,0
WAMITAKSAR,1156,141,4,20,0,0,2
TOTAL,58328,4824,320,1151,7,29,228
