VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AAGLUNG,648,6,18,23,0,6
AMAR ARBATHOK,451,3,0,22,0,0
AMARPUR,802,4,0,33,0,1
ANPCHAUR,810,66,6,31,0,2
ARBANI,561,7,2,13,0,0
ARJAI,560,2,4,17,0,3
ARKHALE,1368,7,7,48,4,5
ARKHAWANG,301,1,0,0,0,8
ARLANGKOT,452,0,1,2,0,0
ASLEWA,622,20,24,100,0,3
BADAGAUN,1694,17,5,11,0,2
BANJHAKATERI,781,3,0,0,0,0
BALETAKSAR,1018,9,58,2,0,5
BALITHUM,810,17,4,25,2,1
BAMGHA,802,9,20,22,0,2
BHARSE,417,2,1,0,0,0
BHURTUNG,859,2,0,2,0,1
BIRBAS,1038,9,36,5,0,0
BISUKHARKA,525,2,0,9,1,0
CHHAPAHILE,625,4,1,28,0,2
DARLAMCHAUR,662,1,1,1,0,2
DARBAR DEVISTHAN,1207,33,1,3,5,4
DARLING,591,0,0,10,0,0
DAUNGHA,636,7,0,17,0,3
GHAMIR,756,3,1,7,0,1
BASTU,682,12,0,2,0,2
BHANBHANE,735,0,0,5,0,0
NAYAGAUN,999,6,0,4,0,6
DHURKOT RAJASTHAL,715,1,1,2,0,1
DIGAM,1094,31,27,30,0,0
DIBRUNG,448,0,1,0,0,2
DOHALI,844,4,0,1,0,3
DUBICHAUR,560,34,5,11,1,0
FOKSING,577,0,0,0,0,3
GAUNDAKOT,535,94,13,1,0,0
GWAGHA,483,6,0,15,0,0
GWADI,599,10,9,20,0,4
HADAHADE,880,1,1,0,0,1
HANSARA,562,7,22,33,0,2
HARDINETA,987,15,16,26,0,1
HAREWA,429,2,0,3,0,2
HARMICHAUR,423,24,11,66,1,2
HARRACHAUR,392,0,51,1,0,0
HASTICHAUR,1519,16,2,15,0,0
HAWANGDI,385,1,0,2,0,1
HUNGA,811,10,8,25,1,3
ISMA RAJASTHAL,792,2,3,7,0,1
JAISITHOK,623,0,0,4,0,0
JAYAKHANI,265,1,0,1,0,3
JOHANG,985,21,45,40,0,7
JUNIYA,625,1,19,27,0,2
JUVUNG,937,6,1,2,0,1
KHADGAKOT,816,1,0,14,0,6
KHARJYANG,876,11,3,40,1,3
KURGHA,603,22,72,10,1,0
LIMGHA,668,2,4,34,0,0
MALAGIRI,449,0,0,1,0,0
MARBHUNG,829,48,0,3,0,3
MUSIKOT,830,5,0,9,0,13
MYAL POKHARI,503,2,0,2,0,0
NETA,681,0,0,4,0,11
PALLIKOT,619,4,6,1,3,0
PARALMI,663,1,0,27,0,4
PAUDI AMARAYEE,731,5,2,3,1,3
PIPALDHARA,753,2,1,2,0,3
PURKOT DAHA,876,12,3,1,0,0
PURTIGHAT,417,5,12,3,0,0
RIMUWA,512,4,7,38,0,1
RUPAKOT,852,12,5,6,0,3
RURU,708,41,67,59,0,0
SHANTIPUR,778,22,68,40,0,2
SIMICHAUR,1141,36,19,23,0,4
SIRSENI,764,0,0,6,1,12
TAMGHAS,1618,1182,1241,103,3,28
THANPATI,633,8,2,31,2,1
THULO LUMPEK,1068,2,18,137,1,5
TURANG,822,49,53,33,1,3
WAGLA,795,3,2,13,0,0
WAMITAKSAR,1180,115,4,22,0,2
TOTAL,59067,2133,2014,1439,29,205
