VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AAGLUNG,23,330,1,211,131,5
AMAR ARBATHOK,453,21,1,0,0,1
AMARPUR,10,370,0,372,87,1
ANPCHAUR,769,144,2,0,0,0
ARBANI,527,56,0,0,0,0
ARJAI,36,234,1,309,4,2
ARKHALE,1312,111,1,7,2,6
ARKHAWANG,3,184,1,115,0,7
ARLANGKOT,369,80,0,0,6,0
ASLEWA,727,40,0,0,0,2
BADAGAUN,1496,211,2,6,13,1
BANJHAKATERI,173,397,5,198,11,0
BALETAKSAR,1057,27,2,1,1,4
BALITHUM,683,167,1,0,7,1
BAMGHA,706,144,0,3,0,2
BHARSE,0,27,0,391,2,0
BHURTUNG,796,52,0,2,14,0
BIRBAS,1038,47,0,0,2,1
BISUKHARKA,479,43,0,2,13,0
CHHAPAHILE,236,282,1,137,2,2
DARLAMCHAUR,92,291,3,238,41,2
DARBAR DEVISTHAN,1203,45,0,1,1,3
DARLING,53,214,1,118,215,0
DAUNGHA,531,125,3,1,0,3
GHAMIR,131,348,5,275,9,0
BASTU,208,284,4,198,3,1
BHANBHANE,57,217,1,361,104,0
NAYAGAUN,194,483,5,308,21,4
DHURKOT RAJASTHAL,45,388,2,285,0,0
DIGAM,1133,48,1,0,0,0
DIBRUNG,385,42,1,1,22,0
DOHALI,236,416,0,183,17,0
DUBICHAUR,560,45,2,1,3,0
FOKSING,535,38,0,4,0,3
GAUNDAKOT,557,82,3,1,0,0
GWAGHA,454,42,0,6,2,0
GWADI,366,172,0,98,2,4
HADAHADE,15,261,0,502,105,0
HANSARA,460,101,5,58,2,0
HARDINETA,1001,37,3,1,2,1
HAREWA,401,33,1,0,0,1
HARMICHAUR,484,35,1,0,7,0
HARRACHAUR,388,46,0,6,4,0
HASTICHAUR,1088,385,0,56,23,0
HAWANGDI,29,35,0,187,137,1
HUNGA,801,54,0,0,1,2
ISMA RAJASTHAL,127,319,0,355,3,1
JAISITHOK,483,136,5,0,2,1
JAYAKHANI,230,37,0,0,0,3
JOHANG,965,109,2,16,1,5
JUNIYA,135,358,1,179,0,1
JUVUNG,848,98,1,0,0,0
KHADGAKOT,761,64,3,2,6,1
KHARJYANG,822,108,0,0,0,4
KURGHA,599,101,4,1,3,0
LIMGHA,639,61,0,3,0,5
MALAGIRI,7,119,0,97,226,1
MARBHUNG,71,538,3,267,1,3
MUSIKOT,149,601,6,79,10,12
MYAL POKHARI,0,235,0,182,89,1
NETA,149,239,0,153,146,9
PALLIKOT,577,54,0,1,1,0
PARALMI,244,343,2,66,37,3
PAUDI AMARAYEE,142,459,3,136,3,2
PIPALDHARA,4,258,4,368,124,3
PURKOT DAHA,33,365,1,435,58,0
PURTIGHAT,388,48,0,1,0,0
RIMUWA,507,53,0,1,0,1
RUPAKOT,716,158,0,2,0,2
RURU,780,93,2,0,0,0
SHANTIPUR,835,70,2,1,0,2
SIMICHAUR,1117,94,6,1,2,3
SIRSENI,154,335,1,252,29,12
TAMGHAS,4032,108,14,2,5,14
THANPATI,468,207,0,0,1,1
THULO LUMPEK,1116,109,2,1,1,2
TURANG,876,71,3,2,6,3
WAGLA,166,285,1,285,76,0
WAMITAKSAR,1214,95,0,6,4,4
TOTAL,41654,13562,125,7537,1850,159
