VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
ADGURI,867,35,9,16,3,0,5
ARGHA,1265,30,13,3,0,0,7
ARGHATOS,1035,18,1,1,0,0,0
ASURKOT,444,3,7,46,1,0,0
BALKOT,1006,9,0,8,0,0,3
BANGI,1069,1,4,0,0,0,2
WANGLA,1117,15,2,43,1,0,3
BHAGAWATI,924,30,2,4,0,0,2
CHHATRAGANJ,663,10,0,2,0,0,1
CHIDIKA,782,3,0,19,0,0,5
DHAKAWANG,1556,3,1,0,0,0,8
DHANCHAUR,840,9,1,1,0,0,5
DHARAPANI,1365,17,2,5,0,0,2
DHATIWANG,261,1,0,59,104,0,1
DHIKURA,998,5,0,4,0,0,2
DIBHARNA,1517,33,12,8,0,2,1
GOKHUNGA,754,5,2,0,0,1,1
HANSAPUR,1811,25,20,4,1,0,5
JUKENA,1332,4,43,53,0,2,1
JALUKE,879,47,141,149,14,0,12
KEEMDADA,818,8,6,1,0,0,5
KERUNGA,1076,7,0,34,0,0,1
KHANA,1072,16,0,2,0,0,4
KHANCHIKOT,706,70,4,11,0,1,5
KHANDAHA,877,18,1,3,0,0,1
KHIDIM,734,35,1,92,0,2,5
KHILJI,784,3,0,11,0,1,1
MAIDAN,889,6,0,52,0,1,7
MARENG,947,16,3,0,0,0,0
NARPANI,854,16,1,22,0,0,3
NUWAKOT,1505,24,8,59,0,1,5
PALI,929,11,3,19,0,0,4
PATAUTI,720,14,1,2,0,0,9
PANENA,531,7,0,18,0,0,1
POKHARATHOK,767,20,1,9,0,0,3
SANDHIKHARKA,1683,1971,29,69,21,1,47
SIDDHARA,832,3,788,3,4,27,8
SIMALPANI,984,19,239,29,0,6,7
SITAPUR,829,32,0,13,0,1,2
SUBARNAKHAL,581,2,1,31,0,0,2
THADA,1672,139,225,30,0,0,15
THULAPOKHARA,884,14,0,4,0,0,7
TOTAL,41159,2754,1571,939,149,46,208
