VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ADGURI,131,283,517,4
ARGHA,316,656,344,2
ARGHATOS,179,319,557,0
ASURKOT,156,207,137,1
BALKOT,219,273,533,1
BANGI,402,486,188,0
WANGLA,113,403,661,4
BHAGAWATI,36,322,603,1
CHHATRAGANJ,57,223,395,1
CHIDIKA,298,265,242,4
DHAKAWANG,439,574,547,8
DHANCHAUR,288,234,331,3
DHARAPANI,361,725,302,3
DHATIWANG,181,148,96,1
DHIKURA,365,417,225,2
DIBHARNA,530,503,539,1
GOKHUNGA,131,266,366,0
HANSAPUR,718,432,714,2
JUKENA,332,242,861,0
JALUKE,573,147,513,9
KEEMDADA,264,225,347,2
KERUNGA,50,393,674,1
KHANA,293,407,391,3
KHANCHIKOT,330,319,147,1
KHANDAHA,101,546,253,0
KHIDIM,285,211,368,5
KHILJI,358,231,211,0
MAIDAN,304,260,385,6
MARENG,74,453,439,0
NARPANI,140,320,434,2
NUWAKOT,550,366,685,1
PALI,125,139,698,4
PATAUTI,167,270,309,0
PANENA,23,241,292,1
POKHARATHOK,336,240,223,1
SANDHIKHARKA,308,2665,802,46
SIDDHARA,1329,92,237,7
SIMALPANI,697,172,409,6
SITAPUR,264,548,63,2
SUBARNAKHAL,258,133,224,2
THADA,1066,694,308,13
THULAPOKHARA,140,332,430,7
TOTAL,13287,16382,17000,157
