VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ARNAMALALPUR,1627,72,18,14
ARNAMARAMPUR,613,72,12,16
ASANPUR,1158,800,544,8
ASHOKPUR BALKAWA,742,137,44,7
AURAHI,855,105,40,10
AYODHYANAGAR,758,25,57,2
BADHARAMAL,2393,511,424,18
BARCHHAWA,632,27,73,5
BARIYARPATTI,821,63,21,1
BASTIPUR,1073,36,43,6
BELAHA,627,281,120,8
BELHI,768,29,26,1
BETAUNA,869,65,50,8
BHADAIYA,909,60,47,1
BHAGWANPUR,678,36,15,6
BHAGAWATIPUR,741,91,33,0
BHAWANIPUR,942,40,108,2
BHAWANPUR KALABANZAR,660,63,9,8
BHOKRAHA,196,87,56,2
BISHNUPUR PRA.MA.,745,176,29,1
BISHNUPUR PRA.RA,926,81,13,0
BISHNUPURKATTI,1747,259,143,36
BRAHMAGAUGHADI,160,477,34,5
CHANDRA AYODHYAPUR,1174,65,60,8
CHANDRALALPUR,723,177,177,16
CHANDRODAYAPUR,1019,66,35,3
CHATARI,358,119,6,2
CHIKANA,621,54,31,17
DEVIPUR,682,30,28,21
DHANGADI,1504,347,187,30
DHODHANA,922,26,29,2
DUMARI,632,72,21,14
DURGAPUR,812,47,14,6
FULBARIYA,1569,142,226,5
FULKAHA KATI,1686,27,55,27
GADHA,803,14,58,3
GAURIPUR,487,21,1,11
GAUTARI,568,86,63,5
GOVINDAPUR MALAHANAMA,1203,96,16,5
GOVINDPUR TAREGANA,920,72,35,23
HAKPARA,516,283,17,1
HANUMANNAGAR,1140,95,14,5
HANUMANNAGAR (PRA.DHA.),631,46,81,17
HARAKATTI,558,10,1,1
INARWA,1632,109,178,32
ITARHAWA,307,170,277,5
ITARI PARSAHI,767,102,4,0
ITATAR,779,35,6,14
JAMADAHA,923,106,82,7
JANAKINAGAR,682,36,9,5
JIGHAUL,784,56,8,12
KABILASI,551,33,6,4
KACHANARI,956,39,17,4
KALYANPUR JABADI,1471,223,67,20
KALYANPURKALABANZAR,560,20,36,1
KARJANHA,1209,143,31,20
KHARUKYANHI,782,40,6,1
KHIRAUNA,497,103,29,14
KRISHNAPUR BIRTA,695,27,12,2
KUSHAHALAXININIYA,597,39,33,0
LAGADI GADIYANI,884,70,21,15
LAGADIGOTH,407,17,179,11
LAHAN MUNICIPALITY,2596,2861,966,56
LALPUR,497,96,164,5
LAXMINIYA,758,17,21,1
LAXMIPUR (PRA.MA.),640,63,23,2
LAXMIPUR PATARI,787,28,18,0
MADAR,1154,445,115,11
MAHADEWA PORTAHA,676,45,2,7
MAHANAUR,872,151,22,15
MAHESHPUR GAMHARIA,692,110,33,3
MAHESHPUR PATARI,697,28,21,7
MAJHAULIYA,675,138,38,7
MAJHAURA,886,50,1,9
MALHANIYA GAMHARIA,394,47,15,0
MALHANIYAKHORI,593,166,45,6
MAUWAHI,561,19,17,0
BHEDIA,740,35,30,17
MOHANPUR KAMALPUR,915,37,29,5
MUKSAR,676,17,5,5
NAHARA RIGOUL,833,72,67,3
NARAHA BALKAWA,747,102,9,10
NAVARAJPUR,1415,36,12,6
PADARIYA THARUTOL,536,105,500,6
PIPRA PRA.DHA,577,86,5,7
PIPRA PRA.PI,1061,45,5,31
POKHARBHINDA,553,38,50,4
RAGHOPUR,644,43,36,15
RAJPUR,916,35,15,3
RAMNAGAR MIRCHAIYA,1231,1041,285,23
RAMPUR BIRTA,660,154,146,4
SAKHUWANANKARKATTI,540,23,21,0
SANHAITHA,953,67,16,0
SARSWAR,914,119,184,4
SIKRON,522,36,25,7
SILORBA PACHHAWARI,866,27,15,2
SIRAHA MUNICIPALITY,3035,1712,597,56
SISAWANI,583,87,311,12
SITAPUR PRA.DA.,995,35,60,5
SITAPUR PRA.RA.,792,34,38,7
SONMATI MAJHAURA,637,74,28,6
SOTHIYAN,652,52,11,3
SUKHACHINA,446,47,23,8
SUKHIPUR,1614,170,161,13
TENUWAPATTI,665,33,46,6
THALAHA KATAHA,732,69,18,2
TULSIPUR,568,46,64,11
VIDHYANAGAR,707,81,2,3
TOTAL,92854,15678,8430,967
