VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
ARNAMALALPUR,17,293,33,1249,2,120,17
ARNAMARAMPUR,6,205,3,496,0,3,0
ASANPUR,115,1397,48,936,1,2,11
ASHOKPUR BALKAWA,52,236,54,554,1,6,27
AURAHI,14,165,217,599,1,0,14
AYODHYANAGAR,49,161,82,546,1,0,3
BADHARAMAL,66,646,12,2594,2,2,24
BARCHHAWA,7,106,13,601,0,0,10
BARIYARPATTI,29,160,4,710,0,2,1
BASTIPUR,10,217,10,914,1,1,5
BELAHA,38,538,56,380,2,15,7
BELHI,3,227,1,592,0,0,1
BETAUNA,3,304,0,656,2,17,10
BHADAIYA,9,72,0,930,1,3,2
BHAGWANPUR,22,106,11,586,1,0,9
BHAGAWATIPUR,84,361,2,414,0,0,4
BHAWANIPUR,8,240,265,577,0,0,2
BHAWANPUR KALABANZAR,9,164,7,557,0,1,2
BHOKRAHA,2,83,5,248,0,0,3
BISHNUPUR PRA.MA.,8,251,4,677,2,2,7
BISHNUPUR PRA.RA,0,171,9,838,2,0,0
BISHNUPURKATTI,82,165,77,1820,0,0,41
BRAHMAGAUGHADI,17,156,5,489,1,0,8
CHANDRA AYODHYAPUR,25,206,27,985,10,42,12
CHANDRALALPUR,78,318,33,639,3,1,21
CHANDRODAYAPUR,30,149,35,889,9,4,7
CHATARI,2,197,1,283,0,0,2
CHIKANA,8,56,5,616,0,0,38
DEVIPUR,12,121,45,567,2,3,11
DHANGADI,285,593,36,1106,6,4,38
DHODHANA,172,33,5,767,0,1,1
DUMARI,76,157,12,463,2,0,29
DURGAPUR,19,276,0,552,0,24,8
FULBARIYA,37,373,137,1384,1,0,10
FULKAHA KATI,9,182,10,1563,1,4,26
GADHA,31,115,1,704,1,23,3
GAURIPUR,5,55,0,447,0,0,13
GAUTARI,27,167,40,483,0,0,5
GOVINDAPUR MALAHANAMA,101,281,2,931,0,0,5
GOVINDPUR TAREGANA,59,28,72,823,1,2,65
HAKPARA,25,191,3,588,0,0,10
HANUMANNAGAR,31,203,7,992,1,7,13
HANUMANNAGAR (PRA.DHA.),30,207,3,330,0,3,202
HARAKATTI,1,69,5,492,0,0,3
INARWA,204,339,13,1307,3,56,29
ITARHAWA,8,132,5,608,3,0,3
ITARI PARSAHI,7,214,14,636,0,0,2
ITATAR,18,88,5,491,2,0,230
JAMADAHA,61,150,37,835,13,12,10
JANAKINAGAR,77,126,2,507,3,12,5
JIGHAUL,30,127,0,682,2,0,19
KABILASI,5,103,1,480,0,0,5
KACHANARI,126,202,5,547,12,120,4
KALYANPUR JABADI,102,471,9,1167,10,2,20
KALYANPURKALABANZAR,34,90,3,486,1,0,3
KARJANHA,16,257,5,1087,4,0,34
KHARUKYANHI,30,73,0,719,6,0,1
KHIRAUNA,6,181,11,425,2,4,14
KRISHNAPUR BIRTA,20,146,0,567,0,0,3
KUSHAHALAXININIYA,39,173,7,449,0,1,0
LAGADI GADIYANI,25,220,2,726,3,0,14
LAGADIGOTH,6,86,0,511,0,0,11
LAHAN MUNICIPALITY,229,3715,464,1945,16,20,90
LALPUR,92,129,86,451,3,0,1
LAXMINIYA,125,233,2,427,2,0,8
LAXMIPUR (PRA.MA.),79,172,74,398,2,0,3
LAXMIPUR PATARI,9,130,0,666,0,28,0
MADAR,41,650,30,987,0,0,17
MAHADEWA PORTAHA,13,105,0,605,0,0,7
MAHANAUR,37,169,6,801,16,2,29
MAHESHPUR GAMHARIA,10,293,116,402,0,1,16
MAHESHPUR PATARI,40,95,4,601,1,6,6
MAJHAULIYA,37,178,159,470,1,0,13
MAJHAURA,82,110,3,737,3,1,10
MALHANIYA GAMHARIA,31,167,2,254,0,0,2
MALHANIYAKHORI,20,211,9,529,15,0,26
MAUWAHI,10,70,39,474,3,1,0
BHEDIA,15,125,136,527,0,0,19
MOHANPUR KAMALPUR,7,201,3,769,1,0,5
MUKSAR,9,40,21,624,1,0,8
NAHARA RIGOUL,82,178,2,708,1,0,4
NARAHA BALKAWA,192,179,5,478,0,0,14
NAVARAJPUR,415,180,17,754,7,90,6
PADARIYA THARUTOL,114,225,20,777,2,1,8
PIPRA PRA.DHA,7,137,11,513,0,0,7
PIPRA PRA.PI,16,161,5,926,4,0,30
POKHARBHINDA,16,93,12,521,0,0,3
RAGHOPUR,8,94,11,602,0,0,23
RAJPUR,185,137,10,631,2,0,4
RAMNAGAR MIRCHAIYA,307,1430,164,649,3,0,27
RAMPUR BIRTA,6,291,31,608,0,20,8
SAKHUWANANKARKATTI,5,57,9,511,1,0,1
SANHAITHA,45,291,121,569,3,1,6
SARSWAR,15,718,5,479,0,0,4
SIKRON,22,79,135,348,0,0,6
SILORBA PACHHAWARI,1,52,0,855,0,0,2
SIRAHA MUNICIPALITY,271,2646,166,2240,8,1,68
SISAWANI,13,153,19,794,1,0,13
SITAPUR PRA.DA.,6,138,1,946,0,0,4
SITAPUR PRA.RA.,8,265,7,586,0,0,5
SONMATI MAJHAURA,18,233,2,486,0,1,5
SOTHIYAN,12,102,1,599,1,0,3
SUKHACHINA,30,148,4,334,0,0,8
SUKHIPUR,53,408,12,1461,5,0,19
TENUWAPATTI,20,195,1,515,1,13,5
THALAHA KATAHA,10,140,5,663,1,0,2
TULSIPUR,7,180,1,494,1,0,6
VIDHYANAGAR,33,213,1,528,0,13,5
TOTAL,5330,29495,3448,77039,226,698,1693
