VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ARNAMALALPUR,1719,1,8,3
ARNAMARAMPUR,705,4,0,4
ASANPUR,2228,202,4,76
ASHOKPUR BALKAWA,894,11,1,24
AURAHI,1008,2,0,0
AYODHYANAGAR,827,5,2,8
BADHARAMAL,3264,64,4,14
BARCHHAWA,684,3,0,50
BARIYARPATTI,869,23,14,0
BASTIPUR,1150,2,3,3
BELAHA,1035,1,0,0
BELHI,821,0,1,2
BETAUNA,989,0,0,3
BHADAIYA,1004,1,0,12
BHAGWANPUR,727,5,0,3
BHAGAWATIPUR,857,2,1,5
BHAWANIPUR,1064,0,0,28
BHAWANPUR KALABANZAR,737,0,0,3
BHOKRAHA,341,0,0,0
BISHNUPUR PRA.MA.,904,16,0,31
BISHNUPUR PRA.RA,1015,2,1,2
BISHNUPURKATTI,2182,1,1,1
BRAHMAGAUGHADI,673,0,0,3
CHANDRA AYODHYAPUR,1180,38,0,89
CHANDRALALPUR,934,159,0,0
CHANDRODAYAPUR,1086,31,0,6
CHATARI,481,0,1,3
CHIKANA,721,1,0,1
DEVIPUR,755,0,0,6
DHANGADI,2028,38,1,1
DHODHANA,880,2,2,95
DUMARI,739,0,0,0
DURGAPUR,874,2,0,3
FULBARIYA,1919,18,2,3
FULKAHA KATI,1780,2,11,2
GADHA,875,2,0,1
GAURIPUR,513,0,0,7
GAUTARI,710,2,0,10
GOVINDAPUR MALAHANAMA,1313,2,0,5
GOVINDPUR TAREGANA,1043,6,0,1
HAKPARA,794,0,0,23
HANUMANNAGAR,1215,1,7,31
HANUMANNAGAR (PRA.DHA.),775,0,0,0
HARAKATTI,565,4,0,1
INARWA,1881,21,1,48
ITARHAWA,753,5,0,1
ITARI PARSAHI,872,0,1,0
ITATAR,804,0,1,29
JAMADAHA,1116,1,0,1
JANAKINAGAR,731,0,0,1
JIGHAUL,849,0,9,2
KABILASI,594,0,0,0
KACHANARI,966,3,3,44
KALYANPUR JABADI,1774,3,2,2
KALYANPURKALABANZAR,598,0,17,2
KARJANHA,1399,4,0,0
KHARUKYANHI,829,0,0,0
KHIRAUNA,639,0,0,4
KRISHNAPUR BIRTA,735,0,0,1
KUSHAHALAXININIYA,658,0,1,10
LAGADI GADIYANI,954,20,13,3
LAGADIGOTH,613,0,0,1
LAHAN MUNICIPALITY,5397,914,92,76
LALPUR,760,1,0,1
LAXMINIYA,795,1,0,1
LAXMIPUR (PRA.MA.),715,3,0,10
LAXMIPUR PATARI,812,1,0,20
MADAR,1666,23,26,10
MAHADEWA PORTAHA,722,0,3,5
MAHANAUR,1053,5,1,1
MAHESHPUR GAMHARIA,804,2,0,32
MAHESHPUR PATARI,745,3,0,5
MAJHAULIYA,788,0,0,70
MAJHAURA,932,5,1,8
MALHANIYA GAMHARIA,445,1,9,1
MALHANIYAKHORI,808,1,0,1
MAUWAHI,596,0,0,1
BHEDIA,730,0,92,0
MOHANPUR KAMALPUR,984,0,1,1
MUKSAR,703,0,0,0
NAHARA RIGOUL,949,17,0,9
NARAHA BALKAWA,863,2,1,2
NAVARAJPUR,1433,2,3,31
PADARIYA THARUTOL,1137,2,6,2
PIPRA PRA.DHA,674,0,0,1
PIPRA PRA.PI,1128,1,5,8
POKHARBHINDA,645,0,0,0
RAGHOPUR,732,1,0,5
RAJPUR,965,0,2,2
RAMNAGAR MIRCHAIYA,2268,256,26,30
RAMPUR BIRTA,963,1,0,0
SAKHUWANANKARKATTI,581,1,0,2
SANHAITHA,984,13,28,11
SARSWAR,1159,12,47,3
SIKRON,586,1,1,2
SILORBA PACHHAWARI,910,0,0,0
SIRAHA MUNICIPALITY,5029,297,30,44
SISAWANI,985,0,0,8
SITAPUR PRA.DA.,1086,3,3,3
SITAPUR PRA.RA.,855,0,0,16
SONMATI MAJHAURA,742,2,0,1
SOTHIYAN,716,0,0,2
SUKHACHINA,521,3,0,0
SUKHIPUR,1908,38,5,7
TENUWAPATTI,748,0,0,2
THALAHA KATAHA,819,1,1,0
TULSIPUR,688,0,1,0
VIDHYANAGAR,789,3,0,1
TOTAL,113960,2326,496,1147
