VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
BADAGAUN,715,5,0,8
BAFUKHOLA,631,0,0,8
BAJH KANDA,581,4,0,0
BAME,949,8,0,2
BHALCHAUR,1260,24,0,1
CHANDE,865,9,0,2
CHHAYACHHETRA,1250,42,0,10
DAMACHAUR,1152,16,1,3
DANDAGAUN,973,7,0,5
DARMAKOT,982,7,0,0
DEVSTHAL,793,201,3,5
DHAJARI PIPAL,1076,11,7,23
DHAKADAM,1181,3,1,1
DHANWANG,1053,148,7,7
HIWALCHA,886,5,0,1
JIMALI,610,1,0,0
KABHRECHAUR,1004,16,1,19
KAJERI,1017,42,2,4
KALAGAUN,1371,6,0,1
KALIMATI KALCHE,1174,4,0,10
KALIMATI RAMPUR,1248,73,0,3
KARAGITHI,540,1,0,1
KAVRA,705,24,0,4
KHALANGA,1421,425,89,8
KORBANG JHIMPE,1204,7,0,16
KOTBARA,1070,2,0,4
KOTMALA,949,14,1,3
KUPINDE DAHA,1215,20,0,1
LAXMIPUR,780,7,0,4
LEKHPOKHARA,695,8,4,0
MAJH KANDA,914,18,1,3
MARKE,815,7,0,10
MARMAPARIKANDA,846,18,0,1
MULKHOLA,1030,40,3,3
NIGALCHULA,422,15,0,0
PHALAWANG,1106,20,2,0
PIPAL NETA,426,1,0,0
RIM,806,26,0,3
SAIJUWAL TAKURA,743,27,0,6
SARPANI GARPA,883,5,0,0
SIBARATHA,1111,26,0,0
SIDDHESWAR,909,33,0,1
SINWANG,708,10,0,1
SUIKOT,1142,18,0,3
SYANIKHAL,881,14,0,3
THARMARE,1553,101,4,2
TRIBENI,1015,28,0,1
TOTAL,44660,1547,126,191
