VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
BADAGAUN,269,0,5,108,339,5,0,2
BAFUKHOLA,430,0,0,94,79,29,0,7
BAJH KANDA,385,0,2,74,105,16,0,3
BAME,281,1,0,129,516,29,0,3
BHALCHAUR,417,1,28,482,342,0,6,9
CHANDE,456,0,2,158,231,1,2,26
CHHAYACHHETRA,1004,1,1,84,195,16,1,0
DAMACHAUR,693,1,15,158,287,15,0,3
DANDAGAUN,419,1,0,283,252,29,0,1
DARMAKOT,290,0,0,237,455,1,1,5
DEVSTHAL,667,1,0,4,114,214,0,2
DHAJARI PIPAL,345,2,231,25,489,23,0,2
DHAKADAM,619,1,32,173,311,42,1,7
DHANWANG,1020,1,1,12,176,2,1,2
HIWALCHA,226,0,9,479,125,49,0,4
JIMALI,425,0,0,12,169,0,0,5
KABHRECHAUR,414,0,12,225,196,180,2,11
KAJERI,824,1,67,42,79,12,0,40
KALAGAUN,478,5,2,223,457,200,1,12
KALIMATI KALCHE,508,1,12,139,136,357,4,31
KALIMATI RAMPUR,783,0,5,136,199,187,0,14
KARAGITHI,290,0,3,87,156,4,2,0
KAVRA,547,1,13,42,87,41,0,2
KHALANGA,1652,10,45,32,98,56,0,50
KORBANG JHIMPE,837,1,0,17,343,22,0,7
KOTBARA,714,0,90,126,95,36,0,15
KOTMALA,655,0,22,72,213,5,0,0
KUPINDE DAHA,582,2,30,42,530,34,0,16
LAXMIPUR,399,0,1,67,306,17,0,1
LEKHPOKHARA,363,1,23,46,233,38,0,3
MAJH KANDA,794,0,1,19,95,24,0,3
MARKE,610,1,52,87,42,37,0,3
MARMAPARIKANDA,398,3,0,141,313,9,1,0
MULKHOLA,630,2,116,38,222,68,0,0
NIGALCHULA,151,0,0,124,140,17,0,5
PHALAWANG,988,1,2,7,122,2,0,6
PIPAL NETA,348,0,13,39,25,0,1,1
RIM,576,1,4,82,171,0,0,1
SAIJUWAL TAKURA,666,0,6,40,57,0,0,7
SARPANI GARPA,677,0,10,94,99,8,0,0
SIBARATHA,572,1,57,177,322,8,0,0
SIDDHESWAR,745,0,29,47,114,0,0,8
SINWANG,475,0,1,105,82,46,0,10
SUIKOT,284,1,29,236,539,62,0,12
SYANIKHAL,424,0,6,260,159,11,24,14
THARMARE,794,5,189,397,266,6,1,2
TRIBENI,725,0,0,71,179,65,0,4
TOTAL,26849,47,1166,5772,10260,2023,48,359
