VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
BADAGAUN,723,2,0,1,0,0,0,2
BAFUKHOLA,631,0,0,0,1,0,0,7
BAJH KANDA,580,1,0,1,0,0,0,3
BAME,952,1,0,1,2,0,0,3
BHALCHAUR,1246,18,0,5,6,0,0,10
CHANDE,847,1,0,1,1,0,0,26
CHHAYACHHETRA,1268,7,19,1,7,0,0,0
DAMACHAUR,1159,5,0,3,0,0,0,5
DANDAGAUN,978,4,1,0,0,0,1,1
DARMAKOT,980,0,0,1,3,0,0,5
DEVSTHAL,904,5,72,6,2,0,11,2
DHAJARI PIPAL,1106,2,2,2,3,0,0,2
DHAKADAM,1169,3,0,6,0,1,0,7
DHANWANG,1158,5,44,0,4,0,1,3
HIWALCHA,879,4,0,3,0,0,0,6
JIMALI,605,0,1,0,0,0,0,5
KABHRECHAUR,1028,0,1,0,0,0,0,11
KAJERI,1003,18,3,0,0,0,0,41
KALAGAUN,1361,0,0,4,1,0,0,12
KALIMATI KALCHE,1143,5,0,2,6,0,0,32
KALIMATI RAMPUR,1294,1,5,5,4,1,0,14
KARAGITHI,539,3,0,0,0,0,0,0
KAVRA,720,6,4,1,0,0,0,2
KHALANGA,1402,14,459,1,0,3,13,51
KORBANG JHIMPE,1217,1,0,2,0,0,0,7
KOTBARA,1057,0,0,2,1,0,0,16
KOTMALA,963,3,0,0,0,0,1,0
KUPINDE DAHA,1207,2,7,2,1,0,1,16
LAXMIPUR,786,0,0,0,2,0,0,3
LEKHPOKHARA,698,1,4,1,0,0,0,3
MAJH KANDA,929,0,1,3,0,0,0,3
MARKE,826,2,1,0,0,0,0,3
MARMAPARIKANDA,861,1,0,2,1,0,0,0
MULKHOLA,1065,0,8,1,0,0,2,0
NIGALCHULA,431,0,0,1,0,0,0,5
PHALAWANG,1119,2,0,0,1,0,0,6
PIPAL NETA,423,2,0,1,0,0,0,1
RIM,821,8,0,0,4,0,1,1
SAIJUWAL TAKURA,734,1,35,0,0,0,0,6
SARPANI GARPA,885,2,0,1,0,0,0,0
SIBARATHA,1131,2,0,4,0,0,0,0
SIDDHESWAR,927,3,4,0,0,0,0,9
SINWANG,705,1,0,1,2,0,0,10
SUIKOT,1147,3,0,1,0,0,0,12
SYANIKHAL,878,4,0,0,0,0,0,16
THARMARE,1640,2,8,6,2,0,0,2
TRIBENI,1022,6,9,0,0,2,0,5
TOTAL,45147,151,688,72,54,7,31,374
