VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
NIGALCHULA,37,19,18,879,471,408,259,146,113,93,64,29,40,23,17,20,10,10,4,3,1,1,0,1,0,0,0,8,4,4,0,0,0
PHALAWANG,180,101,79,1569,874,695,829,395,434,341,175,166,177,95,82,62,34,28,12,11,1,1,1,0,4,2,2,260,126,134,4,4,0
PIPAL NETA,49,33,16,600,309,291,343,185,158,169,94,75,193,108,85,115,63,52,28,21,7,1,1,0,0,0,0,11,10,1,1,1,0
RIM,98,46,52,1512,823,689,592,312,280,163,86,77,182,103,79,68,44,24,10,9,1,6,6,0,6,1,5,157,46,111,9,6,3
SAIJUWAL TAKURA,106,42,64,945,495,450,468,235,233,276,149,127,264,142,122,88,49,39,28,24,4,6,6,0,2,0,2,48,24,24,23,6,17
SARPANI GARPA,122,66,56,1629,898,731,550,277,273,125,54,71,92,60,32,36,19,17,3,3,0,0,0,0,0,0,0,59,31,28,12,7,5
SIBARATHA,194,100,94,2096,1128,968,888,470,418,370,209,161,160,90,70,137,76,61,25,22,3,7,5,2,5,3,2,37,20,17,12,4,8
SIDDHESWAR,281,154,127,1454,800,654,694,377,317,278,163,115,192,126,66,101,72,29,18,13,5,1,1,0,2,0,2,25,9,16,25,10,15
SINWANG,74,37,37,1068,554,514,475,239,236,136,82,54,121,74,47,39,21,18,10,8,2,2,2,0,5,3,2,26,17,9,11,7,4
SUIKOT,168,87,81,1552,823,729,567,319,248,206,106,100,88,55,33,79,54,25,13,10,3,2,1,1,8,5,3,32,10,22,8,3,5
SYANIKHAL,251,114,137,1240,644,596,736,348,388,306,147,159,183,118,65,70,46,24,23,19,4,1,1,0,3,2,1,84,51,33,5,2,3
THARMARE,269,143,126,2629,1448,1181,1318,686,632,608,341,267,381,219,162,364,222,142,60,49,11,22,20,2,2,0,2,84,38,46,1,1,0
TRIBENI,151,84,67,1348,689,659,676,346,330,300,162,138,182,121,61,117,62,55,23,17,6,3,3,0,4,1,3,121,50,71,2,1,1
INSTITUTIONAL,0,0,0,94,94,0,230,228,2,125,125,0,190,187,3,49,47,2,14,14,0,3,3,0,2,2,0,0,0,0,0,0,0
