VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
AGRYOULI,223,1933,171,408,7,0,3,5
AMARAPURI,70,1396,51,429,2,0,10,21
AMRAUT,122,100,299,383,8,0,2,7
BADAHARA DUBAULIYA,90,45,742,345,4,0,4,21
BAIDAULI,233,70,377,189,4,0,18,15
BANJARIYA,323,230,312,348,3,0,0,8
BENIMANIPUR,240,865,722,109,2,0,22,11
BHARATIPUR,336,313,16,1,2,0,0,2
BHUJAHAWA,220,72,517,267,3,0,1,8
BULINGTAR,199,358,174,22,0,0,1,2
DADAJHERI TADI,124,206,79,2,0,0,9,2
DAWANNE DEVI,461,742,1359,350,10,0,2,26
DEDGAUN,294,401,40,13,0,0,0,2
DEURALI,346,2314,39,258,8,0,2,8
DEVACHULI,169,1186,14,80,3,0,1,5
DEVAGAWA,43,14,480,388,0,0,0,2
DHAUBADI,132,873,10,23,3,0,0,20
DHURKOT,295,371,281,15,1,0,0,17
DIBYAPURI,293,1486,70,313,9,0,5,71
DUMKIBAS,207,1236,443,478,5,0,3,7
GAIDAKOT,237,3761,110,3799,7,0,14,94
GAIRAMI,178,34,219,545,5,0,1,24
GUTHI PARSAUNI,302,65,500,269,93,0,1,18
GUTHISURYAPURA,73,56,502,188,0,0,0,8
HAKUI,78,53,393,494,1,0,4,21
HARPUR,127,93,320,530,5,0,3,8
HUPSEKOT,232,304,1,1,0,0,0,14
JAHADA,89,214,785,577,1,0,18,14
JAMUNIYA,67,117,925,554,8,0,6,21
JAUBARI,261,394,17,3,0,0,0,5
KAWASWOTI,183,1683,62,904,4,0,4,30
KOLHUWA,419,1089,285,124,3,0,3,13
KOTATHAR,276,125,99,1,0,0,0,2
KUDIYA,143,83,1298,237,1,0,18,9
KUMARWARTI,199,860,81,75,0,0,0,23
KUSMA,71,41,313,564,2,0,79,9
MAINAGHAT,131,493,98,12,1,0,0,1
MAKAR,118,1227,1799,2407,24,0,28,36
MANARI,121,50,504,381,9,0,1,8
MITHUKARAM,244,247,8,1,0,0,0,3
MUKUNDAPUR,190,1842,187,751,10,0,6,37
NARAM,117,379,4,0,0,0,0,2
NARAYANI,257,1382,235,91,2,0,0,24
NARSAHI,117,62,585,138,1,0,39,11
NAYA BELHANI,206,1689,363,587,24,0,9,7
PAKALIHAWA,527,282,490,320,9,0,13,15
PALHI,63,23,298,540,6,0,8,1
PANCHANAGAR,42,409,741,935,14,0,1,14
PARSAUNI,120,681,512,58,3,0,2,12
PITHAULI,415,1169,131,131,2,0,0,3
PRAGATINAGAR,294,1922,95,757,4,0,4,49
PRATAPPUR,50,82,831,266,6,0,19,4
RAJAHAR,216,1583,63,520,2,0,25,17
RAKACHULI,171,580,60,1,1,0,0,6
RAKUWA,198,240,47,1,0,0,0,0
RAMGRAM MUNICIPALITY,316,218,1402,2878,41,0,66,51
RAMNAGAR,145,682,741,1648,21,0,7,71
RAMPUR KHADAUNA,228,25,209,218,20,0,2,15
RAMPURKHA,74,20,256,454,13,0,4,1
RATANAPUR,136,406,47,3,1,0,2,4
RUCHANG,302,235,4,0,0,0,0,0
RUPAULIYA,152,102,1204,242,8,0,4,35
SANAI,145,25,440,471,28,0,52,5
SARAWAL,70,41,583,266,3,0,2,18
SHIVMANDIR,353,3089,76,1793,11,0,7,66
SOMANI,79,45,738,252,8,0,2,19
SUKRAULI,85,32,335,508,1,0,15,1
SUNWAL,837,2481,614,2535,22,0,14,34
SWATHI,75,382,585,1027,13,0,6,14
TAMASARIYA,129,1482,276,517,5,0,1,16
THULO KHAIRATAWA,131,31,438,134,7,0,1,4
TILAKPUR,45,148,579,702,9,0,30,7
TRIBENISUSTA,331,147,1070,437,24,0,1,19
UPALLO ARKHALE,90,557,21,2,0,0,2,0
TOTAL,14675,47673,28775,35270,557,0,607,1203
