VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AGRYOULI,2556,177,3,0,9,5
AMARAPURI,1867,76,3,1,16,16
AMRAUT,770,147,0,0,0,4
BADAHARA DUBAULIYA,850,375,1,6,0,19
BAIDAULI,636,258,0,1,6,5
BANJARIYA,1013,205,0,2,0,4
BENIMANIPUR,124,624,5,1137,71,10
BHARATIPUR,23,12,0,316,317,2
BHUJAHAWA,726,351,3,3,1,4
BULINGTAR,727,2,0,3,22,2
DADAJHERI TADI,76,2,0,145,198,1
DAWANNE DEVI,2610,308,5,0,6,21
DEDGAUN,27,101,0,457,162,3
DEURALI,2292,488,7,100,81,7
DEVACHULI,1213,84,1,70,88,2
DEVAGAWA,742,179,1,0,4,1
DHAUBADI,725,174,4,85,51,22
DHURKOT,80,335,3,440,115,7
DIBYAPURI,1879,289,4,40,8,27
DUMKIBAS,2017,333,1,18,5,5
GAIDAKOT,7684,248,27,25,6,32
GAIRAMI,862,134,1,2,1,6
GUTHI PARSAUNI,871,355,0,6,0,16
GUTHISURYAPURA,650,158,1,5,6,7
HAKUI,882,126,1,14,2,19
HARPUR,892,182,1,7,0,4
HUPSEKOT,59,243,0,161,76,13
JAHADA,1527,155,2,0,1,13
JAMUNIYA,1443,234,1,8,0,12
JAUBARI,49,46,1,351,229,4
KAWASWOTI,2686,153,9,0,4,18
KOLHUWA,1594,296,3,4,28,11
KOTATHAR,0,5,0,160,337,1
KUDIYA,1410,365,2,1,1,10
KUMARWARTI,1086,125,3,4,1,19
KUSMA,863,195,2,10,0,9
MAINAGHAT,548,73,0,113,2,0
MAKAR,5283,291,22,0,22,21
MANARI,978,58,11,7,14,6
MITHUKARAM,50,112,4,211,124,2
MUKUNDAPUR,2889,97,6,6,7,18
NARAM,104,68,1,167,162,0
NARAYANI,1850,120,2,3,2,14
NARSAHI,737,205,0,3,0,8
NAYA BELHANI,2703,148,8,8,12,6
PAKALIHAWA,989,650,1,3,0,13
PALHI,787,148,2,2,0,0
PANCHANAGAR,1941,195,9,2,3,6
PARSAUNI,1218,155,1,0,2,12
PITHAULI,1627,205,0,3,12,4
PRAGATINAGAR,2930,164,6,0,7,18
PRATAPPUR,1030,221,0,2,0,5
RAJAHAR,2094,147,6,55,115,9
RAKACHULI,257,303,1,204,48,6
RAKUWA,20,34,0,265,167,0
RAMGRAM MUNICIPALITY,4188,717,9,9,11,38
RAMNAGAR,2995,213,3,5,31,68
RAMPUR KHADAUNA,471,233,1,2,0,10
RAMPURKHA,639,181,1,1,0,0
RATANAPUR,109,339,0,140,9,2
RUCHANG,31,107,0,199,204,0
RUPAULIYA,1540,190,5,4,0,8
SANAI,928,228,0,3,0,7
SARAWAL,828,135,0,2,0,18
SHIVMANDIR,5152,186,16,4,7,30
SOMANI,857,267,1,1,1,16
SUKRAULI,816,154,2,2,0,3
SUNWAL,5996,496,7,11,8,19
SWATHI,1985,109,0,1,3,4
TAMASARIYA,2311,101,5,1,5,3
THULO KHAIRATAWA,517,222,0,3,1,3
TILAKPUR,1335,170,6,3,1,5
TRIBENISUSTA,1586,307,16,104,0,16
UPALLO ARKHALE,372,8,0,280,12,0
TOTAL,104202,15297,247,5411,2844,759
