VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
ARTHAR DADAKHARKA,103,592,481,41,38,0,0,2,446,0,0,2,0,1,8
BACHCHHA,61,379,320,143,16,3,0,8,333,0,0,2,0,3,4
BAHAKI THANTI,40,341,276,112,101,8,2,33,314,0,0,2,0,0,2
BAJUNG,122,943,575,598,260,14,7,11,797,5,7,2,3,13,11
BALAKOT,40,223,171,1,0,0,0,0,202,0,1,0,0,0,9
BANOU,31,292,190,25,97,2,0,0,210,0,0,1,0,1,26
BASKHARKA,34,219,188,127,74,4,3,7,173,0,0,0,0,0,1
BEULIBAS,61,499,391,108,54,6,0,23,450,0,3,3,0,1,6
BHANGARA,49,392,341,21,1,1,0,0,322,0,0,0,0,0,0
BHOKSING,19,174,136,30,0,0,0,6,157,0,0,0,0,0,1
BHORLE,69,398,268,67,1,0,0,1,324,0,2,0,0,0,6
BHUKTANGLE,84,490,323,273,86,3,0,0,401,0,0,0,0,0,0
BIHADI BARACHAUR,102,375,283,47,2,7,1,14,306,0,0,1,0,0,0
BIHADI RANIPANI,69,482,426,117,64,6,0,17,399,1,2,4,0,0,0
BITALAWA PIPALTARI,84,536,349,113,250,15,12,4,487,0,3,3,1,6,3
CHITRE,77,357,238,72,114,5,1,7,310,0,0,0,0,1,1
CHUWA,57,376,288,278,274,22,7,3,349,3,10,4,1,28,0
DEUPURKOT,66,632,277,75,315,40,2,15,578,1,8,11,0,33,6
DEURALI,59,423,351,224,62,2,2,4,332,0,3,2,0,2,4
DHAIRING,160,734,461,71,169,10,1,5,683,0,2,0,0,0,2
DURLUNG,73,655,445,139,303,5,0,0,598,0,2,0,2,0,8
FALAMKHANI,53,159,151,2,0,0,0,0,53,0,0,0,0,0,0
FALEBAS DEVISTHAN,55,638,456,190,341,30,8,25,589,4,21,25,1,31,4
FULEBAS KHANIGAUN,29,419,350,100,190,15,1,6,350,0,1,1,0,9,25
HOSRANGDI,32,298,273,2,1,0,0,3,257,0,0,1,0,0,1
HUWAS,113,870,575,258,163,23,7,29,731,5,28,15,0,11,52
KARKINETA,25,413,367,94,137,5,1,1,303,0,4,2,0,2,13
KATUWA CHAUPARI,37,445,339,184,259,23,16,7,400,1,7,14,1,18,8
KHAULA LAKURI,21,482,396,9,6,0,0,2,390,0,1,0,0,0,52
KHURKOT,103,842,595,441,296,36,9,10,785,6,5,5,3,22,13
KURGHA,59,591,473,301,255,5,3,4,508,0,1,0,0,2,5
KYANG,44,459,366,260,78,3,0,8,304,0,0,0,1,0,14
LEKHFANT,64,594,547,14,0,3,1,1,502,0,0,0,1,0,9
LIMITHANA,34,332,303,91,96,6,2,2,277,0,2,1,0,1,5
LUNKHU DEURALI,44,419,360,166,109,3,2,8,369,1,3,0,0,0,43
MAJHPHANT MALLAJ,218,1859,1035,468,1007,95,40,95,1722,14,64,27,11,144,23
MUDIKUWA,40,417,309,18,192,21,33,2,384,0,2,1,0,8,10
NAGLIWANG,93,590,373,173,259,30,7,4,543,0,10,4,0,12,0
PAKHAPANI,79,482,368,16,2,0,0,2,442,0,0,0,0,0,0
PAKUWA,66,482,329,105,189,7,2,6,432,2,2,2,0,0,17
PANG,163,1032,607,151,399,18,7,4,888,1,17,12,5,8,6
PANGRANG,70,414,348,153,84,1,1,5,320,0,0,0,0,3,0
RAMJA DEURALI,35,424,366,102,82,4,4,0,373,0,0,1,0,0,27
SALIGRAM,68,509,252,53,201,9,6,12,479,0,4,2,1,24,1
SALIJA,53,556,471,158,34,11,3,1,439,0,0,0,0,0,3
SARAUKHOLA,37,393,309,39,16,1,0,2,312,0,1,7,1,0,29
SHANKAR POKHARI,58,828,710,111,129,7,5,9,687,0,2,0,0,1,79
SHIVALAYA,154,3179,1445,1736,2058,526,285,651,2916,79,296,173,13,515,45
TAKLAK,71,238,215,85,35,2,0,5,217,1,0,0,0,0,2
THANA MAULO,44,297,247,67,17,3,2,3,254,0,0,1,0,0,0
THAPATHANA,46,615,586,3,0,0,0,5,493,0,0,1,0,0,30
THULI POKHARI,71,597,505,46,236,8,5,3,535,2,6,2,0,4,1
TILAHAR,101,1082,768,645,555,52,13,18,1006,5,20,13,0,74,18
TRIBENI,46,395,302,92,93,10,0,20,282,1,6,6,0,7,9
URAMPOKHARA,15,486,444,80,17,3,1,20,413,0,0,0,0,0,7
