VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ARTHAR DADAKHARKA,681,2,0,20
BACHCHHA,418,12,0,14
BAHAKI THANTI,359,13,0,11
BAJUNG,993,52,1,30
BALAKOT,263,2,0,7
BANOU,336,1,3,9
BASKHARKA,245,1,0,8
BEULIBAS,548,12,1,5
BHANGARA,419,3,0,19
BHOKSING,185,3,0,6
BHORLE,454,11,1,7
BHUKTANGLE,547,22,1,4
BIHADI BARACHAUR,454,12,0,11
BIHADI RANIPANI,528,11,1,11
BITALAWA PIPALTARI,608,10,0,5
CHITRE,380,1,0,54
CHUWA,391,30,4,8
DEUPURKOT,581,118,1,4
DEURALI,446,1,2,37
DHAIRING,840,51,3,2
DURLUNG,707,10,2,17
FALAMKHANI,210,2,0,0
FALEBAS DEVISTHAN,593,98,0,6
FULEBAS KHANIGAUN,457,12,0,4
HOSRANGDI,309,1,0,21
HUWAS,889,143,0,3
KARKINETA,429,19,0,3
KATUWA CHAUPARI,435,42,2,11
KHAULA LAKURI,542,1,1,11
KHURKOT,889,51,5,13
KURGHA,599,10,0,46
KYANG,484,15,4,14
LEKHFANT,632,6,0,29
LIMITHANA,354,7,0,10
LUNKHU DEURALI,475,19,4,8
MAJHPHANT MALLAJ,1482,589,6,23
MUDIKUWA,439,20,0,8
NAGLIWANG,621,48,9,5
PAKHAPANI,538,0,0,23
PAKUWA,549,4,0,12
PANG,1062,63,3,73
PANGRANG,469,4,0,11
RAMJA DEURALI,450,13,0,23
SALIGRAM,531,41,1,5
SALIJA,581,5,1,25
SARAUKHOLA,439,14,1,5
SHANKAR POKHARI,933,24,1,7
SHIVALAYA,1462,1802,73,41
TAKLAK,304,7,0,0
THANA MAULO,302,2,0,37
THAPATHANA,670,15,1,5
THULI POKHARI,648,4,8,9
TILAHAR,1029,111,45,16
TRIBENI,406,41,1,2
URAMPOKHARA,495,10,0,3
TOTAL,31090,3621,186,801
