VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ALAMPU,405,0,0,4,1,3
BABARE,790,0,1,1,0,2
BHEDAPU,898,8,0,4,4,4
BHIMESHWOR MUNICIPALITY,4462,646,775,157,10,26
BHIRKOT,590,2,4,3,0,3
BHUSAFEDA,511,1,0,3,0,4
BIGU,392,0,0,4,0,10
BOCHA,752,7,3,6,1,6
BULUNG,509,0,0,0,0,1
CHANKHU,336,1,0,7,0,3
CHHETRAPA,577,0,1,2,0,0
CHILANKHA,654,0,0,5,1,1
CHYAMA,603,1,0,2,1,0
DANDAKHARKA,934,3,1,5,0,3
TAMCHET DUDHPOKHARI,586,0,0,6,3,1
FASKU,1107,0,0,6,0,4
GAIRIMUDI,1106,5,0,9,3,6
GAURI SANKAR,279,2,0,5,0,1
GHYANG SUKATHOKAR,1013,5,0,6,1,7
HAWA,374,3,0,2,2,0
JAPHE,809,6,0,8,1,0
JHULE,541,2,0,1,1,2
JHYAKU,983,0,0,6,0,9
JIRI,1772,24,16,76,1,10
JUNGU,901,1,1,13,0,22
KABHRE,1079,21,60,24,3,4
KALINCHOWK,537,0,0,1,0,3
KATAKUTI,918,13,5,13,2,4
KHARE,421,1,0,3,0,7
KHOPACHAGU,462,1,0,5,1,7
LADUK,920,2,0,2,0,4
LAKURIDANDA,898,9,0,17,0,0
LAMABAGAR,497,8,0,28,2,1
LAMIDANDA,1024,2,10,8,0,1
LAPILANG,1189,2,1,10,0,4
MAGAPAUWA,774,1,0,4,0,1
MALI,664,1,2,26,0,0
MALU,569,3,1,10,1,0
MARBU,327,0,0,1,0,3
MELUNG,815,5,0,14,0,2
MIRGE,857,4,3,13,0,2
NAMDU,1253,7,1,36,1,2
ORANG,484,1,0,2,0,1
PAWATI,1097,2,1,3,0,6
SAHARE,690,99,0,7,1,3
SAILUNGESWOR,981,1,0,4,0,5
SUNKHANI,1169,7,1,10,2,5
SUNDRAWATI,665,0,0,6,0,6
SURI,722,0,0,6,0,6
SUSPA KSHYAMAWATI,829,8,0,22,0,5
SYAMA,429,0,0,9,0,2
THULOPATAL,806,2,0,12,0,2
TOTAL,42960,917,887,637,43,214
