VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
ALAMPU,108,284,279,11,0,2,0,3,62,0,0,0,0,0,21
BABARE,182,608,588,27,2,0,0,2,275,1,0,0,1,0,4
BHEDAPU,178,726,636,120,30,4,2,4,495,1,6,0,0,0,14
BHIMESHWOR MUNICIPALITY,643,5368,4278,2506,1830,481,144,354,4183,33,256,37,5,109,65
BHIRKOT,99,501,438,142,33,3,1,6,423,3,4,2,0,1,2
BHUSAFEDA,112,349,270,87,4,1,0,4,229,0,3,0,0,0,58
BIGU,128,278,265,1,0,0,0,0,96,0,0,0,0,0,0
BOCHA,151,599,448,267,13,6,0,6,374,1,2,0,0,0,25
BULUNG,110,397,379,15,0,0,0,6,182,0,0,1,0,0,3
CHANKHU,51,284,268,55,3,1,0,13,121,0,1,2,0,0,12
CHHETRAPA,55,515,470,120,7,4,0,2,408,2,2,2,0,0,10
CHILANKHA,139,518,482,96,0,0,0,4,210,0,0,0,0,0,4
CHYAMA,102,497,394,138,29,11,2,5,382,0,2,4,0,2,8
DANDAKHARKA,286,652,614,91,10,4,1,5,264,0,4,0,0,0,8
TAMCHET DUDHPOKHARI,175,417,295,160,0,0,0,7,314,0,3,0,0,0,4
FASKU,104,1000,944,159,101,3,0,1,711,0,1,7,0,0,13
GAIRIMUDI,261,841,741,187,1,9,0,3,491,1,4,5,0,0,27
GAURI SANKAR,42,243,241,8,0,0,0,4,58,0,0,1,0,0,2
GHYANG SUKATHOKAR,156,803,726,99,6,1,1,2,472,0,1,3,0,0,73
HAWA,79,301,255,112,9,2,1,0,213,1,1,1,0,1,1
JAPHE,77,745,684,181,54,4,0,2,551,0,3,4,0,4,2
JHULE,69,478,440,101,8,2,0,2,325,0,0,1,0,1,0
JHYAKU,178,820,786,20,4,1,0,4,333,1,0,0,0,0,0
JIRI,224,1663,1192,436,625,128,37,171,1257,12,82,10,1,51,12
JUNGU,155,779,708,113,27,7,0,3,541,1,0,0,0,0,4
KABHRE,116,1050,911,522,43,69,10,11,797,6,20,3,3,9,25
KALINCHOWK,190,345,328,6,1,0,0,1,83,0,0,0,0,0,6
KATAKUTI,144,802,721,248,42,10,1,11,593,6,12,11,0,1,9
KHARE,8,385,385,9,0,0,0,5,110,0,0,0,0,0,39
KHOPACHAGU,154,316,297,43,1,4,1,2,89,0,0,0,0,1,6
LADUK,250,661,583,100,7,5,1,19,278,1,1,1,0,0,17
LAKURIDANDA,132,789,662,359,34,5,0,2,663,0,4,3,0,1,3
LAMABAGAR,122,413,403,14,0,0,0,14,111,0,0,0,0,0,1
LAMIDANDA,146,873,815,85,25,11,1,2,487,0,9,3,0,18,26
LAPILANG,267,902,852,52,4,4,1,1,439,0,0,0,0,1,37
MAGAPAUWA,131,648,597,215,19,4,1,2,412,1,2,2,0,0,1
MALI,96,597,508,151,23,7,0,5,381,0,3,1,0,0,0
MALU,50,534,506,121,2,7,0,2,342,0,0,1,1,1,0
MARBU,16,258,248,21,0,0,0,6,54,0,1,0,0,0,57
MELUNG,100,712,647,239,44,5,1,5,527,0,1,0,1,7,24
MIRGE,93,769,707,246,15,17,3,5,450,0,10,1,0,0,17
NAMDU,168,1119,923,323,56,28,2,5,858,1,6,4,0,0,13
ORANG,127,361,352,14,1,0,0,12,99,0,0,0,0,0,0
PAWATI,130,973,882,227,53,6,2,3,705,1,4,2,0,2,6
SAHARE,144,656,528,252,46,52,19,25,535,0,14,15,0,56,0
SAILUNGESWOR,117,862,773,129,28,6,0,5,617,0,10,0,1,0,12
SUNKHANI,129,1056,1002,350,101,19,4,8,678,0,0,1,0,1,9
SUNDRAWATI,57,579,523,168,4,10,0,5,399,1,3,3,0,0,41
SURI,140,588,537,91,6,1,0,42,296,0,1,2,0,0,6
SUSPA KSHYAMAWATI,102,748,681,232,45,12,1,6,440,1,2,5,0,0,14
SYAMA,37,391,364,107,21,4,0,12,289,0,0,0,0,0,12
THULOPATAL,94,728,701,116,4,9,1,2,482,1,8,1,0,0,0
