VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ALAMPU,136,167,0,25,84,1
BABARE,355,288,0,126,23,2
BHEDAPU,765,146,0,0,2,5
BHIMESHWOR MUNICIPALITY,5871,168,2,8,12,15
BHIRKOT,573,22,1,0,3,3
BHUSAFEDA,389,125,0,0,1,4
BIGU,0,110,0,126,166,4
BOCHA,749,18,0,0,3,5
BULUNG,109,330,0,65,5,1
CHANKHU,343,1,0,0,0,3
CHHETRAPA,550,30,0,0,0,0
CHILANKHA,627,27,0,1,4,2
CHYAMA,598,6,0,1,0,2
DANDAKHARKA,438,348,0,152,5,3
TAMCHET DUDHPOKHARI,396,135,1,23,40,1
FASKU,733,371,0,10,0,3
GAIRIMUDI,1001,97,1,26,3,1
GAURI SANKAR,139,19,0,32,95,2
GHYANG SUKATHOKAR,874,147,0,3,2,6
HAWA,361,7,0,0,13,0
JAPHE,772,51,0,1,0,0
JHULE,488,55,0,0,0,4
JHYAKU,512,264,0,135,81,6
JIRI,1840,51,0,0,3,5
JUNGU,866,67,0,1,1,3
KABHRE,1123,63,0,1,0,4
KALINCHOWK,31,205,0,43,259,3
KATAKUTI,903,45,0,2,2,3
KHARE,190,237,0,1,0,4
KHOPACHAGU,448,17,0,4,2,5
LADUK,404,266,0,238,15,5
LAKURIDANDA,872,45,0,4,3,0
LAMABAGAR,361,63,0,48,63,1
LAMIDANDA,407,455,0,151,31,1
LAPILANG,770,353,0,16,67,0
MAGAPAUWA,695,81,0,3,0,1
MALI,577,98,0,16,2,0
MALU,570,13,0,0,0,1
MARBU,314,5,0,9,0,3
MELUNG,779,56,0,0,0,1
MIRGE,822,54,0,1,2,0
NAMDU,1243,55,0,0,0,2
ORANG,336,91,0,52,9,0
PAWATI,996,104,0,1,2,6
SAHARE,793,7,0,0,0,0
SAILUNGESWOR,757,195,0,33,2,4
SUNKHANI,1103,74,0,0,11,6
SUNDRAWATI,649,20,0,1,5,2
SURI,709,21,0,0,0,4
SUSPA KSHYAMAWATI,800,59,0,0,3,2
SYAMA,400,36,0,0,2,2
THULOPATAL,812,7,0,3,0,0
TOTAL,37349,5775,5,1362,1026,141
