VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ALAMPU,57,38,317,1
BABARE,234,140,418,2
BHEDAPU,487,219,207,5
BHIMESHWOR MUNICIPALITY,604,3112,2345,15
BHIRKOT,151,343,105,3
BHUSAFEDA,325,164,27,3
BIGU,191,95,117,3
BOCHA,3,757,10,5
BULUNG,132,141,236,1
CHANKHU,132,45,167,3
CHHETRAPA,131,300,149,0
CHILANKHA,245,146,268,2
CHYAMA,120,437,49,1
DANDAKHARKA,598,213,134,1
TAMCHET DUDHPOKHARI,420,97,78,1
FASKU,335,561,218,3
GAIRIMUDI,401,312,415,1
GAURI SANKAR,186,35,64,2
GHYANG SUKATHOKAR,516,306,205,5
HAWA,111,226,44,0
JAPHE,368,229,227,0
JHULE,136,326,84,1
JHYAKU,394,224,374,6
JIRI,761,846,288,4
JUNGU,383,253,298,4
KABHRE,99,804,284,4
KALINCHOWK,285,17,236,3
KATAKUTI,274,244,434,3
KHARE,191,68,169,4
KHOPACHAGU,30,26,415,5
LADUK,299,349,276,4
LAKURIDANDA,240,360,324,0
LAMABAGAR,272,199,64,1
LAMIDANDA,173,642,229,1
LAPILANG,333,224,648,1
MAGAPAUWA,207,167,405,1
MALI,315,205,173,0
MALU,190,267,127,0
MARBU,170,97,61,3
MELUNG,247,391,197,1
MIRGE,175,434,270,0
NAMDU,288,579,431,2
ORANG,264,19,205,0
PAWATI,402,339,362,6
SAHARE,178,439,183,0
SAILUNGESWOR,557,246,186,2
SUNKHANI,139,645,404,6
SUNDRAWATI,115,257,304,1
SURI,230,269,231,4
SUSPA KSHYAMAWATI,144,407,311,2
SYAMA,202,146,90,2
THULOPATAL,420,283,119,0
TOTAL,13860,17688,13982,128
