VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
BARAI,212,0,0,0,0,1
BARGAUN,169,0,0,0,0,0
CHHIPRA,214,0,0,0,0,0
DANDAFAYA,368,0,0,0,0,0
DARMA,386,0,0,0,0,0
GOTHI,191,0,0,0,0,0
HEPKA,203,1,0,0,0,0
JAIR,384,0,0,0,0,0
KALIKA,532,1,0,0,0,0
KHAGALGAUN,219,0,0,0,0,0
KHARPUNATH,265,0,0,0,0,0
LALI,305,0,0,0,0,0
LIMI,181,0,0,0,0,0
MADANA,285,0,0,0,0,0
MAILA,741,0,0,0,0,0
MELCHHAM,163,0,0,0,0,0
MIMI,193,0,0,0,0,0
MUCHU,229,2,0,0,0,0
RAYA,347,0,0,0,0,1
RODIKOT,459,0,0,0,0,0
SARKEEDEU,396,0,0,0,0,0
SAYA,189,0,0,0,0,0
SHREE NAGAR,588,0,0,0,0,0
SHREEMASTHA,182,0,0,0,0,1
SIMIKOT,1229,14,0,2,0,4
SYADA,333,0,0,0,0,4
THEHE,440,2,1,0,0,0
TOTAL,9403,20,1,2,0,11
