VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BARAI,164,8,40,1
BARGAUN,81,85,3,0
CHHIPRA,106,71,37,0
DANDAFAYA,265,87,16,0
DARMA,193,6,187,0
GOTHI,127,16,48,0
HEPKA,151,1,52,0
JAIR,81,243,60,0
KALIKA,213,256,64,0
KHAGALGAUN,147,69,3,0
KHARPUNATH,138,67,60,0
LALI,36,166,103,0
LIMI,51,0,130,0
MADANA,188,0,97,0
MAILA,351,286,104,0
MELCHHAM,65,14,84,0
MIMI,96,62,35,0
MUCHU,116,14,101,0
RAYA,289,47,11,1
RODIKOT,245,124,90,0
SARKEEDEU,292,46,58,0
SAYA,58,0,131,0
SHREE NAGAR,365,146,77,0
SHREEMASTHA,5,0,178,0
SIMIKOT,302,761,181,5
SYADA,149,5,180,3
THEHE,425,4,14,0
TOTAL,4699,2584,2144,10
