VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
AGARA,103,1174,282,6,0,0,1,6
AMBHANJYANG,263,1067,41,15,2,0,2,13
BAJRABARAHI,44,1172,264,143,1,0,4,2
BASAMADI,499,1886,448,685,17,0,4,18
BETINI,279,320,12,0,2,0,3,1
BHAISE,458,821,65,27,8,0,2,7
BHARTA PUNDYADEVI,552,118,14,0,4,0,1,4
BHIMFEDI,120,981,8,44,0,0,4,4
BUDHICHAUR,174,195,0,0,1,0,0,0
CHITLANG,94,915,110,49,1,0,2,1
CHURIYAMAI,158,1193,1389,196,30,0,4,10
DAMAN,86,1499,209,111,3,0,2,3
DANDAKHARKA,484,209,23,1,0,0,2,1
DHIYAL,805,66,207,1,6,0,2,3
FAKHEL,139,659,193,15,0,0,0,5
FAPARBARI,808,607,1762,7,20,0,5,12
GOGANE,345,573,61,0,0,0,1,3
HANDIKHOLA,845,2070,703,13,19,0,21,5
HATIYA,259,1572,590,290,15,0,4,21
HETAUDA MUNICIPALITY,241,5260,1578,12452,59,1,67,193
HURNAMADI,150,995,291,66,7,0,2,13
IPA PANCHAKANYA,270,182,5,0,1,0,0,1
KALIKATAR,606,168,15,0,2,0,0,5
KANKADA,733,240,248,1,73,0,7,2
KHAIRANG,454,120,6,0,1,0,0,2
KOGATE,78,194,8,0,0,0,0,0
KULEKHANI,90,540,36,2,0,0,0,2
MAKWANPURGADHI,580,1780,157,35,5,0,2,17
MANAHARI,1066,2542,191,379,17,0,7,13
MANTHALI,221,279,7,0,0,0,0,2
MARKHU,52,478,92,12,0,0,0,0
NAMTAR,728,894,59,9,2,0,0,17
NIBUWATAR,233,585,55,4,1,1,0,5
PADAM POKHARI,185,1825,1214,351,15,3,3,11
PALUNG,16,918,201,68,0,0,30,3
RAIGAUN,822,109,950,2,3,0,0,7
RAKSIRANG,762,365,19,3,1,0,0,2
SARIKHET PALASE,743,686,82,0,5,0,1,1
SHIKHARPUR,389,407,243,3,6,0,2,4
SHREEPUR CHHATIWAN,1308,1291,1480,48,30,1,1,13
SISNERI MAHADEVSTHAN,182,444,106,3,0,0,0,4
SUKAURA,284,358,5,0,0,0,0,7
THINGAN,348,357,7,1,0,0,0,0
TISTUNG DEURALI,84,1134,58,0,1,1,122,5
TOTAL,17140,39248,13494,15042,358,7,308,448
