VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ANBUKHAIRENI,3784,218,9,8,1,14
ARUNODAYA,495,393,1,157,34,18
BAIDI,114,14,0,697,16,3
BANDIPUR,2640,366,8,5,15,22
BARBHANJYANG,1244,106,2,2,1,10
BASANTAPUR,789,64,7,1,0,7
BHANU,3105,349,9,3,7,3
BHANUMATI,1034,96,1,1,11,4
BHIMAD,2081,61,7,4,21,17
BHIRKOT,47,79,0,849,167,4
BYAS MUNICIPALITY,10921,268,34,13,29,56
CHHANG,1420,62,6,3,0,8
CHHIMKESHWORI,142,104,0,57,53,0
CHHIPCHHIPE,0,15,3,359,16,3
CHOK CHISAPANI,933,86,2,1,1,5
DEURALI,97,219,5,132,68,0
DEVGHAT,1413,246,2,162,71,3
DHARAMPANI,6,179,2,517,17,3
DHORFIRDI,2785,184,9,2,19,6
DULEGAUNDA,3791,148,12,6,23,12
FIRFIRE,578,133,3,48,9,5
GAJARKOT,3,283,4,937,65,7
GHANSIKUWA,1654,264,6,6,3,9
JAMUNE BHANJYANG,2200,189,7,1,3,8
KAHU SHIVAPUR,391,235,1,294,426,6
KESHAVTAR,926,70,5,149,9,12
KHAIRENITAR,2448,203,8,10,6,4
KIHUN,24,307,13,498,69,6
KOTA,426,37,2,162,22,10
KOTDARBAR,446,279,4,189,177,4
KYAMIN,1312,58,3,0,1,3
MAJHAKOT,616,396,2,421,48,39
MANPANG,1586,114,8,7,1,5
POKHARI BHANJYANG,839,92,3,10,28,7
PURKOT,1713,154,4,3,2,18
RAIPUR,894,65,0,3,2,6
RAMJAKOT,18,122,2,627,142,2
RANIPOKHARI (RESING),792,62,0,1,2,4
RISTI,473,23,1,0,0,10
RUPAKOT,1072,38,2,2,1,10
SATISWARA,969,45,1,1,3,25
SHAMUNG BHAGAWATIPUR,555,369,0,346,229,4
SHYMGHA,968,273,2,10,0,10
SUNDHARA (GHIRING),9,542,5,704,160,10
TANAHUNSUR,640,77,2,0,0,5
THAPREK,700,49,2,1,11,0
MIRLUNG,1257,143,4,5,2,12
TOTAL,60350,7879,213,7414,1991,439
