VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ANBUKHAIRENI,2835,1094,61,44
ARUNODAYA,1081,14,1,2
BAIDI,818,10,3,13
BANDIPUR,2363,622,29,42
BARBHANJYANG,1301,43,8,13
BASANTAPUR,845,11,0,12
BHANU,3039,392,9,36
BHANUMATI,1105,31,1,10
BHIMAD,1587,573,20,11
BHIRKOT,1126,14,0,6
BYAS MUNICIPALITY,7151,3894,159,117
CHHANG,1277,190,10,22
CHHIMKESHWORI,329,19,1,7
CHHIPCHHIPE,387,4,2,3
CHOK CHISAPANI,942,74,2,10
DEURALI,498,17,1,5
DEVGHAT,1636,112,107,42
DHARAMPANI,696,18,4,6
DHORFIRDI,2738,216,2,49
DULEGAUNDA,2618,1239,15,120
FIRFIRE,753,17,0,6
GAJARKOT,1253,37,1,8
GHANSIKUWA,1837,68,3,34
JAMUNE BHANJYANG,2138,197,27,46
KAHU SHIVAPUR,1258,55,0,40
KESHAVTAR,1110,30,0,31
KHAIRENITAR,2067,558,13,41
KIHUN,884,27,0,6
KOTA,639,6,0,14
KOTDARBAR,1071,23,1,4
KYAMIN,1307,48,1,21
MAJHAKOT,1495,22,0,5
MANPANG,1629,40,0,52
POKHARI BHANJYANG,912,45,0,22
PURKOT,1743,132,0,19
RAIPUR,948,14,0,8
RAMJAKOT,902,11,0,0
RANIPOKHARI (RESING),801,57,0,3
RISTI,480,16,0,11
RUPAKOT,1065,48,3,9
SATISWARA,909,90,1,44
SHAMUNG BHAGAWATIPUR,1442,39,0,22
SHYMGHA,1154,84,0,25
SUNDHARA (GHIRING),1399,24,0,7
TANAHUNSUR,679,17,0,28
THAPREK,714,14,2,33
MIRLUNG,1362,38,1,22
TOTAL,66323,10344,488,1131
