VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
BADALKOT,528,38,15,0,0,2,1,5
CHHAPRE,491,27,71,0,4,2,3,3
CHILKHAYA,236,76,44,4,382,0,3,4
DAHAFATGAUN,530,119,183,2,0,8,0,7
DHOLAGOHE,297,7,9,2,4,788,0,5
GELA,23,3,678,0,0,1,0,1
JUBITHA,102,36,1,1,261,0,4,2
KHEEN,10,6,0,1,13,572,1,4
KOTBADA,227,77,325,1,1,2,46,7
KUMALGAUN,25,5,586,0,0,0,0,5
LALU,29,12,934,0,0,0,0,9
MALKOT,11,3,661,0,0,1,0,6
MANMA,625,436,579,16,0,0,8,32
MARTA,471,139,379,2,224,33,13,4
MEHAL MUDI,306,34,472,0,0,0,1,3
MUGRAHA,81,10,397,0,0,1,0,8
MUMRAKOT,145,4,390,0,0,0,4,5
NANIKOT,596,10,342,1,0,2,0,22
ODANAKU,269,11,335,1,7,4,3,8
PAKHA,484,92,95,0,1,14,0,5
PHOI MAHADEV,42,85,1,1,391,94,1,2
PHUKOT,230,22,331,3,0,265,46,0
RAKU,445,38,257,0,0,0,0,1
RAMANAKOT,196,8,31,0,2,385,0,3
RANCHULI,4,41,4,0,254,115,0,4
RUPSA,8,0,602,1,0,0,0,1
SIPKHANA,382,12,149,0,0,319,1,14
SIUNA,281,21,190,1,0,400,8,10
SUKATAYA,78,24,781,1,0,1,0,2
THIRPU,15,6,10,0,3,661,0,7
TOTAL,7167,1402,8852,38,1547,3670,143,189
