VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
BADALKOT,497,0,1,3,8,79,0,1
CHHAPRE,268,0,3,8,287,31,1,3
CHILKHAYA,329,0,37,80,263,36,0,4
DAHAFATGAUN,600,0,1,1,160,75,7,5
DHOLAGOHE,833,0,2,42,229,0,0,6
GELA,132,0,0,11,540,9,13,1
JUBITHA,124,0,0,10,264,1,5,3
KHEEN,399,0,0,5,148,54,0,1
KOTBADA,401,0,20,11,188,59,1,6
KUMALGAUN,424,0,0,0,70,123,0,4
LALU,190,0,0,11,767,10,1,5
MALKOT,460,0,0,0,206,13,0,3
MANMA,1360,0,4,7,295,1,4,25
MARTA,703,0,7,47,488,18,0,2
MEHAL MUDI,171,0,13,26,604,1,0,1
MUGRAHA,330,0,0,13,126,22,0,6
MUMRAKOT,217,0,0,0,316,13,0,2
NANIKOT,766,0,79,19,80,8,1,20
ODANAKU,184,0,44,3,350,50,1,6
PAKHA,322,0,1,2,363,3,0,0
PHOI MAHADEV,480,0,5,1,116,1,11,3
PHUKOT,680,0,4,1,195,0,16,1
RAKU,423,0,0,0,298,20,0,0
RAMANAKOT,443,0,0,2,103,75,0,2
RANCHULI,413,0,2,1,0,1,0,5
RUPSA,409,0,0,12,175,16,0,0
SIPKHANA,323,0,0,7,541,0,1,5
SIUNA,364,0,0,3,536,0,0,8
SUKATAYA,737,0,0,2,137,9,0,2
THIRPU,365,0,0,6,165,162,0,4
TOTAL,13347,0,223,334,8018,890,62,134
