VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
BADALKOT,583,4,0,2
CHHAPRE,591,8,0,2
CHILKHAYA,736,11,1,1
DAHAFATGAUN,818,15,1,15
DHOLAGOHE,1098,5,0,9
GELA,694,10,0,2
JUBITHA,399,7,1,0
KHEEN,597,5,0,5
KOTBADA,641,40,0,5
KUMALGAUN,616,5,0,0
LALU,965,14,0,5
MALKOT,670,10,0,2
MANMA,1199,457,36,4
MARTA,1139,114,0,12
MEHAL MUDI,810,3,0,3
MUGRAHA,494,1,0,2
MUMRAKOT,543,2,1,2
NANIKOT,964,1,0,8
ODANAKU,628,7,0,3
PAKHA,653,28,2,8
PHOI MAHADEV,570,43,1,3
PHUKOT,884,4,0,9
RAKU,725,11,0,5
RAMANAKOT,617,6,1,1
RANCHULI,414,7,0,1
RUPSA,605,4,0,3
SIPKHANA,872,4,0,1
SIUNA,898,9,0,4
SUKATAYA,864,12,1,10
THIRPU,696,3,3,0
TOTAL,21983,850,48,127
