VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
BADALKOT,725,787,581,569,113,187,31,31
CHHAPRE,824,863,625,569,193,291,6,3
CHILKHAYA,1059,1121,774,695,227,328,58,98
DAHAFATGAUN,1153,1310,862,896,246,375,45,39
DHOLAGOHE,1620,1770,1251,1146,353,611,16,13
GELA,846,902,741,692,79,121,26,89
JUBITHA,490,568,432,427,53,133,5,8
KHEEN,856,922,636,484,200,422,20,16
KOTBADA,859,956,604,613,208,273,47,70
KUMALGAUN,844,900,684,637,122,219,38,44
LALU,1365,1453,1086,1035,277,415,2,3
MALKOT,876,1035,643,662,213,347,20,26
MANMA,1950,2015,1478,1317,409,607,63,91
MARTA,1649,1739,1210,1099,411,570,28,70
MEHAL MUDI,1090,1203,913,879,172,318,5,6
MUGRAHA,604,680,498,478,85,126,21,76
MUMRAKOT,767,827,602,559,138,243,27,25
NANIKOT,1413,1370,1094,899,295,450,24,21
ODANAKU,801,866,552,515,235,335,14,16
PAKHA,957,989,736,691,206,270,15,28
PHOI MAHADEV,753,788,603,568,149,220,1,0
PHUKOT,1132,1267,890,910,219,332,23,25
RAKU,968,1022,771,721,196,293,1,8
RAMANAKOT,783,923,689,720,91,200,3,3
RANCHULI,555,571,436,375,116,184,3,12
RUPSA,902,929,663,608,209,266,30,55
SIPKHANA,1135,1326,942,945,135,236,58,145
SIUNA,1218,1259,1000,925,201,283,17,51
SUKATAYA,1124,1213,917,873,180,296,27,44
THIRPU,1105,1125,800,696,259,364,46,65
INSTITUTIONAL,78,7,12,1,66,6,0,0
