VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
AKHIKARICHAUR,350,1052,835,258,14,7,0,0,594,0,0,0,0,0,22
AMALACHAUR,101,1073,745,180,306,26,14,11,1002,1,5,3,1,3,32
AMARBHUMI,57,503,407,150,45,5,13,2,459,0,1,0,0,0,3
ARGAL,33,434,320,129,107,7,0,5,377,0,1,2,0,0,8
ARJEWA,41,436,305,54,174,6,4,7,374,0,0,1,0,4,7
BATAKACHAUR,105,749,565,85,2,5,1,18,601,0,2,2,1,1,15
BHAKUNDE,88,778,593,102,271,17,6,3,684,0,1,1,1,2,1
BHIMPOKHARA,76,657,396,162,194,13,15,7,599,1,4,3,0,11,92
BHINGGITHE,255,911,627,180,158,13,2,28,600,0,2,0,0,6,20
BIHUNKOT,68,1334,1042,548,553,58,23,28,1276,4,29,12,3,15,39
BINAMARE,68,483,401,9,150,4,1,1,398,0,0,4,0,2,11
BOHARAGAUN,360,866,715,79,49,5,0,38,481,0,2,5,0,2,68
BONGADOVAN,159,972,931,109,2,6,0,2,260,0,0,2,0,0,86
BOWANG,505,916,867,80,3,6,1,5,168,0,0,2,0,1,20
BURTIWANG,285,1660,885,465,352,36,5,39,1389,0,8,5,2,12,53
CHHISTI,137,936,676,181,13,5,0,12,840,0,0,0,0,1,33
DAGATUNDADA,89,995,749,221,192,20,4,31,833,0,5,1,1,15,84
DAMEK,138,1061,838,216,238,12,0,24,872,1,3,1,2,1,7
DARLING,247,759,511,140,68,3,1,6,501,0,0,0,0,2,150
DEVISTHAN,462,1055,768,277,101,6,1,11,751,1,2,2,0,2,99
DHAMJA,67,507,365,78,2,5,0,3,463,0,3,2,1,0,26
DHUDHILABHATI,86,874,436,86,345,10,2,2,826,0,0,0,0,2,9
DHULLU GAIDI,69,895,724,148,111,9,6,13,812,0,0,0,0,0,42
DHULLUBASKOT,117,649,458,80,98,5,0,5,529,0,0,0,0,1,13
GWALICHAUR,138,766,456,59,302,11,0,110,510,0,1,0,0,9,22
HARICHAUR,84,1168,607,405,694,56,8,7,1071,1,5,4,0,25,18
HATIYA,129,1566,576,317,804,64,18,29,1471,2,30,30,3,53,28
HEEL,22,565,439,99,101,9,2,18,507,1,4,0,0,0,25
HUGDISHEER,148,762,608,129,8,7,1,32,652,1,1,0,0,3,23
JALJALA,172,625,487,149,10,8,7,3,482,0,0,0,0,1,7
BAGLUNG MUNICIPALITY,288,7464,4402,2806,4501,1121,517,1385,6790,96,516,410,81,787,96
KANDEBAS,48,485,228,42,202,6,1,7,453,0,2,0,1,1,6
KHUNGA,163,636,516,131,52,3,2,4,462,0,0,0,0,0,44
KUSMISHERA,72,745,453,158,216,21,3,39,653,0,1,6,3,20,1
LEKHANI,74,540,308,226,284,8,2,2,458,2,1,1,0,0,12
MALIKA,55,530,367,272,265,14,7,55,471,2,3,0,0,0,2
MALMA,105,960,506,17,480,16,2,2,902,0,11,11,3,0,2
NARAYANSTHAN,41,725,483,104,395,35,15,5,676,2,17,13,2,44,15
NARETHANTI,63,689,339,27,406,34,9,4,639,0,5,3,0,9,16
NISI,702,695,664,9,5,4,0,9,143,0,2,1,2,0,28
PAIYUNPATA,142,1187,683,155,508,18,4,3,1125,0,3,3,0,4,18
PAIYUNTHANTHAP,78,737,552,187,6,8,1,6,684,0,0,0,1,2,23
PALAKOT,88,780,514,237,316,21,2,0,721,2,9,8,1,18,5
PANDAVKHANI,104,433,294,61,160,9,0,6,344,0,0,0,1,0,15
RAJKUT,106,449,340,79,5,0,0,0,339,0,0,0,0,0,3
RANASINKITENI,43,471,395,53,9,0,0,0,337,0,0,3,0,0,56
RANGKHANI,81,782,587,239,3,7,1,26,591,0,0,0,4,5,44
RAYADANDA,111,437,354,122,10,1,0,0,370,0,0,0,0,1,1
RESH,108,1003,660,169,430,30,5,7,740,1,3,0,1,3,45
RIGHA,70,745,626,69,10,1,0,7,652,3,1,3,0,0,8
SALYAN,45,345,250,71,43,0,0,10,307,1,0,1,0,0,3
SARKUWA,28,480,289,54,56,6,2,10,458,0,0,0,0,1,42
SINGANA,85,692,594,379,367,21,7,3,642,0,3,1,0,9,0
SISAKHANI,79,325,238,80,1,2,0,1,252,0,0,0,0,1,14
SUKHAURA,48,214,168,13,0,0,0,10,167,0,1,1,0,0,4
KHUNGKHANI,146,350,338,56,6,3,0,13,19,0,0,0,0,0,29
TAMAN,73,478,405,48,10,0,0,174,112,0,0,0,0,0,129
TANGRAM,91,731,580,93,64,8,1,0,665,0,0,0,0,0,24
TARA,65,752,641,168,11,12,0,54,525,0,4,12,0,1,28
TITYANG,83,893,720,452,472,14,1,5,810,4,4,0,0,4,5
