VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
SARKUWA,100,41,59,551,287,264,372,167,205,210,97,113,178,86,92,67,37,30,8,7,1,7,6,1,0,0,0,70,31,39,6,4,2
SINGANA,89,50,39,674,314,360,503,225,278,223,105,118,255,116,139,84,48,36,21,16,5,2,2,0,0,0,0,131,65,66,10,7,3
SISAKHANI,29,15,14,738,358,380,216,94,122,98,48,50,55,29,26,18,9,9,8,6,2,0,0,0,0,0,0,154,37,117,14,6,8
SUKHAURA,54,36,18,348,177,171,163,69,94,33,17,16,59,34,25,11,6,5,5,5,0,3,3,0,0,0,0,11,3,8,3,2,1
KHUNGKHANI,63,27,36,849,395,454,229,116,113,70,45,25,47,25,22,20,15,5,5,5,0,0,0,0,0,0,0,73,37,36,19,10,9
TAMAN,226,115,111,781,384,397,292,149,143,101,53,48,101,52,49,24,17,7,7,6,1,2,2,0,0,0,0,165,63,102,2,1,1
TANGRAM,51,29,22,959,472,487,566,241,325,199,118,81,292,140,152,93,44,49,16,11,5,6,5,1,2,0,2,252,97,155,0,0,0
TARA,86,43,43,1506,707,799,571,270,301,147,67,80,229,123,106,55,33,22,11,10,1,4,3,1,0,0,0,278,103,175,13,6,7
TITYANG,35,17,18,942,477,465,590,267,323,360,183,177,343,159,184,81,42,39,37,24,13,8,6,2,0,0,0,232,74,158,9,3,6
INSTITUTIONAL,86,70,16,546,408,138,453,392,61,258,233,25,353,253,100,116,108,8,78,68,10,11,11,0,0,0,0,23,19,4,0,0,0
