VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ARCHALE,324,116,13,0
ARGALI,132,567,120,0
BAHADURPUR,62,168,68,2
BALDENGADHI,244,63,118,0
BANDIPOKHARA,110,463,46,3
BARANGDI,37,436,92,1
BHAIRABSTHAN,19,477,76,0
BHUWANPOKHARI,620,510,103,3
BIRKOT,261,289,212,0
BODHAPOKHARATHOK,79,529,56,0
BOUDHAGUMBA,18,394,118,1
CHAPPANI,58,372,85,2
CHHAHARA,206,643,331,0
CHIDIPANI,223,463,316,0
CHIRTUNGDHARA,43,856,101,0
DARCHHA,478,847,417,14
DARLAMDANDA,74,325,117,3
DEURALI,132,364,131,2
DEVINAGAR,286,158,184,0
DOBHAN,703,608,119,6
FEK,250,384,52,2
FOKSINGKOT,302,203,283,0
GADAKOT,612,311,251,3
GALDHA,391,179,181,0
GEJHA,295,478,373,1
GOTHADI,251,88,428,2
HAKLANG,270,158,233,4
HUMIN,95,205,250,0
HUNGI,178,629,272,2
JALPA,200,288,130,0
JHADEWA,280,252,432,0
JHIRUBAS,179,257,4,3
JUTHAPAUWA,245,254,210,3
JYAMIRE,352,200,23,1
KACHAL,369,266,151,1
KASENI,302,520,358,1
KHALIBAN,534,471,312,2
KHANICHHAP,121,239,126,0
KHANIGAU,111,213,143,0
KHASYOLI,59,410,92,5
KHYAHA,75,313,157,1
KOLDADA,211,330,116,4
KUSUMKHOLA,26,262,124,1
MADANPOKHARA,147,1304,84,6
MASYAM,403,386,211,4
MITYAL,442,242,65,9
MUJHUNG,96,375,57,4
NAYARNAMTALES,39,413,81,1
PALUNG MAINADI,26,551,77,1
PIPALDADA,186,487,518,2
POKHARATHOK,30,504,51,1
RAHABAS,43,179,164,0
RAMPUR,456,1514,749,14
RINGNERAHA,128,223,191,1
RUPSE,62,149,252,1
SAHALKOT,149,126,54,2
SATYAWATI,103,271,254,1
SIDDHESHWOR,7,394,245,14
SILUWA,486,276,270,3
SOMADI,226,378,31,0
TAHU,154,399,295,0
TANSEN MUNICIPALITY,313,7439,622,37
TELGHA,128,530,94,0
TIMURE,169,262,146,1
WAKAMALANG,280,138,157,4
YAMGHA,160,479,262,0
TOTAL,14050,32577,12454,179
