VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
ALAU,43,457,4,680,1,0,28
AMARPATTI,12,252,12,417,0,1,11
AURAHA,22,119,2,655,1,1,9
BAGAHI,9,144,33,766,2,0,10
BAGBANA,4,149,104,861,5,137,6
BAGESHWARI TITRONA,7,108,17,863,0,1,1
BAHAURI PIDARI,6,175,10,648,1,0,18
BAHUARBAMATHA,8,288,1,681,7,9,18
BASADILWA,4,103,5,783,1,0,7
BASANTPUR,64,224,24,827,4,0,14
BELWA PARSAUNI,54,248,10,1037,1,3,17
BAIRIYA BIRTA (NAU.TA.JA.),47,109,51,577,5,3,8
BAIRIYA BIRTA (DA.PU.),1,244,4,653,0,0,6
BHAWANIPUR,16,390,5,428,2,0,6
BHEDIHARI,14,237,6,582,0,0,7
BHISAWA,28,316,5,471,0,0,9
BIJBANIYA,5,98,0,408,0,0,1
BINDABASINI,2,260,3,506,0,0,6
BIRANCHIBARWA,11,155,4,383,0,2,3
BIRGUNJ SUB-METROPOLITAN CITY,961,20332,247,2002,31,33,558
BIRWAGUTHI,59,371,485,1402,0,4,29
BISHRAMPUR,9,225,0,732,0,16,3
CHORNI,58,442,29,817,2,0,22
DEUKHANA,6,67,3,637,0,1,5
DHAUBINI,59,121,0,522,0,0,7
DHORE,12,208,1,489,0,0,16
GADI,4,40,28,704,3,3,0
GAMHARIYA,0,183,7,401,1,0,10
GHAUDHDAUR PIPARA,7,136,1,343,0,0,1
GOVINDAPUR,36,63,1,343,0,0,0
HARIHARPUR (NAU.TA.JA.),30,151,3,501,3,3,18
HARIHARPUR BIRTA,30,70,45,230,0,0,31
HARPATAGUNJ,22,335,1,253,1,0,4
HARPUR,8,51,4,925,0,10,9
JAGARNATHPUR,40,120,78,775,7,1,46
JAIMANGALAPUR,71,146,3,569,1,6,14
JANAKITOLA,3,190,3,407,2,0,11
JEETPUR,3,229,91,566,0,52,11
JHOUWA GUTHI,16,355,8,605,2,2,5
KAUWA BAN KATAIYA,3,75,13,550,0,0,1
LAHAWARTHAKARI,14,70,5,426,0,0,8
LAKHANPUR,17,77,4,650,1,0,8
LAL PARSA,93,240,2,267,0,0,14
LANGADI,29,129,69,294,0,0,4
LIPANI BIRTA,33,465,25,425,1,0,21
MADHUBAN MATHAUL,8,65,162,865,0,132,14
MAHADEVPATTI,18,129,122,463,0,467,8
MAHUWAN,9,130,1,607,2,0,12
MAINPUR (PAKAHA),5,76,4,347,0,0,45
MANIYARI,22,335,1,572,0,0,4
MASIHANI,8,139,2,810,0,0,9
BHIKHAMPUR,15,159,1,501,2,0,30
MIRJAPUR,45,127,21,464,0,14,19
MUDALI,4,205,11,583,0,1,19
NAGARDAHA,1,141,4,335,0,0,4
NICHUTA,2,211,11,823,0,1,12
NIRMAL BASTI,214,198,847,765,10,10,11
PACHARUKHI,1,68,205,510,0,0,8
PARSAUNI BIRTA,33,378,14,299,1,0,10
PRASAUNI MATHA,5,210,2,638,1,1,9
PIDARIGUTHI,10,132,2,653,0,13,7
POKHARIYA,10,271,0,726,1,0,7
PRASURAMPUR,10,103,0,278,0,0,18
RAMGADHAWA,51,697,4,169,0,64,11
RAMNAGARI,13,124,2,366,0,0,5
SABAITHAWA,17,174,7,480,0,0,2
SAKHUWA PRASAUNI,8,88,5,1079,2,0,22
SAMJHAUTA,47,223,8,684,3,0,27
SHANKAR SARAIYA,4,83,1,575,0,95,13
SEDHAWA,8,107,6,335,1,143,9
SHIBARWA,7,125,7,779,6,0,9
SIRSIYA KHALWATOLA,31,387,28,337,0,0,45
SONBARSA,9,65,26,844,3,152,15
SREESIYA (NAU.TA.JA.),10,93,2,420,1,1,0
SUBARNAPUR,9,112,336,305,0,1,11
SUGAULI BIRTA,8,484,16,384,5,0,1
SUGAULI PARTEWA,3,111,9,920,0,0,3
SUPAULI,4,81,107,383,0,1,2
SURJAHA,26,126,2,470,2,0,6
THORI,135,131,776,314,1,57,4
TULASI BARWA,39,126,1,485,0,6,5
UDAYAPUR GHURMI,14,147,65,849,0,0,10
VAURATAR,6,308,4,995,1,0,19
TOTAL,2849,35836,4278,49473,127,1447,1506
