VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ALAU,1043,130,1,6,7,26
AMARPATTI,601,85,2,7,0,10
AURAHA,407,397,0,2,0,3
BAGAHI,818,127,0,9,0,10
BAGBANA,1025,231,1,2,1,6
BAGESHWARI TITRONA,818,171,1,6,0,1
BAHAURI PIDARI,817,26,0,3,0,12
BAHUARBAMATHA,889,105,0,6,0,12
BASADILWA,809,77,0,4,0,13
BASANTPUR,822,316,0,4,0,15
BELWA PARSAUNI,1223,124,1,4,0,18
BAIRIYA BIRTA (NAU.TA.JA.),410,381,0,6,1,2
BAIRIYA BIRTA (DA.PU.),892,0,0,1,0,15
BHAWANIPUR,797,37,2,3,0,8
BHEDIHARI,657,184,0,0,0,5
BHISAWA,612,213,1,0,0,3
BIJBANIYA,218,293,0,0,1,0
BINDABASINI,582,190,1,0,0,4
BIRANCHIBARWA,495,60,1,0,0,2
BIRGUNJ SUB-METROPOLITAN CITY,22694,946,95,25,73,331
BIRWAGUTHI,1954,354,3,8,1,30
BISHRAMPUR,610,367,1,5,0,2
CHORNI,945,404,1,3,0,17
DEUKHANA,467,247,0,1,0,4
DHAUBINI,320,382,0,0,0,7
DHORE,509,196,0,0,1,20
GADI,597,184,0,0,1,0
GAMHARIYA,540,53,0,0,0,9
GHAUDHDAUR PIPARA,238,246,0,2,0,2
GOVINDAPUR,1,441,0,0,1,0
HARIHARPUR (NAU.TA.JA.),352,344,0,2,0,11
HARIHARPUR BIRTA,294,98,2,1,0,11
HARPATAGUNJ,536,74,1,1,0,4
HARPUR,657,344,2,2,0,2
JAGARNATHPUR,379,621,2,17,0,48
JAIMANGALAPUR,25,767,1,5,0,12
JANAKITOLA,148,454,2,2,0,10
JEETPUR,517,412,2,12,0,9
JHOUWA GUTHI,485,494,0,11,0,3
KAUWA BAN KATAIYA,354,285,1,1,0,1
LAHAWARTHAKARI,318,196,1,2,0,6
LAKHANPUR,618,125,1,3,2,8
LAL PARSA,480,120,2,0,0,14
LANGADI,295,226,0,1,0,3
LIPANI BIRTA,910,44,2,0,0,14
MADHUBAN MATHAUL,1051,185,0,3,1,6
MAHADEVPATTI,615,582,2,2,1,5
MAHUWAN,519,229,2,0,0,11
MAINPUR (PAKAHA),157,269,0,6,0,45
MANIYARI,808,118,1,1,1,5
MASIHANI,410,548,0,1,0,9
BHIKHAMPUR,516,186,0,0,1,5
MIRJAPUR,148,525,2,3,1,11
MUDALI,613,190,0,1,1,18
NAGARDAHA,433,40,0,7,0,5
NICHUTA,601,444,0,1,0,14
NIRMAL BASTI,30,998,8,959,53,7
PACHARUKHI,652,130,0,2,2,6
PARSAUNI BIRTA,627,97,0,3,0,8
PRASAUNI MATHA,506,346,1,4,0,9
PIDARIGUTHI,263,547,0,1,0,6
POKHARIYA,803,204,0,1,0,7
PRASURAMPUR,383,7,0,0,0,19
RAMGADHAWA,908,77,0,3,0,8
RAMNAGARI,431,72,0,2,0,5
SABAITHAWA,510,166,0,2,0,2
SAKHUWA PRASAUNI,1015,163,1,7,0,18
SAMJHAUTA,10,939,1,15,1,26
SHANKAR SARAIYA,116,643,0,2,0,10
SEDHAWA,493,107,0,2,1,6
SHIBARWA,639,291,0,0,0,3
SIRSIYA KHALWATOLA,775,25,1,4,0,23
SONBARSA,463,623,5,8,1,14
SREESIYA (NAU.TA.JA.),206,320,1,0,0,0
SUBARNAPUR,696,66,1,1,1,9
SUGAULI BIRTA,817,75,0,2,0,4
SUGAULI PARTEWA,575,454,4,11,0,2
SUPAULI,193,374,0,9,0,2
SURJAHA,266,353,3,4,1,5
THORI,2,538,3,721,151,3
TULASI BARWA,351,304,1,1,0,5
UDAYAPUR GHURMI,956,115,1,3,2,8
VAURATAR,1265,38,1,3,0,26
TOTAL,69000,22959,169,1962,308,1118
