VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
ALAU,519,21,257,373,7,0,3,33
AMARPATTI,193,1,301,194,6,0,0,10
AURAHA,233,2,479,82,3,0,1,9
BAGAHI,108,10,714,92,30,0,0,10
BAGBANA,152,48,971,64,4,0,21,6
BAGESHWARI TITRONA,236,4,671,47,35,0,0,4
BAHAURI PIDARI,137,6,562,129,2,0,0,22
BAHUARBAMATHA,209,6,550,227,0,0,1,19
BASADILWA,108,7,694,70,2,0,14,8
BASANTPUR,495,4,498,138,4,0,0,18
BELWA PARSAUNI,173,42,989,144,3,0,2,17
BAIRIYA BIRTA (NAU.TA.JA.),236,11,487,54,6,0,3,3
BAIRIYA BIRTA (DA.PU.),88,3,630,175,6,0,1,5
BHAWANIPUR,80,15,402,289,53,0,1,7
BHEDIHARI,343,7,277,194,8,0,0,17
BHISAWA,236,8,286,287,0,0,1,11
BIJBANIYA,131,0,334,43,1,0,0,3
BINDABASINI,256,11,285,218,1,0,0,6
BIRANCHIBARWA,232,5,215,96,7,0,0,3
BIRGUNJ SUB-METROPOLITAN CITY,1058,1752,1471,18872,121,0,176,714
BIRWAGUTHI,263,253,1546,194,63,0,1,30
BISHRAMPUR,45,2,751,183,2,0,0,2
CHORNI,183,89,737,324,12,0,1,24
DEUKHANA,153,0,516,36,2,0,1,11
DHAUBINI,331,2,271,94,4,0,0,7
DHORE,237,1,317,151,3,0,0,17
GADI,125,45,599,11,1,0,0,1
GAMHARIYA,85,0,387,113,0,0,7,10
GHAUDHDAUR PIPARA,216,3,173,90,4,0,0,2
GOVINDAPUR,87,0,291,63,1,0,0,1
HARIHARPUR (NAU.TA.JA.),258,4,303,114,6,0,3,21
HARIHARPUR BIRTA,209,5,101,36,31,0,0,24
HARPATAGUNJ,107,4,244,253,4,0,0,4
HARPUR,210,8,758,25,1,0,0,5
JAGARNATHPUR,331,2,567,58,18,0,45,46
JAIMANGALAPUR,284,40,362,110,2,0,0,12
JANAKITOLA,317,4,205,81,2,0,0,7
JEETPUR,53,15,737,120,0,0,14,13
JHOUWA GUTHI,238,4,417,308,18,0,1,7
KAUWA BAN KATAIYA,101,0,471,57,11,0,0,2
LAHAWARTHAKARI,168,5,284,54,2,0,1,9
LAKHANPUR,334,3,346,62,4,0,0,8
LAL PARSA,83,3,370,144,2,0,0,14
LANGADI,169,3,258,89,0,0,1,5
LIPANI BIRTA,79,17,444,376,23,0,11,20
MADHUBAN MATHAUL,245,11,943,16,12,0,2,17
MAHADEVPATTI,248,2,792,73,45,0,35,12
MAHUWAN,211,2,438,90,7,0,0,13
MAINPUR (PAKAHA),133,10,224,63,2,0,0,45
MANIYARI,181,7,479,262,1,0,0,4
MASIHANI,309,3,583,58,2,0,0,13
BHIKHAMPUR,210,2,374,107,0,0,0,15
MIRJAPUR,337,3,211,120,2,0,0,17
MUDALI,306,11,321,158,7,0,1,19
NAGARDAHA,96,0,277,108,0,0,0,4
NICHUTA,221,0,665,159,3,0,0,12
NIRMAL BASTI,134,181,1643,66,9,0,11,11
PACHARUKHI,172,7,510,47,47,0,0,9
PARSAUNI BIRTA,131,13,258,317,5,0,0,11
PRASAUNI MATHA,157,2,535,148,14,0,1,9
PIDARIGUTHI,296,2,445,59,5,0,2,8
POKHARIYA,188,4,619,189,7,0,1,7
PRASURAMPUR,126,9,184,72,0,0,0,18
RAMGADHAWA,108,48,221,586,4,0,17,12
RAMNAGARI,131,2,319,56,1,0,0,1
SABAITHAWA,182,3,379,108,6,0,0,2
SAKHUWA PRASAUNI,280,3,840,54,4,0,0,23
SAMJHAUTA,348,7,410,195,4,0,1,27
SHANKAR SARAIYA,128,4,504,56,1,0,67,11
SEDHAWA,92,8,441,51,5,0,0,12
SHIBARWA,131,4,715,75,2,0,0,6
SIRSIYA KHALWATOLA,218,54,143,357,11,0,1,44
SONBARSA,236,29,791,35,7,0,1,15
SREESIYA (NAU.TA.JA.),201,2,266,55,1,0,0,2
SUBARNAPUR,54,86,581,30,11,0,0,12
SUGAULI BIRTA,189,12,290,399,5,0,0,3
SUGAULI PARTEWA,217,5,741,77,1,0,1,4
SUPAULI,133,4,401,37,1,0,0,2
SURJAHA,222,0,325,76,2,0,0,7
THORI,496,531,356,16,9,0,0,10
TULASI BARWA,281,7,271,95,1,0,2,5
UDAYAPUR GHURMI,308,3,650,101,11,0,0,12
VAURATAR,190,6,862,240,12,0,3,20
TOTAL,17735,3562,41535,29745,782,0,456,1701
