VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
AAMA,141,73,68,2927,1702,1225,966,701,265,408,321,87,97,60,37,202,147,55,70,51,19,19,11,8,8,2,6,16,11,5,40,23,17
AANANDABAN,412,218,194,2698,1379,1319,1877,944,933,1511,704,807,1247,639,608,914,410,504,445,273,172,151,111,40,0,0,0,138,53,85,60,36,24
PASCHIM AMUWA,326,181,145,3227,1744,1483,1800,962,838,985,499,486,578,294,284,376,203,173,126,76,50,34,28,6,1,1,0,253,68,185,16,11,5
ASURAINA,134,88,46,1937,1122,815,798,590,208,216,175,41,128,106,22,88,70,18,12,7,5,1,1,0,0,0,0,3,3,0,30,16,14
BAGAHA,163,96,67,1470,808,662,546,388,158,201,155,46,68,51,17,84,57,27,36,27,9,5,5,0,31,5,26,8,8,0,54,18,36
BAGAULI,140,82,58,2197,1239,958,899,667,232,426,323,103,133,114,19,132,105,27,44,32,12,12,9,3,5,2,3,4,2,2,9,7,2
BAIRGHAT,78,44,34,1650,967,683,845,624,221,217,173,44,106,88,18,112,78,34,45,35,10,13,11,2,2,2,0,5,2,3,2,1,1
BASANTAPUR,413,240,173,1960,1072,888,1096,701,395,555,377,178,225,145,80,242,142,100,91,66,25,44,33,11,13,1,12,51,26,25,1,1,0
BETAKUIYA,132,71,61,1174,658,516,477,339,138,183,146,37,94,69,25,91,75,16,28,23,5,3,3,0,8,6,2,7,2,5,6,3,3
BHAGAWANPUR,52,35,17,3213,1835,1378,1162,816,346,633,495,138,91,70,21,186,127,59,74,50,24,21,17,4,61,15,46,105,66,39,3,3,0
