VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AAMA,1122,309,10,51,102,21
AANANDABAN,561,1553,497,157,5,41
PASCHIM AMUWA,549,1092,113,294,129,15
ASURAINA,365,460,43,121,43,19
BAGAHA,160,408,43,41,45,10
BAGAULI,758,428,6,100,112,25
BAIRGHAT,370,259,3,80,18,12
BASANTAPUR,309,622,150,54,62,8
BETAKUIYA,477,182,1,13,35,5
BHAGAWANPUR,851,582,1,32,101,17
BISHNUPURA,967,559,21,296,368,20
BODAWAR,358,491,16,115,292,5
BOGADI,875,422,10,108,50,8
BUTWAL MUNICIPALITY,3209,14806,10046,711,229,661
CHHIPAGADH,207,375,5,223,40,8
CHHOTAKI RAMNAGAR,257,340,41,66,168,1
CHILHIYA,224,493,105,19,112,7
DAYANAGAR,486,642,230,47,363,1
DEVDAHA,1560,2667,847,1241,58,62
DHAKADHAI,300,645,45,16,92,6
DHAMAULI,326,345,4,78,81,6
DUDHARAKSHA,1380,722,964,1256,5,15
EKALA,922,393,7,40,14,18
PHARENA,466,86,2,5,72,4
GAJEDI,351,243,303,1606,5,9
GANGOLIYA,373,431,152,117,89,10
GONAHA,643,1072,35,126,50,18
HARNAIYA,145,496,0,41,60,4
HATI BANGAI,346,699,56,37,100,9
HATI PHARSATIKAR,134,365,96,93,115,2
JOGADA,453,199,1,61,156,22
KAMAHARIYA,1086,1236,90,177,170,20
KARAHIYA,789,2122,1103,186,31,36
KARAUTA,822,516,2,95,19,33
KERWANI,681,1163,199,915,140,34
KHADAWA BANGAI,399,657,153,339,1,6
KHUDABAGAR,269,334,24,14,34,12
LUMBINI AADARSHA,630,502,8,101,102,28
MADHAWALIYA,240,1252,531,82,13,160
MADHUWANI,581,290,84,74,42,2
MAINAHIYA,211,727,22,49,113,3
MAJHAGAWA,522,254,2,45,15,13
MAKRAHAR,823,1070,479,993,95,19
MANMATERIYA,765,411,25,121,108,20
MANPAKADI,399,538,1,172,32,6
MARYADAPUR,480,220,3,38,74,4
MASINA,464,147,0,8,163,5
MOTIPUR,926,862,61,393,11,6
PADSARI,152,1486,214,60,65,11
PAJARKATTI,191,402,2,32,134,15
SAKRAUN PAKADI,419,216,4,20,67,5
PARROHA,1266,1172,2406,736,139,12
PATAKHAULI,193,477,4,143,88,11
POKHARVINDI,209,557,2,76,90,1
RAYAPUR,903,465,1,81,109,9
ROINIHAWA,404,153,17,30,25,13
RUDRAPUR,640,1170,550,2156,34,17
SADI,436,164,48,251,39,12
SALJHANDI,495,425,498,873,16,12
SEMARA MARCHAWAR,743,80,16,45,60,28
SEMLAR,900,649,315,258,44,10
SHANKAR NAGAR,674,2619,1745,221,7,89
SIDDHARTHANAGAR MUNICIPALITY,2406,7952,1427,243,188,281
SIKTAHAN,500,548,130,262,380,23
SILAUTIYA,810,291,2,135,28,28
SIPAWA,692,156,2,28,92,7
SAURAHA PHARSATIKAR,387,1054,354,135,58,4
SURYAPURA,785,1010,90,1113,199,15
TENUHAWA,771,429,15,67,118,35
THUMHAWA PIPARHAWA,505,37,0,21,25,4
TIKULIGADH,700,1557,55,120,154,6
TOTAL,44772,67756,24537,18153,6493,2124
