VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
AAMA,78,1489,131,238,5,3,2,9,741,13,123,1434,2,5,48
AANANDABAN,61,2729,1518,1816,1229,464,197,607,2439,94,731,2014,61,1067,24
PASCHIM AMUWA,87,2071,934,1164,385,88,19,96,1638,80,294,1806,51,131,34
ASURAINA,22,984,28,168,0,5,0,4,685,10,46,964,2,1,45
BAGAHA,18,666,126,317,1,8,0,2,545,9,63,548,9,3,23
BAGAULI,83,1303,76,228,10,7,1,4,962,2,40,1249,3,1,43
BAIRGHAT,19,704,229,171,4,3,0,0,448,1,54,685,3,0,19
BASANTAPUR,50,1134,186,652,181,44,9,79,876,5,199,1056,15,97,21
BETAKUIYA,34,668,68,183,2,3,0,2,527,2,83,637,15,5,11
BHAGAWANPUR,89,1469,106,420,5,5,0,3,726,1,136,1347,5,4,26
BISHNUPURA,105,2082,346,492,6,21,0,13,1228,42,202,1980,27,6,44
BODAWAR,66,1197,274,363,6,7,2,3,935,17,88,1159,21,2,14
BOGADI,91,1358,81,325,2,7,2,1,836,9,105,1310,13,6,24
BUTWAL MUNICIPALITY,957,28399,14627,13998,20693,6084,2225,6517,25959,1358,7984,10966,349,11204,306
CHHIPAGADH,51,789,169,288,8,6,3,18,433,18,70,755,7,8,18
CHHOTAKI RAMNAGAR,56,816,268,320,32,7,5,5,626,16,82,777,25,6,1
CHILHIYA,51,906,279,496,287,41,3,60,802,16,140,832,37,104,3
DAYANAGAR,108,1648,691,955,392,62,10,112,1365,32,247,1407,18,117,13
DEVDAHA,184,6162,3692,3850,3004,613,252,738,5497,156,926,4718,60,1083,89
DHAKADHAI,67,1027,196,572,33,19,6,20,845,20,180,961,26,22,10
DHAMAULI,32,794,95,242,4,4,2,4,484,5,82,774,21,1,14
DUDHARAKSHA,280,4041,2342,2519,1190,253,64,170,3502,139,437,2749,53,333,21
EKALA,42,1322,230,342,25,5,1,3,1120,8,133,1252,11,12,30
PHARENA,62,570,39,131,7,1,0,1,387,4,48,554,2,1,3
GAJEDI,116,2369,1171,1237,321,83,25,72,1873,28,188,1949,10,135,32
GANGOLIYA,8,1136,436,688,128,52,11,31,969,17,185,1086,27,33,28
GONAHA,112,1803,290,468,160,25,8,49,1277,78,232,1675,35,71,29
HARNAIYA,14,703,83,303,27,7,4,15,580,3,100,655,13,3,29
HATI BANGAI,40,1183,294,554,220,59,10,91,1066,29,207,1056,25,153,24
HATI PHARSATIKAR,29,772,199,310,65,16,1,13,644,13,106,725,6,8,4
JOGADA,99,791,129,235,2,5,0,1,488,9,58,750,7,1,2
KAMAHARIYA,146,2605,285,883,24,24,2,17,1753,12,284,2472,30,13,28
KARAHIYA,102,4142,2261,1907,1580,577,179,796,3711,119,999,3229,79,1297,23
KARAUTA,80,1307,108,199,8,8,1,6,1066,4,106,1233,16,3,100
KERWANI,152,2953,1355,1820,435,121,24,113,2443,23,303,2607,32,228,27
