VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
BADALPUR,78,1138,551,436,14,12,3,2,845,0,34,963,0,7,1
BAGANAHA,196,2244,1246,567,44,32,10,39,1638,6,77,1843,59,11,42
BANIYABHAR,316,3208,1531,521,23,29,10,34,2121,4,106,2979,171,17,37
BELAWA,495,2713,1354,550,29,20,0,133,1574,15,58,2067,24,14,27
BHIMAPUR,194,1481,728,406,21,17,3,9,1090,0,37,1241,67,11,62
DAULATPUR,115,1294,667,408,13,8,0,1,814,0,38,1086,1,3,7
DEUDAKALA,251,3499,2023,1214,134,48,14,110,2611,25,137,2975,177,47,47
DHADHAWAR,395,3935,2078,762,125,48,10,72,2652,12,120,3447,152,33,39
DHODHARI,87,1766,884,324,16,14,1,13,1016,8,50,1575,2,20,45
GOLA,141,1015,782,302,25,5,0,77,752,0,33,766,1,7,10
GULARIYA MUNICIPALITY,1183,9914,4429,3027,1537,409,157,707,6257,173,855,8354,153,677,123
JAMUNI,198,2358,1313,1309,50,40,9,29,1645,14,183,2015,7,58,45
KALIKA,378,2723,1522,1134,251,42,17,40,1832,8,170,2332,10,98,30
KHAIRI CHANDANPUR,152,999,490,206,9,9,4,4,789,1,25,705,1,9,36
MAGARAGADI,196,3622,2017,1033,207,49,5,36,2706,15,151,3006,112,74,51
MAHAMADPUR,257,1573,423,406,19,8,0,8,1001,13,62,1423,35,11,14
MANAU,165,1002,635,301,15,14,1,1,639,2,33,806,7,9,1
MANPUR MAINAPOKHAR,154,1608,754,571,130,32,10,17,1064,9,119,1443,1,54,5
MANPUR TAPARA,158,1493,792,411,13,9,2,8,997,0,43,1157,0,7,19
MOTIPUR,201,3915,2212,1522,324,136,42,86,2891,22,206,3339,63,138,62
NAYA GAUN,68,956,520,323,44,24,0,3,718,1,33,833,1,4,8
NEULAPUR,175,2728,1699,795,230,88,26,67,2161,7,165,2206,10,90,67
PADANAHA,44,1417,752,425,20,21,0,29,995,2,36,1298,186,19,8
PASUPATINAGAR,147,1075,611,353,9,13,0,16,799,5,36,789,1,6,14
PATABHAR,283,2278,1448,595,76,22,2,42,1481,0,73,1657,1,7,4
RAJAPUR,559,2089,1058,821,388,72,22,132,1541,21,178,1577,8,116,9
SANOSHREE,223,3868,2261,1631,325,85,29,245,2909,9,216,3269,16,199,38
SIVAPUR,144,1283,715,312,15,12,3,8,701,1,38,1074,1,4,35
SORHAWA,240,2563,1260,934,26,32,3,20,1786,11,109,2270,68,43,31
SURYAPATAWA,129,1619,831,343,18,11,1,17,1066,5,48,1460,78,18,13
TARATAL,117,1654,952,824,10,17,2,22,1239,2,56,1432,8,56,10
THAKUDWARA,128,1606,911,445,40,39,20,16,1071,20,78,1413,6,43,4
