VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
BADALPUR,2,1194,2,0,0,0,19,0
BAGANAHA,11,2449,4,14,0,0,0,4
BANIYABHAR,39,3499,8,10,1,0,2,2
BELAWA,396,2317,68,17,247,61,127,2
BHIMAPUR,210,1520,1,1,0,0,1,4
DAULATPUR,33,1359,2,10,2,0,9,1
DEUDAKALA,21,3698,5,4,1,0,46,22
DHADHAWAR,74,4138,2,22,5,1,117,10
DHODHARI,17,1749,3,95,0,14,6,14
GOLA,8,1130,0,3,2,18,4,1
GULARIYA MUNICIPALITY,2274,8832,32,1,1,2,66,12
JAMUNI,62,2511,6,0,2,0,12,8
KALIKA,237,2879,5,1,3,1,0,5
KHAIRI CHANDANPUR,0,1170,0,3,4,0,5,5
MAGARAGADI,48,3766,4,5,1,0,22,23
MAHAMADPUR,9,1807,3,2,1,0,19,3
MANAU,11,1154,0,0,0,0,2,1
MANPUR MAINAPOKHAR,260,1501,3,1,1,0,1,0
MANPUR TAPARA,7,1650,0,4,0,0,8,1
MOTIPUR,514,3594,5,6,1,0,47,11
NAYA GAUN,21,1005,2,3,0,0,0,1
NEULAPUR,260,2643,13,1,1,1,30,21
PADANAHA,6,1459,3,0,0,0,0,1
PASUPATINAGAR,66,1148,4,0,3,0,12,3
PATABHAR,34,2454,6,3,2,0,66,0
RAJAPUR,61,2567,3,1,2,1,18,4
SANOSHREE,1164,2843,1,12,2,1,101,5
SIVAPUR,10,1402,2,2,1,0,44,1
SORHAWA,23,2794,1,5,0,0,8,3
SURYAPATAWA,252,1505,0,0,0,0,0,4
TARATAL,43,1729,2,0,0,0,5,2
THAKUDWARA,11,1721,0,1,1,3,1,0
TOTAL,6184,75187,190,227,284,103,798,174
