VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
BADALPUR,275,873,46,17,1,0,4,1
BAGANAHA,299,153,1792,195,1,0,36,6
BANIYABHAR,1249,50,2037,101,7,0,113,4
BELAWA,1150,399,1504,131,9,0,25,17
BHIMAPUR,878,731,95,22,0,0,1,10
DAULATPUR,299,759,321,30,6,0,1,0
DEUDAKALA,690,537,2135,365,9,0,29,32
DHADHAWAR,1208,386,2275,409,7,0,70,14
DHODHARI,473,58,1273,69,3,0,1,21
GOLA,527,381,237,18,1,0,1,1
GULARIYA MUNICIPALITY,2135,582,5786,2640,22,0,18,37
JAMUNI,334,594,1346,260,10,0,40,17
KALIKA,1352,403,919,405,2,0,23,27
KHAIRI CHANDANPUR,557,376,225,24,0,0,0,5
MAGARAGADI,1073,251,1860,486,5,0,158,36
MAHAMADPUR,606,149,957,122,4,0,2,4
MANAU,665,324,138,32,1,0,2,6
MANPUR MAINAPOKHAR,220,316,947,236,7,0,31,10
MANPUR TAPARA,356,855,430,21,1,0,3,4
MOTIPUR,690,851,1980,566,10,0,58,23
NAYA GAUN,222,753,36,19,0,0,0,2
NEULAPUR,440,303,1619,482,3,0,100,23
PADANAHA,187,28,1008,95,0,0,147,4
PASUPATINAGAR,414,565,207,45,0,0,0,5
PATABHAR,635,841,1018,65,3,0,1,2
RAJAPUR,984,1245,112,295,13,0,2,6
SANOSHREE,480,374,2469,775,7,0,4,20
SIVAPUR,528,250,557,84,3,0,39,1
SORHAWA,642,391,1544,215,0,0,35,7
SURYAPATAWA,531,102,1102,16,1,0,4,5
TARATAL,137,262,1282,93,3,0,2,2
THAKUDWARA,452,214,914,98,0,0,59,1
TOTAL,20688,14356,38171,8431,139,0,1009,353
